 B | Advent1 | A Season of Light
 B | Advent1 | Advent Gathering Rite
 B | Advent1 | Alleluia! Hurry, the Lord Is Near
 B | Advent1 | As Servants Working an Estate
 B | Advent1 | Awake, Awake, Fling Off the Night
 B | Advent1 | Behold, the Bridegroom Is Here 
 B | Advent1 | Blessing of the Advent Wreath 
 B | Advent1 | Christ, Be Our Light 
 B | Advent1 | Clear the Voice 
 B | Advent1 | Come and Set Us Free 
 B | Advent1 | Come, Light of the World 
 B | Advent1 | Come, Lord, and Tarry Not 
 B | Advent1 | Come, Lord Jesus 
 B | Advent1 | Come, Lord Jesus 
 B | Advent1 | Come, O Lord, and Set Us Free 
 B | Advent1 | Come to Set Us Free 
 B | Advent1 | Creator Alme Siderum/Creator of the Stars of Night 
 B | Advent1 | Eye Has Not Seen 
 B | Advent1 | Find Us Ready 
 B | Advent1 | God of All People 
 B | Advent1 | Hold Me in Life 
 B | Advent1 | I Lift My Soul to You 
 B | Advent1 | In the Day of the Lord 
 B | Advent1 | Jesus, Hope of the World 
 B | Advent1 | Let the Valleys Be Raised 
 B | Advent1 | Litany of the Word 
 B | Advent1 | Maranatha 
 B | Advent1 | My Lord! What a Morning 
 B | Advent1 | Now the Day of the Lord Is at Hand 
 B | Advent1 | O God, Our Help in Ages Past 
 B | Advent1 | O, How I Long to See 
 B | Advent1 | O Lord of Light 
 B | Advent1 | Ps 25: To You, O Lord 
 B | Advent1 | Ready the Way 
 B | Advent1 | Rejoice, the Lord Is King 
 B | Advent1 | Save Us, O Lord
 B | Advent1 | Soon and Very Soon 
 B | Advent1 | The Day Is Near 
 B | Advent1 | The King Shall Come When Morning Dawns 
 B | Advent1 | There Is a Longing 
 B | Advent1 | Thy Kingdom Come 
 B | Advent1 | To You, O God, I Lift Up My Soul 
 B | Advent1 | To You, O Lord 
 B | Advent1 | Wait for the Lord 
 B | Advent1 | Wake, O Wake 
 B | Advent1 | We Live a Mystery 
 B | Advent1 | When the King Shall Come Again 
