A | Advent 1 | .
B | Advent 1 | Lord, Make Us Turn to You
C | Advent 1 | To You, O Lord I Lift My Soul
C | Advent 1 | A Ti Señor/To You, O Lord
C | Advent 1 | I Lift My Soul to You
C | Advent 1 | To You, O Lord/A Ti, Señor
A | Advent 2 | .
B | Advent 2 | Lord, Let Us See Your Kindness
C | Advent 2 | El Señor Ha Estado Grande con Nosotros 
C | Advent 2 | The Lord Has Done Great Things
A | Advent 3 | .
B | Advent 3 | My Soul Rejoices
B | Advent 3 | Magnificat
C | Advent 3 | Cry Out with Joy, You Will Draw Water
C | Advent 3 | Cry Out with Joy and Gladness
C | Advent 3 | Great in Our Midst
C | Advent 3 | Sing and Shout for Joy
A | Advent 4 | .
B | Advent 4 | For Ever I Will Sing
C | Advent 4 | Lord Make Us Turn to You
C | Advent 4 | Oh Dios, Restáuranos/ Psalm 80: Lord, Make Us Turn to You
A | AllSaints | .
B | AllSaints | .
C | AllSaints | Èsta es la grupo 
C | AllSaints | Èsta es la raza/ Psalm 24: Lord, this is the people
C | AllSaints | Lord, This Is the People
C | AllSaints | Lord, this is the people that longs to see your face
C | AllSaints | O God , this is the people that longs to see your face
A | AllSouls | El Señor Es Mi Pastor
B | AllSouls | El Señor Es Mi Pastor/Psalm 23: The Lord Is My Shepherd
C | AllSouls | My Shepherd Is the Lord
C | AllSouls | My Shepherd Is the Lord/Salmo 22: Nada Me Falta
C | AllSouls | Salmo 33 Gusten y Vean/Taste and See
C | AllSouls | Shepherd Me, O God/Salmo 22: Guíame, Señor
C | AllSouls | The Lord Is My Shepherd
C | AllSouls | The Lord Is My Shepherd, There is Nothing I Shall Want
C | AllSouls | Though I Walk
C | AllSouls | Tú Vas Conmigo/Psalm 23: The Lord is My Shepherd
A | Annunciation | Aquí Estoy, Señor
B | Annunciation | Here Am I
C | Annunciation | Here I Am
C | Annunciation | Here I Am, O God
C | Annunciation | Here I Am, O Lord 
C | Annunciation | Here Am I, Lord/Aquí Estoy, Señor
A | Ascension | Dios Asciende
B | Ascension | Dios Asciende/Psalm 47: God Mounts His Throne
C | Ascension | God Goes Up with Shouts
C | Ascension | God Mounts His Throne
C | Ascension | God Mounts His Throne to Shouts of Joy
A | AshWednesday | .
B | AshWednesday | .
C | AshWednesday | Be Merciful, O Lord
C | AshWednesday | Have Mercy on Me, O Lord
C | AshWednesday | Have Mercy on Us for We Have Sinned
C | AshWednesday | Have Mercy on Us, Lord
C | AshWednesday | Misericordia, Señor
C | AshWednesday | Por Tu Bondad, Perdónanos/Be Merciful, O Lord
A | Assumption | 
B | Assumption | .
C | Assumption | Lord, go up to the place of your rest, you and the ark of your holiness
C | Assumption | The queen stands at your right hand, arrayed in gold
A | BaptismLord | .
B | BaptismLord | With Joy You Will Draw Water
C | BaptismLord | Alabado Sea el Señor/ Psalm 29 Praise the Lord
C | BaptismLord | Bless the Lord
C | BaptismLord | El Señor Bendicea Su Pueblo Con La Paz
C | BaptismLord | O Bless the Lord, My Soul
C | BaptismLord | The Lord will bless his people with peace
A | BodyBlood | .
B | BodyBlood | .
C | BodyBlood | Priest For Ever, Jesus Christ
C | BodyBlood | Tú Eres Sacerdote para Siempre
C | BodyBlood | You Are a Priest For Ever
C | BodyBlood | You are a priest forever, in the line of Melchezedek
A | ChristKing | .
B | ChristKing | .
C | ChristKing | ¡Qué alegria cuando me dijeron
C | ChristKing | ¡Qué alegria cuando me dijeron/Psalm 122 I rejoiced when I heard them say
C | ChristKing | Let us go rejoicing to the house of the Lord 
C | ChristKing | Vamos alegres a la casa del señor/Psalm 122: Let us go rejoicing to the house of the Lord
C | ChristKing | ¡Qué alegria, ¡Qué alegria, cuando me dijeron/ Psalm 122: Let us go rejoicing 
C | ChristKing | Con que alegrïa vamos a la casa/ Psalm 122: Let us go rejoicing to the house of the Lord
A | Christmas | .
B | Christmas | All the Ends of the Earth
C | Christmas | All on Earth, in Sea and Sky
C | Christmas | All the Ends of the Earth
C | Christmas | Los Confines de la Tierra/Psalm 98: All the Ends of the Earth
A | Christmas Dawn | .
B | Christmas Dawn | A Light Will Shine
C | Christmas Dawn | A Light Will Shine on Us This Day
A | Christmas Midnight | .
B | Christmas Midnight | Today Is Born Our Savior
C | Christmas Midnight | Hos Ha Nacido un Salvador
C | Christmas Midnight | Hoy Nos Ha Nacido/ Today for Us a Savior is Born
C | Christmas Midnight | Today is Born Our Savior
A | Christmas Vigil | .
B | Christmas Vigil | For Ever I Will Sing
C | Christmas Vigil | Cantaré Eternamente/ For Ever I Will Sing
C | Christmas Vigil | Cantaré Eternamente/ Psalm 89: For Ever I Will Sing
C | Christmas Vigil | Forever I Will Sing the Goodness of the Lord
A | Easter | .
B | Easter | .
C | Easter | ¡Aleluya!/Psalm 118: Alleluia
C | Easter | Aleluya/Alleluia
C | Easter | Alleluia
C | Easter | Este Es el Día 
C | Easter | This Is the Day
A | Easter Vigil | .
B | Easter Vigil | .
C | Easter Vigil | R1 - Envía Tu Espíritu
C | Easter Vigil | R1 - Lord, Send Out Your Spirit
C | Easter Vigil | R1 - Send Forth Your Spirit
C | Easter Vigil | R1 - Send Us Your Spirit
C | Easter Vigil | R2 - Protégeme, Dio Mío
