A New Song (E)Â  GC 530
*Arise, Your Light Is Come! (G)Â  CBW 302
As Grains of Wheat (2)Â  MIâ€‘BB 331
As One Body in Your Spirit (2)Â Â  PSL 103/SS
As the Grains of Wheat (2)Â  GC 825/RS 921
As We Gather at Your Table (2,G)Â  RS 848/GC2 738/CBW 583/SS
Bread of Life â€‘â€‘ Farrell (2)Â  GP 498/JS 819/MIâ€‘BB 324/CBW 597
Come Down, O Love Divine (G)Â  WOR 472/CBW 407/JS 461/WC 628/RS 617/GC 465/GC2 471
Come, Holy Ghost (G)Â  W3 482/W4 544/CBW 416/GP 402/LMGM 69/LMGM2 324/MI-BB 452/JS2 458/JS3 443/WC 769/RS 611/GC 469/GC2 472/G3 559/WS 652/PMB 372/SS 859
Come, Lord, to Our Souls (1,G)Â  CBW 440
Come Now, Almighty King (1,G)Â  WOR 487/LMGM 76/JS 471/MIâ€‘BB 720/GC 475/GC2 486/GP 417/WC 778/WS 653/PMB 378/SS
Come to Set Us Free (G)Â  GC 338/GP 298
*Disciple's Song (G)Â  CBW 505
Diverse in Culture, Nation, Race (2,G)Â  RS 837/GC 739/GC2 729
Draw Us in the Spirit's Tether (2)Â  WOR 731/RS 917/JS 797
Earth and All Stars (E)Â  WOR 517/RS 681
*Gather Your People (2) W3 482/W4 544/CBW 416/GP 402/LMGM 69/LMGM2 324/MI-BB 452/JS2 458/JS3 443/WC 769/RS 611/GC 469/GC2 472/G3 559/WS 652/PMB 372/SS 859
Glorious in Majesty (2)Â  GC 671/WOR 619/RS 791
*God Has Chosen Me (G)Â  JS 831/MIâ€‘BB 379/GC 682/GC2 669/GP 546
God Has Spoken by the Prophets (1,G)Â  WOR 516/RS 654/JS 678/PMB 419/WC 800 
God Is Here! As We His People (2)Â  WOR 667/RS 844/GC 741/GC2 737/WC 906/PMB 463/JS 796/SS
God's Blessing Sends Us Forth (1,G)Â  WC 921/WS 773/PMB 473
*Good News, ref, v 1 (G)Â  LMGM 282/GC 679/GC2 672/RS 797/HG 90
*Great Is the Lord â€‘â€‘ Toolan, v 1 (G)Â  GC 684
*Hail to the Lord's Anointed (G)Â  WC 546/PMB 225/SS
Here I Am, Lord -- Schutte (G)Â Â  GP 542/WC 829/GC 686/GC2 671/JS 832/LMGM 283/MIâ€‘BB 378/RS 802/CBW 520/PMB 406/WS 686
*I Am the Light of the World (C)Â  JS 664/MIâ€‘BB 609/GP 658
In Christ There Is No East or West (2)Â  WOR 659/GP 565/LMGM 301/JS 850/CBW 529/WC 807/MIâ€‘BB 588/RS 836/GC 738/GC2 726/WS 672/PMB 391/SS
Jesus Is Our King (2)Â  LMGM 91
Let All Things Now Living (1)Â  WOR 559/WC 984/RS 707/GC 567/GC2 551/CBW 534/WS 814/PMB 516/JS 641/MI-BB 596/SS
Let Us Be One (2)Â  WC 777/PMB 388
Lord, You Give the Great Commission (G)Â  CH 639/GC 456/GC2 466/CBW 691/JS 381/PMB 382/GP 401/RS 607/WC 788/WOR 470/WS 663/MI-BB 375/SS
Make Us One (2) Â Â PMB 392/WC 806/WS 673
Many Are the Light Beams (2)Â  GC 736/RS 841
Not by Bread Alone (1,Ps,G)Â  GC 517
*O Bow Down before the King (E)Â Â  IH 38
O Christ, the Great Foundation (2)Â  WOR 618/RS 781, 782/GC2 646/CBW 527/SS
One Bread, One Body (2)Â  GC 830/GC2 813/GP 499/JS 2 820/LMGM 139/RS 915/WC 687/WS 556/BB 348/J3 793/G3 932
One Love Released (2)Â Â  JS 814/MI-BB 365
One Spirit, One Church (2)Â  GP 570/JS 703/BB 421/JS2 778/JS3 745
Out of Darkness -- Walker (1,G)Â  JS 765/GC 689/MIâ€‘BB 516/GP 574
*Praise the One Who Breaks the Darkness (G)Â  CBW 582
Praise to You, O Christ Our Savior (1,G)Â  JS 674/MIâ€‘BB 605/GC 515/GC2 517/RS 652/GP 662/CBW 442
Send Down the Fire (G)Â  GC 466/GC2 477
Sing a New Song -- Schutte (E)Â  GP 670/JS 607/GC 537/GC2 544/CBW 563/MIâ€‘BB565/RS 686/WC 931/WS 784
Sing a New Song to the Lord -- Dudley-Smith/Wilson (E)Â  WOR 550/CBW 566/GC 521/GC2 541/RS 677/WC 958/PMB 493/SS
Song of Good News (1,G)Â  WC 801/WS 670
Speak, Lord (1,G)Â  MIâ€‘BB 603
Take Christ to the World (G)Â  GP 549/JS 836
Tell It! Tell It Out with Gladness (1)Â Â  GC2 518
The Church's One Foundation (2)Â  JS2 779/JS3 746/CBW 526/WC 789/GP 573/MI-BB 420/GC 661/G3 742/LMGM2 606/WS 660/PMB 385/W4 736/SS 959
The Day Is Near (G)Â  GC 768
*The One Same Spirit (2)Â Â  PMB 389
*The Spirit of God (G)Â  WC 832/GC 458/WS 687/PMB 399
*The Voice of God Goes Out through All the World (G)Â  WOR 358/CBW 433
There Is One Lord (2)Â  WOR 657/GP 453/GC 809/GC2 796/CBW 530/WC 638/WS 555/PMB 287/JS 699/MI-BB 499
There's a Spirit in the Air (G)Â  WOR 531/WC 627/RS 689/GC 550
Vayan al Mundo/Go Out to the World (G)Â Â  MI-BB 386
We Are Many Parts (2)Â  W4 822/GC 733/GC2 727/G3 733/RS 840/WC 803/MI-BB 591/WS 674
