2017-2018 B Advent3

Psalm of the Day

Be Glad, My Soul, (Arnandez, Frischman), vss. 1, 2, 3, 6, 7	PMB 181, WC 486
Canto de Maria (Sosa)	GP 292, FYC3 252
Lord, Make Us Turn to You (Haugen), vss. 7, 8, 9	RS 107
Magnificat (Chepponis)	G3 101, GC2 84, RS 211
Magnificat Anima Mea (Rubalcava)	BB-MI 823
Magnificat, My Being Proclaims (Roff)	CCS 2350
My Soul Gives Glory (Vermulst)	PMB 180
My Soul Proclaims (Hughes)	CCS 2819
My Soul Proclaims (Toolan)	GP 428, JS2 120
My Soul Proclaims Your Greatness (Haugen)	PCY2 57
My Soul Rejoices	PSL B-8, SS 547
My Soul Rejoices (Alstott)	BB 821, JS2 503, JS3 120
My Soul Rejoices (Batastini, Gelineau)	LPGG 773, RS 209, WOR 773, WOR4 121
My Soul Rejoices (François)	SPS 109
My Soul Rejoices (Greening)	PMB 561, PRM B3
My Soul Rejoices (Guimont)	G3 998, GC2 1019, LPMG 8
My Soul Rejoices (Schiavone)	JS2 885, LP 15
My Soul Rejoices (Vervoort)	CBW 24

Songs for the Liturgy

Title	Ref	Choices
A Voice Cries Out	1, G	BB 44, G3 416, GC2 343, GP 294, GP3 213, JS 313, JS2 313, JS3 276, OFUV 353, RS 485
Advent Antiphon	1	CBW 301
Advent Gathering	1	RS 492
*Advent Gathering Rite	E	WC 510, WS 407
Advent Gathering Song	1	G3 405, GC2 324, OIF 360, RS 492, SS 634
Advent Litany	1	BB 51
Alleluia! Hurry, the Lord Is Near	1, 2	BB 52, JS2 324
*Arise, Your Light Is Come!	1	CBW 302
*Awake, Awake and Greet the New Morn – Advent text	C	CBW 303, G3 423, GC2 351, RS 494, SS 677, WC 491, WOR4 406, WS 412
*Be Strong	C	PSL B-9, SS 223, 224
Behold a Virgin Bearing Him	G	PMB 203, WC 517, WS 424
Christ, Be Our Light	1	BB-MI 596, G3 590, GC2 512, GP 656, GP3 683, JS2 661, JS3 824, OFUV 625, OIF 867, SPS 207, SS 808, WC 962, WS 777
Christ Is Coming: Prepare the Way	G	LMGM 10, LMGM2 241
Christ Is the World’s Light	G	WOR 543, WOR4 602
Come and Set Us Free	1	SPS 134
Come, Emmanuel	1	PMB 192, SPS 137, WC 508, WS 406
Come, Light of the World	1	WC 494, WS 414
Come, O Long Awaited Savior	1	PMB 189, WC 496, WS 417
Come, O Long Expected Jesus	1	BB 39, CBW 300, 306, G3 403, GC 323, GC2 345, GP 309, GP3 212, JS 328, JS2 328, JS3 296, LMGM 5, LMGM2 238, OFUV 365, OIF 359, RS 496, SS 637, WOR 364, WOR4 394
*Come, Rejoice	E	IH 3
Come to Set Us Free	1	GP 298
Come to Us		SPS 135
*Every Valley	G	BB 66, CBW 308, GP 297, GP3 221, JS 326, JS2 326, OFUV 370
*God Has Chosen Me	1	BB-MI 380, G3 761, GC 683, GC2 672, GP 546, GP3 542, JS 831, JS2 831, JS3 815, OFUV 735,
*Good News	1	G3 768, GC2 672, RS 797
Hail to the Lord’s Anointed	1	PMB 225, SS 656, WC 549, WS 452
Hold Me in Life	G	GC 599, GP 596, JS2 702
