AllSaints 11/1/2018

Psalm of the Day: “Lord, this is the people that longs to see your face.”

Ésta Es la Raza (Montgomery)	FYC 186, FYC3 162
Lord, This Is the People	LPGC 1225, LP 1209, PSL 236
Lord, This Is the People (Alstott)	RA 148
Lord, This Is the People (Armstrong, Somerville)	CBW 225
Lord, This Is the People (Cooney)	GP 182
Lord, This Is the People (Englert)	LPGA B105, PMB 756, PRM A107
Lord, This Is the People (Gelineau, Carroll)	LPGG 1058, RS2 1310, W3 1053, W4 1225
Lord, This Is the People (Guimont)	GC2 899, LPMG 667
Lord, This Is the People (Hunstiger)	SS 500
Lord, This Is the People (Inwood)	TCP p.26
Lord, This Is the People (McKinley)	S&P 324
Lord, This Is the People (Psallite)	SS 354
Lord, This Is the People (Waddell)	PSL B229
Lord, This Is the People (Schiavone)	JS 1062, LPJS 207
Lord, This Is the People (Smith)	SP5 14
O God, This Is the People (Keil)	GC 34, GC2 25, RS 47

Songs for the Liturgy

Title	Ref	Choice
A Living Faith/Fe Santa Que Nos Dio Jesús	1	G3 677, GC2 579, LMGM2 552, OC 564, RS 726, RS2 1076, W4 676
A Multitude Comes from the East and the West	1	W3 688
*Alabaré/Alabaré, We Sing the Praises of Our God	1	GC 542, GP 680, OC 502, RS 662, RS2 720, W4 618
Around the Throne, a Glorious Band	1	CBW 450, W3 719, W4 907
At the Lamb’s High Feast We Sing/Un Banquete Tan Triunfal	1	BB-MI 165, CBW 375, G3 536, GC 433, GC2 463, GP 394, GP3 319, JS 424, JS3 407, LMGM2 316, OC 449, OFUV 480, OIF 453, PMB 271, RS 578, RS2 613, SS 765, W3 459, W3 460, W4 512, WC 596, WS 492
*Be Not Afraid/No Temas Más (Dufford), v. 3	1,G	BB-MI 432, CBW 481, G3 683, GC 608, GC2 596, GP 602, GP3 600, JS 706, JS3 673, LMGM 123, LMGM2 583, OC 574, OFUV 647, OIF 774, PMB 446, RS 734, RS2 797, SPS 271, SS 849, W4 680, WC 875, WS 714
*Beatitudes	G	BB-MI 631, GP 717, GP3 757, JS 657
Blessed Assurance/En Jesucristo, Puerto de Paz	2	LMGM 199, LMGM2 431, OC 582, OIF 757, PMB 441, SPS 276, SS 230, WC 872, WS 705
*Blest Are the Pure in Heart	G	CBW 471
*Blest Are They/Benditos los Pobres	G	BB-MI 629, CBW 522, G3 735, GC 659, GC2 636, GP 35, GP3 759, H 478, LMGM2 602, OC 601, RS 774, RS2 839, SS 870, W4 721, WC 973, WS 783
