2017-2018 B Christmas

Psalm of the Day

All the Ends of the Earth	PSL B-14
All the Ends of the Earth (Beall)	SO 11, WC 461, WS 369
All the Ends of the Earth (Booth)	SPS 82
All the Ends of the Earth (Canedo)	SPS 83
All the Ends of the Earth (Guimont)	G3 1006, GC2 966, LPMG 16
All the Ends of the Earth (Haas, Haugen)	BB-MI 793, G3 70, GC 95, GC2 55, CBW 29B, 548, RS 135, WOR4 75
All the Ends of the Earth (Harbor)	LMGM 504
All the Ends of the Earth (Hirten, Proulx)	CCS 3631
All the Ends of the Earth (Hunstiger)	SS 525
All the Ends of the Earth (Hurd)	BB-MI 541, GP 241, GP3 133, JS 77, JS3 79,
All the Ends of the Earth (Jordan)	LMGM 505
All the Ends of the Earth (Kreutz)	JS2 79, PSC 10
All the Ends of the Earth, Los Confines de la Tierra (Lobato)	WS 368
All the Ends of the Earth (Marchionda)	PRM B9, PMB 161, 569, WC 462
All the Ends of the Earth (Murray)	CBW 125
All the Ends of the Earth (Peloquin)	SI 12
All the Ends of the Earth (Proulx, Gelineau)	LPGG 781, RS 137, WOR 781, WOR4 76
All the Ends of the Earth (Schiavone)	JS2 893, JS3 81LP 23
All the Ends of the Earth (Trapp)	SS 578
All the Ends of the Earth (Willcock)	PFS 6
Los Confines de la Tierra, All the Ends of the Earth (Cortez)	JS2 76
Los Confines de la Tierra (García)	FYC 241
Los Confines de lat Tierra, All the Ends of the Earth (Hurd)	FYC 240, Una Voz 216
The Ends of the Earth (Leaf)	CBW 32

Songs for the Liturgy
Today’s liturgy should be full of the sound of familiar carols. For the Masses at Midnight and at Dawn, choose carols that evoke the images of the Christmas story: Bethlehem, manger, angels, and shepherds. For the Mass during the Day, look for hymns and songs that proclaim that Christ is born this day, as the Word made flesh continues to dwell among us.

Title	Reference	Choices
A Child Is Born	All Masses	GP 330
A Child Is Born in Bethlehem	Midnight, Dawn	JS 340, JS2 340, RS 500, WC 532, WOR 384, WOR4 432
*A Light Will Shine	E, Dawn	PSL B-13, SS 201, 524
*A Radiant Light Has Come	E, Dawn	IH 7
A Stable Lamp Is Lighted	Midnight	WOR 385
*All the Ends of the Earth	C, Day	BFW 26, JS2 595
Angels from the Realms of Glory	Midnight, Dawn	BB, 109, G3 438, GC 358, GC2 369, GP 335, GP3 253, JS 367, JS2 367, JS3 332, LMGM 18, LMGM2 264, OFUV 383, OIF 379, PMB 202, RS 508, SS 676, WC 516, WOR 377, WOR4 425, WS 449
Angels We Have Heard on High	Midnight, Dawn	BB 80, CBW 320, G3 430, GC 347, GC2 361, GP 313, GP3 236, JS 341, JS2 341, JS3 308, LMGM 17, LMGM2 246, OFUV 382, OIF 378, RS 504, PMB 204, SPS 145, SS 688, WC 530/WS 430/WOR 376/WOR4 417
Awake! Awake, and Greet the New Morn	Midnight	CBW 303, G3 423, GC2 351, RS 494, SS 677, WC 491, WOR4 406, WS 412
Away in a Manger	Midnight	BB 77, G3 448, GC 353, GC2 365, GP 321, GP3 238, JS 359, JS2 359, JS3 310, 324; LMGM2 252, 261; OFUV 392, OIF 376, PMB 208, RS 515, SS 690, WC 494, 504, WOR 378, WOR4 437, WS 442
Bread of Life (Farrell) Advent, Christmas setting	All Masses	BB 74, 322; JS 819
Carol at the Manger	Midnight	G3 443, GC2 354, RS 516
*Child of Mercy	Midnight	G3 431, GC2 368, RS 506, SS 681
Child of the Poor	Midnight	BB 105, GP 336, GP3 257, JS2 366, JS3 331
Christ Was Born on Christmas Day	All Masses	RS 513, SS 667
Cry Out with Joy and Gladness	Vigil, Midnight	PMB 197, WC 514, WS 423
