Year B Second Sunday of Easter

Psalm of the Day

Alleluia	PSL B-75
Give Thanks to the Lord (Alstott)	BB, JS 96
Give Thanks to the Lord (Angrisano/Green)	SPS 89
Give Thanks to the Lord (Boschetti/Fowler)	CBW 91
Give Thanks to the Lord (Guimont)	G3 1066, GC2 988, LPMG 43
Give Thanks to the Lord (Haugen)	RS2 94
Give Thanks to the Lord (Hopson)	LPGA B47, PMB 618, PRM B58, WS
Give Thanks to the Lord (Schiavone)	JS 923, LP 66
Give Thanks to the Lord (Smith)	BB-MI 816, GP 264
Give Thanks to the Lord (Waddell/Gelineau)	LPGG 843, RS 159, W3 838, W4 94,1081
Songs for the Liturgy
See also suggestions for Easter Sunday, many of which are appropriate on any Sunday of the Easter Season.

Title	Ref	Choices
A Living Hope	2	CBW 613, PMB 284
*As Newborn Infants	E	IH 23
At the Lamb’s High Feast	2	BB-MI 172, CBW 375, G3 536, GC2 463, GP 394, JS 424, PMB 271, RS 578, RS2 613, SS, W3 459,460, W4 512, WC 564, WS
Awake, O Sleeper, Rise from Death	G	RS 729, W3 586, W4 915, WC 802, WS
Baptized in Living Waters	2,G	PMB 386, WC 762, WS
Baptized in Water	2,G	CBW 614, BB-MI 657, G3 903, GC2 797, JS 542, PMB 286, RS 903, RS2 1020, SS, W3 720, W4 919, WC 617, WS
Be Not Afraid – Taizé	G	W4 522
Bread of Life from Heaven, Pan de Vida Eterna	G	G3 943, GC2 803, SS, W4 948
By All Your Saints Still Striving	G	RS2 986, W4 890
Christ Has Risen	G	G3 530, GC2 465, W4 505
Christ, Our King before Creation	G	CBW 499
Church of God	1	CBW 581, GP 571, PMB 381, RS 783
Come and Eat This Bread	2	SS
Come and Eat This Living Bread	2	G3 942, GC2 820
Crown Him with Many Crowns	G	BB-MI 743, CBW 437, G3 574, GC2 489, GP 420, JS 480, LMGM 68, PMB 359, RS 626, RS2 669, SS, W3 496, W4 571, WC 724, WS
Do Not Be Afraid	G	GP 630, JS 731
*Draw Us in the Spirit’s Tether	1	JS 797, RS 917, W3 731, W4 937
Eye Has Not Seen	G	BB-MI 463, CBW 482, G3 728, GC2 616, RS 758, RS2 819, SS, W4 713, WC 856, WS
Father, We Thank Thee	1	CBW 528, G3 632, GC2 547, PMB 316, RS 705, RS2 745, SS, W3 558, W4 631, WC 630, WS
Glory and Praise to Our God	G	BB-MI 547, G3 606, GC2 537, GP 671, JS 596, RS 696, W4 597, WC 909, WS
