2017-2018 B Holy Family

Psalm of the Day

God Remembers His Covenant For Ever	PSL B-18, SS
The Lord Remembers His Covenant For Ever (Black)	CBW 34
The Lord Remembers His Covenant For Ever (Guimont)	GC2 977, LPMG 17B
The Lord Remembers His Covenant For Ever (Hughes)	PMB 571, PRM B11, WS 76
The Lord Remembers His Covenant For Ever (Schiavone)	JS2 895, LP 25

Alternative Psalm of the Day (A): Psalm (127) 128
Blessed Are Those Who Fear the Lord (Guimont)	GC2 996, LPMG 17
Blessed Are Those Who Fear the Lord (Hunstiger)	SS 538
Blessed Are Those Who Fear the Lord (Rendek)	PMB 570, PRM B10
Blessed Are Those Who Fear the Lord (Schiavone)	JS2 894, LP 24
Blest Are Those Who Love You (Haugen)	GC 125, GC2 70, CBW 628, PCY2 43, RS 173, WOR4 101
Dichoso el que Teme al Señor (García)	FYC 267
Dichoso el que Teme al Señor (Taulé)	FYC 266, FYC3 233
Happy Are Those (Somerville)	CBW 33
Happy Are Those (Stewart)	PCY5 13
Like Olive Branches (Deiss)	PMB 333
O Blessed Are Those (Gelineau)	CBW 431
O Blessed Are Those (Inwood)	G 54, GP 273, GP3 195, JS2 104, JS3 105
O Happy Are Those (Gelineau)	RS 172, WOR 782
We Praise You (Balhoff, Ducote, Daigle), vss. 6-7	GC 541, G3 617, GC2 540, GP 677, GP3 736, JS2 626, RS 694


Songs for the Liturgy


Title	Ref	Choices
A Stable Lamp Is Lighted	G	WOR 385
*Canticle of Simeon	G	CBW 680; GC 144, 776; GC2 85, 767; GP 439; GP3 211, JS2 123, 876; JS3 124, 857, PMB 183; RS 212, 874; WC 488, WOR 676, 691, WOR4 126, 127; WS 399
Child of Gladness	G	CBW 326
Child of the Poor	G	BB 105, GP 336, GP3 257, JS2 366, JS3 331
Christ, You Are the Fullness	2A	CBW 431
Come, Sing a Home and Family		OIF 906, PMB 220, WC 997, WOR4 439, WS 796
Faith, Hope and Love	2A	GC 624, GC2 609
Faith of Our Fathers	1B 2B BB-MI 488, CBW 446, GC 600, GC2 579, GP 592, 593, JS2 698, JS3 667, PMB 421, RS 726, SS 843, WC 840, WOR 571, WOR4 676, WS 683
Faithful Family	2A	GC 413, GP 365, GP3 659
For the Beauty of the Earth	2A	BB-MI 587, CBW 531, G3 633, GC 572, GC2 548, GP 76, GP3 705, JS2 642, JS3 609, LMGM2 480, OFUV 602, OIF 892, PMB 517, RS 697, SS 829, WC 986, WOR 557, WOR4 632, WS 789
God Is Love	2A	BB-MI 482, CBW 473, G3 699, GC 629, GC2 608, GP 647, GP3 655, JS2 749, JS3 715, RS 744, SS 806
God Made from One Blood	1A	RS 824
God of Adam, God of Joseph	G	GC 893, GC2 870, JS2 361, JS3 326, RS 960
God of Eve and God of Mary	G	GC 892, GC2 871, JS2 360, JS3 325, RS 959
God of Love	2A	GP 647, GP3 661
