Year B Lent 1

Psalm of the Day

Teach Me Your Path	PSL B-30
Teach Me Your Ways (Artman)	SO 6
Teach Me Your Ways (Haas)	G3 38, RS 54
Teach Me Your Ways (Hunstiger)	SS 416
Your Ways, O Lord (Carroll/Gelineau)	LPGG 792, W3 788
Your Ways, O Lord (Duncan)	W4 1028
Your Ways, O Lord (Guimont)	G3 1017, GC2 901, LPMG 23
Your Ways, O Lord (Haugen)	RS 53
Your Ways, O Lord (Kreutz)	LPGA B18, PMB 581, PRM B18
Your Ways, O Lord (Kreutz/Knarr)	CBW 45
Your Ways, O Lord (Schiavone)	JS 904, LP 35
Songs for the Liturgy

Title	Ref	Choices
Again We Keep This Solemn Fast	G	BB 120, CBW 352, G3 487, GC2 407, HG 158, JS 394, JS3 353, OFUV 426, OIF 419, PMB 233, RS 559, RS2 566, SS 713, W3 420, W4 474, WC 562, WS 458
Attende Domine	1,Ps	BB 118, JS 378, JS3 346, OIF 418, PMB 239, RS 552, RS2 560,SPS 156, SS 708, W3 414, W4 473, WC 560, WS 462
*Be with Me, O God	G	JS 667
Before the Fruit Is Ripened by the Sun	G	W3418, W4 468
Beyond the Days	G	BB 125, JS 384, JS3 360
*Blest Be the Lord	G	BB-MI 431, G3 686, GC2 585, GP 599, GP3 605, JS 708, JS3 677, OFUV 640
Bread of Life, Hope of the World	G	CBW 597D, GP 498, JS 819
Eternal Lord of Love	2,G	CBW 360, JS 390, RS 554
Forty Days	G	SPS 155
*Forty Days and Forty Nights	G	BB 126, G3 483, GC2 411, GP 345, GP3 263, JS 380, JS3 350, LMGM 42, LMGM2 288, OFUV 417, OIF 421, PMB 232, RS2 565, SS 714, W3 419, W4 466, WC 558, WS 464
*From Ashes to the Living Font	G	G3 474, GC2 402, OIF 427, PMB 236, RS 561, RS2 562, SS 727, W4 463, WC 561, WS 463
*From the River to the Desert	G	HG 54
God Will Take Care of You	G, C	LMGM 183, LMGM2 409
Gracious God	G	SPS 157
Guide My Feet	G, C	G3 780, GC2 684
*Have Mercy, Lord, on Us	Ps	CBW 358, PMB 328, W3 753, W4 966, WC 705
Hold Me in Life	G	GP 596, JS 702
Hold Us in Your Mercy		G3 494, GC2 398, GP 350
I Will Be Your God	1,Ps,2	JS 383
I Will Choose Christ	G	BB-MI 510, G3 802, GC2 683, GP 459, GP3 574, JS 775, JS3 736, SPS 220
Into the Desert	G	SPS 159
Jesus, Lead the Way	G	G3 732, GC2 632, RS 755, RS2 824, W3 611, W4 715
