Year B Fourth Sunday in Lent

Psalm of the Day

Let My Tongue Be Silenced (Guimont)	CBW 54, G3 1026, GC2 1002, LPMG 32
Let My Tongue Be Silenced (Hay)	LPGA 104, PMB 590, PRM B22
Let My Tongue Be Silenced (Schiavone)	JS 913, LP 44
Let My Tongue Be Silenced (Schoen/Gelineau)	LPGG 801, RS 182, RS2 107, W3 797, W4 1037
Let My Tongue Be Silenced (Waddell)	WC 444
Let My Tongue Be Silent (Johengen)	RS 183
O Let My Tongue Cleave to My Mouth	PSL B-41, SS 374
Suggested Common Psalm        Psalm (90) 91: A general psalm of trust, probably sung originally by a cultic official in the Temple.

Be with Me, Lord, When I Am in Trouble

Songs for the Liturgy

Title	Ref	Choices
All You Who Are Thirsty	1,2	RS 644
Amazing Grace	2,G	BB-MI 433, CBW 480, G3 645, GC2 586, GP 615, GP3 614, JS 713, JS3 680, LMGM 173, LMGM2 495, OFUV 639, OIF 330, PMB 323, RS 737, RS2 757, SS 847, SPS 265, W3 583, W4 650, WC 706, WS 586
As We Remember	2	GP 504
Awake, O Sleeper, Rise from Death	G	RS 729, W3 586, W4 915, WC 826, WS 668
Behold, Before Our Wond’ring Eyes	G	JS 381, JS3 349
Blest Be the Lord	1,Ps	BB-MI 431, G3 686, GC2 585, GP 599, GP3 605, JS 708, JS3 677, OFUV 640
*By the Babylonian Rivers	1,Ps	RS 543, W3 426
*By the Waters of Babylon	1,Ps	G3 672, GC2 573, RS2 774, WS 386
Change Our Hearts	1,Ps	BB-MI 659, G3 493, GC2 414, GP 349, GP3 264, JS3 535, OFUV 310
Christ Is the World’s Light	G	W3543, W4 602
Christ’s Church Shall Glory	G	RS 777, RS2 851, SS 880, W3 616
Come, Taste and See	1,2	GP 526, JS 818
Crucem Tuam	G	GC2 393, RS 571, RS2 602, W4 464
Do Not Fear to Hope	2,G	GP 597
Eternal Lord of Love	G	CBW 360, JS 390, RS 554
*For God So Loved the World	G	G3 580
*From Ashes to the Living Font	G	G3 474, GC2 402, OIF 427, PMB 236, RS 561, RS2 562, SS 727, W4 463, WC 561, WS 463
*God So Loved the World	G	PMB 418, WC 842, WS 684
Great God of Mercy	2	CBW 361, W3 746
He Will Remember Me	1,Ps,2,G	LMGM 36
Hold Me in Life	2	GP 596, JS 702
Hold Us in Your Mercy (Conry)	1,2	G3 494, GC2 398, GP 350
*How Can I Be a Friend	G	WC 807
I Am the Light of the World	G	BB-MI 598, GP 658, GP3 684, JS 664, JS3 630, OFUV 624
I Heard the Voice of Jesus Say	2,G	BB-MI 463, G3 724, GC2 622, JS 729, GP 633, GP3 646, JS 726, JS3 692, LMGM 41, LMGM2 598, OFUV 189, OIF 327, PMB 452, RS 768, RS2 821, SS 865, W3 607, W4 707, WC 876, WS 711
I Want to Walk as a Child of the Light	G	BB-MI 600, G3 593, GC2 513, JS3 632, LMGM2 420, PMB 404, RS 651, RS2 693, SS 807, W3 510, W4 585, WC 819, WS 652
I Will Be Your God	1	JS 383
I Will Choose Christ	G	BB-MI 510, G3 802, GC2 683, GP 459, GP3 574, JS 775, JS3 736, SPS 220
In All Our Grief	Ps,G	W4 971
In the Cross of Christ	G	G3 515, GC2 436, RS 221, SS 738
Jerusalem, My Destiny	1	G3 492, GC2 399, SS 721
Jesus, Keep Me Near the Cross	2	LMGM 45, LMGM2 300
*Jesus, Lord	G	CBW 365, GP 594
