B-Ordinary11

Psalm of the Day

Es bueno darte gracias, Señor/Lord, it is good to give thanks to you (Schiavone)	OC 934
Lord, It Is Good	GC2 958
Lord, it is good to give thanks to you	OIF 1066
Psalm 92: Lord, It is Good to Give Thanks to You (Agrisano)	S&P 222
Lord, it is good to give thanks to you (Guimont)	G3 1123
Lord, it is good to give thanks to you (Joncas)	WS 165
Lord, it is good to give thanks to you (Inwood)	TCP p.83
Lord, it is good to give thanks to you (Louis)	LMGM2 911
Lord, It is Good to Give Thanks to You (Petty)	
Lord, it is good to give thanks to you (Proulx)	RS2 1217, RS2 1225, W4 1140
Lord, it is good to give thanks to you, to give thanks to you	RS2 1398
It is Good to Give Thanks to You (Walker)	OFUV 206
Lord, It is Good to Give Thanks to You (Alstott)	H 200, JS3, GP3 876

Songs for the Liturgy

Title	Ref	Choices
A Place at the Table		G3 812, GC2 705, OIF 865, WC 962, WS 981
Blessed Assurance, Jesus is Mine	2	LMGM 199, LMGM2 431, OC 582, OIF 757, PMB 441, SPS 276, SS 230, WC 872, WS 705
Bring Forth the Kingdom		G3 734, GC 658, GC2 640, RS 772
Called by Christ	G	G3 767
Center of My Life/Señor, Eres Mi Vida	G	BB-MI 490, G3 679, GC 598, GC2 580, GP 593, H490, JS 697, JS3 665, GP3 591, OC 566, RS2 788, W4 678
Come Ye, Thankful People Come	2	BB-MI 205, G3 634, GC 564, GC2552, GP3 702, JS3 606, W4 858
Eye Has Not Seen/Ni Ojo Ni Oído	2	BB-MI 462, CBW 482, G3 728, GC 638, GC2 616, GP3 645, H 448, OC 595, OFUV, OIF 875, PMB, RS 758, RS2 819, SS 820, SS2 940, W4 713, WC 879, WS 710
Faith of Our Fathers		BB-MI 488, CBW 446, CP3 444, G3 677, GC 600, GC2 579, GP 592, GP3 593, H 488, JS2 698, JS3 667, LMGM2 552, OC 564, OIF 733, PMB 421, RS 726, RS2 787, SS 843, WC 840, W3 571, W4 676, WS 683
Father, We Thank Thee Who Hast Planted/ Father, We Thank You, Who Have Planted /Gracias, Buen Padre	2	BB-MI 337, CBW 602, CH 374, G3 932, GC 838, GC2 806, GP3 505, H 398, LMGM2 753, OC 541, OIF 539, PMB 316, RS2 745, SS 835, W4 631, WC 655, WS 535
For the Fruits of All Creation	G	BB-MI 427, H 454, JS3 615, OIF 893, RS2 750, W4 857, WC 980, WS 791
For the Fruits of This Creation	G	JS 418, RS 704, RS2 750, SS 917, W3 562, W4 857
Gather Us In		BB-MI 303, CBW 587, CH 624, G3 848, GC 744, GC2 743, GP 78, H 374, LMGM2 676, OC 687, RS 850, RS2 929, SS 922, W3 665, W4 836, WC 907, WS 730
Gathered as One		G3 841, GC2 745, OIF 803, WC 910, WS 736
Give Glory		OIF 693
Glory and Praise to Our God	G	BB-MI 546, G3 606, GC 552, GC2 537, GP 671, GP3 723, H 481, JS 596, JS3 574, OC 512, OFUV 576, OIF 836, RS 696, W4 597, WC 935, WS 756
