B-Ordinary14

Psalm of the Day

A Ti Levanto Mis Ojos (Manzano)	FYC 568, FYC3 309
Our Eyes Are Fixed on the Lord (Chepponis)	W4 98, W4 1149
Our Eyes Are Fixed on the Lord (Stephan)	SP 240
Our Eyes Are Fixed on the Lord (Gelineau, Toolan)	LPGG 910, RS2 1234, W3 905
Our Eyes Are Fixed on the Lord (Guimont)	G3 1132, GC 122, GC2 994, LPMG 101, RS 168
Our Eyes Are Fixed on the Lord (Hunstiger)	SS 537
Our eyes are fixed on the Lord (Inwood)	TCP p.124
Our Eyes Are Fixed on the Lord (Marchionda)	LPGA B73, PMB 681, PRM B84, WS 175
Our Eyes Are Fixed on the Lord (Petty)	LMGM2 920
Our Eyes Are Fixed on the Lord (Schiavone)	JS 988, LP 132
Our Eyes Are on the Lord (O’Carroll, Hall)	CBW 152
We Lift Our Eyes (AGM)	W3 68
We Look to You, Lord	PSL 255, PSL-B 135, SS 457
 

Suggested Common Psalm: Ps (94) 95

If Today You Hear His Voice, Harden Not Your Hearts

 

Songs for the Liturgy

Title	Ref	Choices	
Alleluia! Go and Teach All People	1,G	CBW 515
Amazing Grace!/Sublime Gracia (NEW BRITAIN)	2	BB-MI 433, CBW 480, G3 645, GC 612, GC2 586, GP 615, GP3 614, JS 713, JS3 680, LMGM 173, LMGM2 495, OC 545, OFUV 639, OIF 330, OIF 576, PMB 323, RS 737, RS2 757, SPS 265, SS 847, W3 583, W4 650, WC 217, WS 26, WS 586
Arise, Your Light Is Come!	1,G	CBW 302, W4 583
As a Fire Is Meant for Burning/Como un Fuego Brilla y Quema	1,G	G3 744, GC 663, GC2 643, OC 608, RS 779, RS2 850, W4 734
Be Still, My Soul	2	LMGM 163, LMGM2 778
Blest Are We	G	OIF 680, PMB 409, WC 799, WS 669
By Gracious Powers	G	W3 577
Christ, You Are the Fullness	G	CBW 431
Christ’s Church Shall Glory in His Power	2,G	CH 487, RS 717, RS2 851, SS 880, W3 616
*Come to Me (Bell)		G3 720, W4 716
Come to Me (Dufner)		JS2 735
*Come to Me (Haas)		GC 650
*Come to Me (Joncas)	C	G3 731, GC 647, GC2 633, RS2 836
