B-Ordinary15

Psalm of the Day

Let Us See Your Kindness (McAleer)	BB-MI 790, GP 225
Lord, Let Us See Your Kindness (Balhoff et al)	GC 80, GP 224, RS 114
Lord, Let Us See Your Kindness (Bogdan)	WC 451, WS 58
Lord, Let Us See Your Kindness (Carroll, Gelineau)	LPGG 913, RS 113, W3 908, W4 1152
Lord, Let Us See Your Kindness (French)	LPGA B74, PMB 156, PMB 684, PRM B85, WS 117
Lord, Let Us See Your Kindness (Guimont)	G3 1135, GC2 951, LPMG 104
Lord, Let Us See Your Kindness (Haugen)	G3 62, GC 79, GC2 48, LMGM 502, RS 112
Lord, Let Us See Your Kindness (Hunstiger)	SS 517
Lord, Let Us See our Kindness (Inwood)	TCP p.76
Lord, Let Us See Your Kindness (Peloquin)	SI2 5
Lord, Let Us See Your Kindness (Roff, Isele)	CBW 155
Lord, Let Us See Your Kindness (Schiavone)	JS 991, LP 135
Lord, Let Us See Your Kindness (Soper)	BB-MI 789
Lord, Let Us See Your Kindness (Testa)	CCS 2932
Lord, Let Us See Your Kindness (Willcock)	PFS 4
Lord, Let Us See Your Kindness (Young)	JS 783
Lord, Show Us Your Mercy (Marchionda)	SO 64
Lord, Show Us Your Mercy (Modlin)	SPS 76
Lord, Show Us Your Mercy and Love (Whitaker)	SPS 77
Muéstranos, Señor (Sosa)	FYC 226
Muéstranos, Señor, Tu Misericordia (Taulé)	FYC 227, FYC3 197
Muéstranos, Seor Tu Misericordia, Show Us, O Lord (Cortez)	FYC 225, FYC3 198, JS 61
O Lord, Let Us See Your Kindness (Harbor)	LMGM 501
Show Us, Lord, Your Kindness	PSL 208, PSL-B 5, SS 409
 

Songs for the Liturgy

Title	Ref	Choices
All That Is Hidden	1,G	BB-MI 503, G3 746, GC 654, GC2 654, GP 585, GP3 553, JS 762, JS3 728
Alleluia! Go and Teach All People	1,G	CBW 515
Amazing Grace! (call and response)	2	LMGM 195, LMGM2 496
Amazing Grace! (New Britain)	2	BB-MI 433, CBW 480, G3 645, GC 612, GC2 586, GP 615, GP3 614, JS 713, JS3 680, LMGM 173, LMGM2 495, OC 545, OFUV 639, OIF 330, OIF 576, PMB 323, RS 737, RS2 757, SPS 265, SS 847, W3 583, W4 650, WC 217, WS 26, WS 586
Arise, Your Light Is Come!	1,G	CBW 302, W4 583
Baptized in Living Waters	2	OIF 662, PMB 386, WC 786, WS 639
Baptized in Water/Ya Bautizados, v 3	2	BB-MI 648, CBW 614, G3 903, GC 798, GC2 797, JS 542, JS3 516, LMGM2 746, OC 733, OIF 516, PMB 286, RS 903, RS2 1020, SS 1057, W3 720, W4 919, WC 637, WS 527
Before the Sun Burned Bright	1,G	CBW 504, GP 577, GP3 565
Blessed Assurance, Jesus is Mine!	2	LMGM 199, LMGM2 431, OC 582, OIF 757, PMB 441, SPS 276, SS 230, WC 872, WS 705
Blessed Be God, Who Chose You in Christ	2	RS2 1013, W4 917
Bring Forth the Kingdom	G	G3 734, GC 658, GC2 640, RS 772
*Chosen in Christ	2	PSL 33, PSL-B 139, SS 235
Christ Has No Body Now But Yours	G	G3 760, OIF 691, RS2 882, WC 831, WS 655
Christ in Me Arise	G	BB-MI 514, GP3 573, H 427, SPS 278
Church of God, Elect and Glorious	2	BB-MI 133, CBW 581, GC 664, GP 45, GP 571, JS 686, JS3 508, OIF 663, PMB 381, RS 783, W4 733
Come and See the Many Wonders	1,G	RS2 988, W4 788
Come unto Me	2	BB-MI 512, GP 518, GP3 580, JS 770
Dwelling Place	2	BB-MI 492, G3 678, GC 594, GC2 582, GP 591, GP3 596, H 491, JS3 664
Forth in the Peace of Christ	G	CBW 514, W3 627
Give Thanks and Remember	2	OIF 538, PMB 315, WC 680, WS 565
Give Thanks to God on High	2	GC 792, RS 888
