B-Ordinary17

Psalm of the Day

Abres Tú la Mano, Señor (Cortés)	FYC 275
Abres Tú la Mano, Señor (García)	FYC 276
The Hand of the Lord Feeds Us (Bolduc)	LPGA B76, PMB 691, PRM B87, WS 181
The Hand of the Lord Feeds Us (Chepponis)	W4 107
The Hand of the Lord Feeds Us (Guimont)	G3 1141, GC2 1008, LPMG 110
The Hand of the Lord (Hunstiger)	SS 616
The Hand of the Lord (Inwood)	TCP p.142
The Hand of the Lord Feeds Us (Kelly, Gelineau)	LPGG 919, RS 191, W3 914, W4 1158
The Hand of the Lord Feeds Us (Kreutz)	PSC 55
The Hand of the Lord Feeds Us (Schiavone)	JS 997, LP 142
The Hand of the Lord Feeds Us (Smith)	GP 281, JS 110
The Hand of the Lord Feeds Us (Soper)	BB-MI 824
You Open Your Hand	PSL 285, PSL-B 144, SS 486
Your Hand, O Lord, Feeds Us (Isele)	CBW 161
 

Songs for the Liturgy

Title	Ref	Choices
All Are Welcome (Manibusan)	2,G	BB-MI 304
All Are Welcome/Todos Bienvenidos Son (Haugen)	2,G	BB-MI 415, G3 850, GC 753, GC2 741, LMGM2 683, RS 846, RS2 925, SS 920, W4 833, WC 909, WS 732
*All Who Hunger/Los Hambrientos (Moore)	1,G	G3 925, GC 820, GC2 817, OC 769, RS 845, RS2 1032, W4 951
At the Table of Jesus	2,G	G3 948, RS2 1051
At the Table of the World	G	OIF 531, PMB 301, WC 682, WS 561
Awake, O Sleeper (Haugen)	2	GC 803, RS 650
Awake, O Sleeper (Ndolo)	 	SPS 266
Awake, O Sleeper, Rise from Death (Bland)	2	OIF 689, RS 729, W3 586, W4 915, WC 826, WS 668
Bless the Feast	1,Ps,G	GC 752, GP 532
*Bless the Lord	C	G3 620, GP 252, GC2 576, JS 631, LMGM 200, RS2 732, SPS 205, W4 603, SS 889
*Blessed Jesus, Living Bread	G	HG 133
*Blest Are They/Benditos los Pobres, v. 3	C	BB-MI 629, CBW 522, G3 735, GC 659, GC2 636, GP 35, GP3 759, LMGM2 602, OC 601, RS 774, RS2 839, SS 870, W4 721, WC 973, WS 783
Bread for the Word (Farrell)	1,G	BB-MI 351, GC 827, GP 528, GP3 483, H 386, JS 810, JS3 780, SPS 240
Bread of Life (Farrell)	2,G	BB-MI 322, CBW 597, GP 498, GP3 482, JS 819, JS3 788, OFUV 814
Bread of Life (Fisher)	 	SPS 243
Bread of Life from Heaven/Pan de Vida Eterna	G	G3 943, GC2 803, OC 764, RS2 1035, SS 986, W4 948
Bread of the World (Tate)	2,G	OIF 533, WC 656, WS 532
Bread That Was Sown	2,G	BB-MI 330, GP3 488, JS 578, JS3 800
Bread to Share	1,G	RS 927
Christ Is Made the Sure Foundation/Cristo, Firme Fundamento	2	CBW 430, CH 540, G3 745, GC 662, GC2 642, JS 780, JS3 747, OC 607, OIF 664, PMB 384, RS 778, RS2 852, SS 884, W3 617, W4 632, WC 782
Come and Eat This Bread	G	GC2 831, SS 1016
Come and Eat This Living Bread	2,G	G3 942, GC2 820
Come to the Feast (Haugen)	G	G3 585, GC 503, GC2 499, LMGM2 684, RS 642
