B-Ordinary18

Psalm of the Day

Pan del Cielo (Luna)	FYC 220
The Lord Gave Them Bread from Heaven (Alstott, Salo)	CBW 164
The Lord Gave Them Bread from Heaven (Currie, Gelineau)	LPGG 922, RS105, W3 917
The Lord Gave Them Bread from Heaven (French)	PMB 694, PRM B68, LPGA B77, WS 183
The Lord Gave Them Bread from Heaven (Guimont)	G3 1144, GC2 945, LPMG 113, RS 73
The Lord Gave Them Bread from Heaven (Inwood)	TCP p.68
The Lord Gave Them Bread from Heaven (Krisman)	W4 1161
The Lord Gave Them Bread from Heaven (Schiavone)	JS 1000, LP 145
This Is the Bread	PSL 239, PSL-B 147, SS 441
 

Suggested Common Psalm: Ps (33) 34

Taste and See the Goodness of the Lord (see Nineteenth Sunday in Ordinary Time B)

 

Songs for the Liturgy

Title	Ref	Choices
All Things New	1	G3 541, GC 427, GC2 450
*All Who Hunger, Gather Gladly/Los Hambrientos, Que Se Alegren (HOLY MANNA)  1,Ps,G	G3 852, OC 684, RS 845, RS2 931, W4 844
All Who Hunger/Los Hambrientos (Moore)	1,Ps,G	G3 925, GC 820, GC2 817, OC 769, RS 845, RS2 1032, W4 951
Alleluia! Sing to Jesus	Ps	BB-MI 732, CBW 426, G3 949, GC 853, GC2 826, GP3 361, H 314, JS 477, JS3 458, LMGM 67, LMGM2 752, OC 744, OFUV 518, OIF 630, PMB 352, RS 914, RS2 1030, SS 989, W3 925, W4 953, WC 745, WS 605
Awake, O Sleeper (Haugen)	2	GC 803, RS 650
Awake, O Sleeper (Ndolo)	2	SPS 266
Awake, O Sleeper, Rise from Death (Bland)	2	OIF 689, RS 729, W3 586, W4 915, WC 826, WS 668
*Blessed Jesus, Living Bread	G	HG 133
Bread of Life	G	BB-MI 324, BB-MI 257, BB-MI 371, GC 824, GP 502, GP 522
Bread of Life from Heaven/Pan de Vida Eterna	G	G3 943, GC2 803, OC 764, RS2 1035, SS 986, W4 948
Bread to Share	1,Ps	RS 927
Change Our Hearts	1	BB-MI 659, G3 493, GC 394, GC2 414, GP 349, GP3 264, H 357, JS3 535, OFUV 310
Come to the Banquet	1,Ps,G	G3 931, GC2 810, SS 1016, W4 928
Come to the Feast (Haugen)	1,Ps,G	G3 585, GC 503, GC2 499, LMGM2 684, RS 642
Draw Near (Janco)	G	G3 935, GC2 829, GP3 486, OIF 535 RS2 1037, W4 937, WC 649, WS 534
Eucharistic Litany	G	GP 502, OIF 537, PMB 310, WC 651, WS 591
