B-Ordinary19

Psalm of the Day

Gusten y Vean (Cortés)	FYC 201, GP 201
Gusten y Vean Qué Bueno Es el Señor (Montgomery)	FYC 200,FYC3 177
Gusten y Vean, Taste and See (Alonso)	G3 915
Gusten y Vean, Taste and See (Reza)	BB-MI 350, FYC 202, FYC3 176,GP3 145, JS3 39, VOZ 730
Gusten y Vean/Taste and See (Rubalcava)	OIF 245, WS 368
O Taste and See, vss. 1-4 (Haugen)	G3 917, GC 835, RS 923
O Taste and See (Isele)	LMGM 541
O Taste and See (Somerville)	PMB 146, vss. 1, 2, 3, 4
Taste and See (Alstott)	JS 40
Taste and See (Angrisano)	BB-MI 354, SPS 64
Taste and See (Chepponis)	SS 562
Taste and See, vss. 1-4 (Dean)	BB-MI 771, GP 200, JS 37, RS 72, W4 48
Taste and See (Dean, Knarr)	CBW 167
Taste and See, vss. 1-4 (Guimont)	G3 46, G3 1147, GC2 917, LPMG 116, RS 71, W4 49
Taste and See (Haugen)	G3 45, GC 47, GC2 34, RS 70, SS 563
Taste and See (Hillert)	LPGA B78, OIF 1090, PMB 697, PRM B89, PRM B142, WS
Taste and See (Hommerding)	OIF 244, PMB 148, WC 226
Taste and See (Hunstiger)	SS 506
Taste and See (Inwood)	TCP p.40
Taste and See (Kendzia)	BB-MI 356
Taste and See (Kreutz)	PSC 39
Taste and See (Luckner)	W4 952
Taste and See (Moore)	BB-MI 332, CBW 610, G3 930, GC 814, GC2 827, LMGM 129, SS 992, W4 945, WC 664, WS 535
Taste and See, vss. 1-3 (O’Brien)	GC 837
Taste and See, vss. 1,2,3,4 (Proulx, Gelineau)	LPGG 925, RS 73, W3 920, W4 1164
Taste and See, Gusten y Vean (Reza)	BB-MI 350, FYC 202, GP3 145, JS3 39, VOZ 730
Taste and See, Gusten y Vean (Rubalcava)	OIF 245, WS 368
Taste and See (Savoy)	GIA G-2548
Taste and See (Schiavone)	JS 1003, LP 148
Taste and See (Stephan)	SPS 65
Taste and See (Talbot)	BB-MI 770, JS 620
Taste and See (Tate)	OIF 246, WC 432, WS 369
Taste and See (Willcock)	JS 38, PFS 46
The Goodness of the Lord	PSL 218, PSL-B 150, SS 420

Songs for the Liturgy

Title	Ref	Choices
All Creatures of Our God and King/Oh, Criaturas del Señor, v. 5	2	BB-MI 537, CBW 543, G3 611, GC 533, GC2 523, GP3 714, H 514, JS3 578, LMGM2 407, OC 506, OFUV 563, OIF 853, PMB 481, RS 670, RS2 706, W3 520, W4 607, WC 929, WS 760
*All Who Hunger, Gather Gladly/Los Hambrientos, Que Se Alegren (HOLY MANNA) Ps	G3 852, OC 684, RS 845, RS2 931, W4 844
All Who Hunger/Los Hambrientos (Moore)	Ps	G3 925, GC 820, GC2 817, OC 769, RS 845, RS2 1032, W4 951
Alleluia! Sing to Jesus	G	BB-MI 732, CBW 426, G3 949, GC 853, GC2 826, GP3 361, H 314, JS 477, JS3 458, LMGM 67, LMGM2 752, OC 744, OFUV 518, OIF 630, PMB 352, RS 914, RS2 1030, SS 989, W3 925, W4 953, WC 745, WS 605
Altar of the Lord	 	OIF 529
As We Gather at Your Table/Al Reuinirnos en Tu Mesa	1,Ps,2	BB-MI 311, CBW 583, G3 839, GC2 738, GP3 473, H 372, JS792, JS3 760, LMGM2 685, OC 685, RS 848, RS2 924, SPS 926, SS 1006, W3 839, W4 831
At the Table of the World	G	OIF 531, PMB 301, WC 682, WS 561
Baptized in Living Waters, vss. 1,2,5	1,G	OIF 662, PMB 386, WC 786, WS 639
*Blessed Jesus, Living Bread	G	HG 133
Blest Be the Tie That Binds	3	LMGM2 605
Bread for the Word (Farrell)	G	BB-MI 351, GC 827, GP 528, GP3 483, H 386, JS 810, JS3 780, SPS 240
Bread of Life (Cooney)	G	BB-MI 349, GP3 490, H 399, JS3 799, OFUV 813
Bread of Life (Farrell)	G	BB-MI 322, CBW 597, GP 498, GP3 482, JS 819, JS3 788, OFUV 814
Bread of Life from Heaven/Pan de Vida Eterna	G	G3 943, GC2 803, OC 764, RS2 1035, SS 986, W4 948
Bread of the World (Tate)	G	OIF 533, WC 656, WS 532
Break Not the Circle of Enabling Love	2	CBW 524
By Your Hand, You Feed Your People	1,Ps	SS 1082
Can God a Lavish Table Spread?	1,G	SS 1014
Christians, Let Us Love One Another	2	BB-MI 476, CBW 595, GP 646, GP3 657, JS 751, JS3 717
Come to the Banquet	Ps	G3 931, GC2 810, SS 1090, W4 928
Come to the Feast (Haugen)	Ps	G3 585, GC 503, GC2 499, LMGM2 684, RS 642
*Come, All You Blessed Ones	1,Ps,G	OIF 775, PMB 447, WC 877
Come, Taste and See	1,Ps	GP 526, JS2 818
Come, Thy Fount of Ever Blessing	2	LMGM2 433
Donde Hay Amor y Caridad (Benoit)	2	See Ubi Caritas
Donde Hay el Amor y la Caridad (Chant)	2	See Ubi Caritas
*Eat This Bread	G,C	BB-MI 337, CBW 602, G3 941, GC 838, GC2 806, GP3 505, H 398, LMGM2 753, OIF 536, RS 928, RS2 931, W3 734, W4 943, WC 648, WS 552
Eucharistic Litany	G	GP 502, OIF 537, PMB 310, WC 651, WS 591
Forgive Our Sins as We Forgive	2	CBW 620, G3 965, GC2 848, JS 556, OC 779, OIF 575, PMB 324, RS 952, RS2 1062, SS 1017, W3 754, W4 967, WC 710, WS 588
*Gift of Finest Wheat	G,C	BB-MI 324, CBW 603, G3 940, GC 815, GC2 816, GP 525, GP3 487, H 385, JS 803, JS3 791, LMGM 136, LMGM2 757, OC 761, OFUV 807, OIF 540, PMB 300, RS 912, RS2 1028, SS 1009, W3 736, W4 939, WC 664, WS 556
God Is Love	2	CBW 473
God is Love (Abbot’s Leigh)	2	BB-MI 480, GP 647, JS 749, SS 806
God is Love (Haas)	2	BB-MI 482, CBW 473, G3 699, GC 629, GC2 608, GP 647, GP3 655, JS2 749, JS3 715, JS3 723, LMGM 241, RS 744, SS 806
God is Love (Joncas)	 	BB-MI 485, GP3 655, JS3 723
God of Mercy	2, G	BB 509
God’s Holy Gifts (Schutte)	G	BB-MI 343, JS3 792
*God’s Holy Mystery	G	OIF 541, PMB 297, WC 657, WS 549
H, Happy Day	G	LMGM2 772
I am the Bread of Life (Angrisano/Booth)	G,C	BB 371
*I Am the Bread of Life (Englert)	G,C	OIF 546, PMB 321, WC 694
*I Am the Bread of Life (Kaczmarek)	C,G	OIF 542, WS 575
*I Am the Bread of Life, Yo Soy el Pan de Vida (Toolan)	G,C	BB-MI 364, G3 945, GC 828, GC2 822, GP3 493, H 390, LMGM 133, LMGM2 755, OC 750, OIF 546, RS 931, RS2 1029, W3 738, W4 950, WC 648, WS 539
*I Am the Living Bread	G,C	BB-MI 319, CBW 605, GP3 495, H 404, JS3 794
I Believe This Is Jesus	 	OIF 543, WC 668, WS 560
