B-Ordinary21

Psalm of the Day

O Taste and See (Somerville)	PMB 146, vss. 1, 8, 9, 10
Taste and See (Dean)	BB-MI 771
Taste and See, vs.s 1,8,9,10,11 (Guimont)	G3 46, G3 1153, GC2 917, LPMG 122, RS 71, W4 49
Taste and See (Hillert)	LPGA B80, PMB 703, PRM B91, WS 193
Taste and See (Inwood)	TCP p.40
Taste and See, vss. 1,8,9,10,11 (Proulx, Gelineau)	LPGG 931, RS 73,W3 926, W4 1170
Taste and See (Schiavone)	JS 1009, LP 154
Taste and See (Stephan)	SPS 65
Taste and See (Willcock, Bevenot)	CBW 173
The Goodness of the Lord	PSL 218, PSL-B 150, SS 420

See also suggestions for the Nineteenth Sunday in Ordinary Time.(below)
Gusten y Vean (Cortés)	FYC 201, GP 201
Gusten y Vean Qué Bueno Es el Señor (Montgomery)	FYC 200,FYC3 177
Gusten y Vean, Taste and See (Alonso)	G3 915
Gusten y Vean, Taste and See (Reza)	BB-MI 350, FYC 202, FYC3 176,GP3 145, JS3 39, VOZ 730
Gusten y Vean/Taste and See (Rubalcava)	OIF 245, WS 368
O Taste and See, vss. 1-4 (Haugen)	G3 917, GC 835, RS 923
O Taste and See (Isele)	LMGM 541
O Taste and See (Somerville)	PMB 146, vss. 1, 2, 3, 4
Taste and See (Alstott)	JS 40
Taste and See (Angrisano)	BB-MI 354, SPS 64
Taste and See (Chepponis)	SS 562
Taste and See, vss. 1-4 (Dean)	BB-MI 771, GP 200, JS 37, RS 72, W4 48
Taste and See (Dean, Knarr)	CBW 167
Taste and See, vss. 1-4 (Guimont)	G3 46, G3 1147, GC2 917, LPMG 116, RS 71, W4 49
Taste and See (Haugen)	G3 45, GC 47, GC2 34, RS 70, SS 563
Taste and See (Hillert)	LPGA B78, OIF 1090, PMB 697, PRM B89, PRM B142, WS
Taste and See (Hommerding)	OIF 244, PMB 148, WC 226
Taste and See (Hunstiger)	SS 506
Taste and See (Inwood)	TCP p.40
Taste and See (Kendzia)	BB-MI 356
Taste and See (Kreutz)	PSC 39
Taste and See (Luckner)	W4 952
Taste and See (Moore)	BB-MI 332, CBW 610, G3 930, GC 814, GC2 827, LMGM 129, SS 992, W4 945, WC 664, WS 535
Taste and See, vss. 1-3 (O’Brien)	GC 837
Taste and See, vss. 1,2,3,4 (Proulx, Gelineau)	LPGG 925, RS 73, W3 920, W4 1164
Taste and See, Gusten y Vean (Reza)	BB-MI 350, FYC 202, GP3 145, JS3 39, VOZ 730
Taste and See, Gusten y Vean (Rubalcava)	OIF 245, WS 368
Taste and See (Savoy)	GIA G-2548
Taste and See (Schiavone)	JS 1003, LP 148
Taste and See (Stephan)	SPS 65
Taste and See (Talbot)	BB-MI 770, JS 620
Taste and See (Tate)	OIF 246, WC 432, WS 369
Taste and See (Willcock)	JS 38, PFS 46
The Goodness of the Lord	PSL 218, PSL-B 150, SS 420

Songs for the Liturgy

Title	Ref	Choices
A Follower of Christ	G	LMGM 117, LMGM2 628
*All Who Hunger, Gather Gladly/Los Hambrientos, Que Se Alegren
(HOLY MANNA)	Ps	G3 852, OC 684, RS 845, RS2 931, W4 844
All Who Hunger/Los Hambrientos (Moore)	Ps	G3 925, GC 820, GC2 817, OC 769, RS 845, RS2 1032, W4 951
*Blessed Jesus, Living Bread	G	HG 133
Bread for the Word (Farrell)	G	BB-MI 351, GC 827, GP 528, GP3 483, H 386, JS 810, JS3 780, SPS 240
Bread of Heaven	G	SPS 241
Bread of Life (Farrell)	G	BB-MI 322, CBW 597, GP 498, GP3 482, JS 819, JS3 788, OFUV 814
Bread of the World (Tate)	G	OIF 533, WC 656, WS 532
By Your Hand, You Feed Your People	1,Ps	SS 1005
Christ Is Made the Sure Foundation/Cristo, Firme Fundamento	 	CBW 430, CH 540, G3 745, GC 662, GC2 642, JS 780, JS3 747, OC 607, OIF 664, PMB 384, RS 778, RS2 852, SS 884, W3 617, W4 632, WC 782
Come to the Feast (Haugen)	Ps	G3 585, GC 503, GC2 499, LMGM2 684, RS 642
Come, Taste and See	Ps	GP 526, JS2 818
Covenant Hymn	1,2,G	G3 904, GC 797, GC2 798, RS 904, RS2 1016
Disciple’s Song	G	CBW 505
Donde Hay Amor y Caridad (Benoit)	2	See Ubi Caritas
Donde Hay el Amor y la Caridad (Chant)	2	See Ubi Caritas
Draw Near (Janco)	G	G3 935, GC2 829, GP3 486, OIF 535 RS2 1037, W4 937, WC 649, WS 534
God’s Blessing Sends Us Forth, v. 4	s2	OIF 815, PMB 473, WC 920, WS 746
He Comes to Us a One Unknown	1	RS2 786, W3 573, W4 675
Here at This Table	 	BB-MI 312, GP3 464, H 371, JS3 777, SPS 248
Here I Am (Schutte)	G	BB-MI 239, CBW 520, G3 777, GC 686, GC2 671, GP 542, GP3 539, H 527, JS3 818, LMGM 2 643, OIF 698, PMB 406, RS2 869, SPS 250, SS 891, OFUV 809, WC 828, WS 663, W4 783
Here I Am, Lord, I Come (Ward), v. 2	G	OIF 699, PMB 403, WC 809, WS 659
I am the Bread of Life (Angrisano/Booth)	G	BB 371
*I Am the Bread of Life (Englert)	G	OIF 546, PMB 321, WC 694
I Am the Bread of Life (Kaczmarek)	G	OIF 542, WS 575
I Am the Bread of Life, Yo Soy el Pan de Vida (Toolan)	G	BB-MI 364, G3 945, GC 828, GC2 822, GP3 493, H 390, LMGM 133, LMGM2 755, OC 750, OIF 546, RS 931, RS2 1029, W3 738, W4 950, WC 648, WS 539
*I Am the Living Bread	G	BB-MI 319, CBW 605, GP3 495, H 404, JS3 794
I Receive(d) the Living God/Yo Recibo al Vivo Dios	G	BB-MI 327, G3 916, GC 851, GC2 809, H 380, JS 815, JS3 786, LMGM2 759, OC 745, OIF 544, PMB 312, RS 913, RS2 1023, SS 999, W3 735, W4 923, WC 674, WS 567, WS 570
