B-Ordinary25 9/23/2018

Psalm of the Day: “The Lord upholds my life.”

The Lord Upholds My Life (Alstott)	GP3 926, H234, RA 136
The Lord Upholds My Life (Chepponis)	W4 1182
The Lord Upholds My Life (François)	S&P 300
The Lord Upholds My Life (Gelineau/Anon.)	W3 938, LPGG 943
The Lord Upholds My Life (Guimont)	GC 58, GC2 931, G3 1165, LPGC 1182, LPMG 134, RS 86, RS2 1267, W4 1182
The Lord Upholds My Life (Hunstiger)	SS 513
The Lord Upholds My Life (Inwood)	TCP p.54
The Lord Upholds My Life (Joncas)	PRM B95, LPGA B84, OIF 1108, PMB 715, WS 201
The Lord Upholds My Life (Schiavone)	JS 1021, LPGG 166
The Lord Upholds My Life (Young/Black)	CBW 185
You Alone Are My Help	PSL B-140, SS 473

Songs for the Liturgy

Title	Ref	Choice
All Who Love and Serve Your City	2	CH 467, W3 621
Anthem	2	BB-MI 502, G3 778, GC 690, GC2 681, GP 578, GP3 556, H 418, JS 761, JS3 727, OFUV 705
As We Gather at Your Table/Al Reuinirnos en Tu Mesa (HOLY MANNA)	G	G3 839, GC2 738, LMGM2 685, OC 685, RS 848, RS2 924, W3 839, W4 831
At the Name of Jesus (Bolduc)	 	WS 620
At the Name of Jesus (Clemens)	 	G3 569, RS2 673, W4 561
At the Name of Jesus (KING'S WESTON)	 	BB-MI 726, BB-MI 727, CBW 428, GP 424, GP3 366, JS 400, JS 483, JS3 465, OFUV 512, SPS 268, W3 499
At the Name of Jesus (Noel)	 	W4 563, WS 620
At the Name of Jesus (Toolan)	 	JS3 369
At the Name of Jesus (Walker)	 	BB-MI 727, GP3 336, JS3 466
Be Not Afraid/No Temas Más (Dufford)	1,Ps	BB-MI 432, CBW 481, G3 683, GC 608, GC2 596, GP 602, GP3 600, JS 706, JS3 673, LMGM 123, LMGM2 583, OC 574, OFUV 647, OIF 774, PMB 446, RS 734, RS2 797, SPS 271, SS 849, W4 680, WC 875, WS 714
Bearers of Peace	2	JS 743
Blest Are They/Benditos los Pobres	1,G	BB-MI 629, CBW 522, G3 735, GC 659, GC2 636, GP 35, GP3 759, H 478, LMGM2 602, OC 601, RS 774, RS2 839, SS 870, W4 721, WC 973, WS 783
Called by Christ	2	G3 767
Christ Has No Body Now but Yours	G	G3 760, OIF 691, RS2 882, WC 831, WS 655
Christ’s Church Shall Glory in His Power	G	CH 487, RS 717, RS2 851, SS 880, W3 616
Christ’s Peace	2	JS 844
Crux Fidelis	G	OIF 675, PMB 247, RS2 980, WC 793, WS 121, WS 643
Embrace My Way and Cross	G	GC2 698
Eye Has Not Seen/Ni Ojo Ni Oído	2	BB-MI 462, CBW 482, G3 728, GC 638, GC2 616, GP3 645, H 448, OC 595, OIF 875, RS 758, RS2 819, SS 860, SS2 940, W4 713, WC 879, WS 710
For the Fruits of This Creation	2	BB-MI 421, JS 418, RS 704, RS2 750, SS 917, W3 562, W4 857
For the Healing of the Nations	2,G	BB-MI 428, CBW 503, CP3 463, G3 803, GC 719, GC2 712, GP3 517, H 465, JS 866, JS3 833, OIF 877, PMB 505, RS 823, RS2 898, W3 643, W4 798, WC 958, WS 771
For the Life of the World	G	G3 901, GC 801, GC2 792
Gift of Finest Wheat, v. 5	G	See below: You Satisfy the Hungry Heart/Tú Sacias Todo Corazón
Give Us Your Peace	 	G3 826, SPS 299
Glory in the Cross	G	BB-MI 155, G3 501, JS 523, JS3 375, OFUV 439, RS2 891, SPS 170, W4 486
God, Whose Love in Jesus Found Us	G	CBW 501
Grant Us Peace	 	SPS 304
Help Us to Help Each Other	G	CBW 712
Holy Darkness	1,Ps,G	GP 477, GP3 420, JS2 578
How Can I Keep from Singing?/¡Debo Seguir Cantando!	1,Ps	BB-MI 442, G3 685, GC 603, GC2 598, GP 616, GP3 685, JS 721, JS3 686, OC 570, OFUV 638, OIF 760, PMB 603, RS 733, RS2 802, SPS 216, SS 845, W4 684, WC 864, WS 703
