Year B Third Sunday of Ordinary Time

Psalm of the Day

Teach Me Your Path	PSL B-30, SS 416
Teach Me Your Ways (Artmann)	SO 6
Teach Me Your Ways (Berrell)	WS 360
Teach Me Your Ways (Guimont)	G3 1099, GC2 902, LPMG 68
Teach Me Your Ways (Haas)	G3 38, GC2 27, PCY3 66, RS 54
Teach Me Your Ways (Kreutz)	PMB 649, PRM B73
Teach Me Your Ways (Miro, Steel)	CBW 119
Teach Me Your Ways (Proulx, Gelineau)	LPGG 877, WOR 872, WOR4 1116
Teach Me Your Ways (Schiavone)	JS 955, LP 99
Songs for the Liturgy

Title	Ref	Choices
*A Follower of Christ	G	LMGM 117
Amazing Grace	1	BB-MI 433, CBW 480, G3 645, GC2 586, GP 615, GP3 614, JS 713, JS3 680, LMGM 173,195, LMGM2 495, OFUV 639, OIF 330,PMB 323, RS 737, RS2 757, SPS 265, SS 847, WC 217, WOR 583, WOR4 650, WS 26
As a Fire Is Meant for Burning	G	G3 744, GC2 643, RS 779, RS2 850, WOR4 734
As We Gather at Your Table	G	CBW 583, G3 839, GC2 738, JS 792, RS 848, RS2 924, SS 926, WOR4 831
Be Not Afraid	1	BB-MI 432, CBW 481, G3 683, GC2 596, GP 602, GP3 600, JS 706, JS3 673, LMGM 123, LMGM2 583, OIF 774, OFUV 647, PMB 446, RS 734, RS2 797, SPS 271, SS 849, WC 875, WOR4 680, WS 714
Before the Sun Burned Bright	G	CBW 504, GP 577, GP3 565
Bring Forth the Kingdom	G	G3 734, GC2 640, RS 772
By Name I Have Called You	G	GP 582
Christ Is the King	G	CBW 387, G3 571, GC2 491, JS 848, JS3 833, RS 630, RS2 670, SS 799, WOR 500, WOR4 568
Christ Is the World’s Light	C	WOR 543, WOR4 602
Christ, You Formed the Church, Your Body	G	SS 882, WOR4 730
Disciple’s Song	G	CBW 505
For the Life of the World	G	G3 901, GC2 792
Give Me a Clean Heart	1,Ps	LMGM 279
Glory and Praise for Ever		SPS 105
Glory and Praise to Our God, v. 3	1,Ps	BB-MI 546, G3 606, GC2 537, GP 671, GP3 723, JS 596, JS3 574, OFUV 576, OIF 836, RS 696, WC 935, WOR4 597, WS 756
Go Make a Difference		BB-MI 500, G3 775, GC2 669, GP3 554, JS3 730, SPS 213
God Has Chosen Me	2,G	BB-MI 380, G3 761, GC2 669, GP 546, GP3 542, JS 831, JS3 815, OFUV 736, RS2 867,WOR4 781
God Has Spoken by His Prophets	1,G	JS 678, PMB 419, RS 654, RS2 699, WC 799, WOR 516, WOR4 592
God It Was	G	RS 818
Grant to Us, O Lord	1,G	CBW 621, PMB 329, RS 558, RS2 578, WC 709, WOR4 957, WS 583
Halleluya! We Sing Your Praises	G	G3 626, GC2 529, PMB 482, RS 692, RS2 738
