B-TrinitySunday

Psalm 0f the Day

Blessed the People (DeBruyn)	MI-BB 769
Blessed the People (Guimont)	GC2 916, LPMG 165
Blessed the People (Hughes)	PMB 638, PRM B69, WS 165
Blessed the People (Hunstiger)	SS
Blessed the People (Kelly/Gelineau)	W4 1103, LPGG 865
Blessed the People (Kreutz)	JS 35, PSC 33
Blessed the People (Schiavone)	JS 943, LP 87
Dichoso el Pueblo (García)	FYC 196
Dichoso el Pueblo (Sosa)	FYC 197
Happy Are the People (Haugen/Kodner)	RS 66, GC 45, G3 44, W4 45
Happy Are the People (Miro/Murray)	CBW 109
Happy Are They	PSL B-199, SS 285
Happy the People (Cooney)	GP 197
Happy the People (Kelly/Gelineau)	RS 67, W3 860
Happy the People (Marchionda)	SO 56

Songs for the Liturgy


Title	Ref	Choices
All Creatures of Our God and King/Oh, Criaturas del Señor	1	BB-MI 537, CBW 543, G3 611, GC 533, GC2 523, GP3 714, H 514, JS3 578, LMGM2 407, OC 506, OFUV 563, OIF 853, PMB 481, RS 670, RS2 706, W3 520, W4 607, WC 929, WS 787
All the Earth	E	BB-MI 424, GP3 6956, H 521, JS3 620, OFUV 594, OIF 828, WC 932, WS 765
All Hail, Adored Trinity	E	BB-MI 721, GP 416, JS 467, OIF 658, PMB 377, SS 872, WC 777, WS 656
All Praise and Glad Thanksgiving	E	BB-MI 717, JS 466
All Things New	2	G3 541, GC 427, GC2 450
Alleluia! Sing to Jesus!/¡Aleluya! Gloria a Cristo	G	BB-MI 732, CBW 426, G3 949, GC 853, GC2 826, GP3 361, H 314, JS 477, JS3 458, LMGM 67, LMGM2 752, OC 744, OFUV 518, OIF 630, PMB 352, RS 914, RS2 931, SS 989, W3 925, W4 953, WC 745, WS 605
Alleluia, Sing!	E	GC 473, RS 625
Baptized in Living Waters	2,G	OIF 662, PMB 386, WC 786, WS 639
Baptized in Water/Ya Bautizados	2,G	BB-MI 648, CBW 614, G3 903, GC 798, GC2 797, JS 542, JS3 516, LMGM2 746, OC 733, OIF 516, PMB 286, RS 903, RS2 1020, SS 1057, W3 720, W4 919, WC 637, WS 527
Blessed Assurance/En Jesucristo, Puerto de Paz	2	LMGM2 431, OC 582, OIF 757, WC 872, WS 705
Blessed Be God (Connolly)		GC 477
*Blessed Be the Holy Trinity	E	BFW 193, SS 695
*Blessed Be the Triune Godhead	E	IH 32
Blessed Feasts of Blessed Martyrs	2	CBW 506, RS2 987, W3 718, W4 906
Canticle of the Sun/Cántico del Sol	1	BB-MI 424, CBW 542, G3 576, GC 496, GC2 495, OC 482, RS 638, W4 576, WC 930, WS 781
Come, Join the Dance of Trinity	E	W4 554
Come Our Almighty King/Come Now, Almighty King/¡Oh Padre, Eterno Dios!	E	BB-MI 720, G3 562, GC2 496, GP3 359, H 301, JS3 450, LMGM2 334, OC 463, OFUV 506, OIF661, W4 549, WC 777, WS 630
Creator God, Creating Still		CBW 420
Dwelling Place	G	BB-MI 492, G3 678, GC 594, GC2 582, GP 591, GP3 596, H 491, JS3 664
Everyone Moved by the Spirit	2	GP 412, GP3 353
Father, Lord of All Creation	E	W4 555
Firmly I Believe and Truly	E	CBW 533
For the Beauty of the Earth	1,2	BB-MI 587, CBW 531, CP3 404, G3 633, GC 572, GC2 548, GP 76, GP3 705, H 463, JS2 642, JS3 609, LMGM2 480, OC 535, OFUV 602, OIF 892, PMB 517, RS 697, SS 829, WC 986, W3 557, W4 632, WS 789
Forth in the Peace of Christ	G	CBW 514, W3 627
Glory and Praise to Our God/Glorifiquemos a Dios	1	BB-MI 546, G3 606, GC 552, GC2 537, GP 671, GP3 723, H 481, JS 596, JS3 574, OC 512, OFUV 576, OIF 836, RS 696, W4 597, WC 935, WS 756
*Go	G	GC 454, LMGM 66, LMGM2 320, PMB 478, RS 604, WC 918, WS 743
*Go Make of All Disciples/¡Discípulos Han de Ganar!	G	BB-MI 184, G3 769, GC 687, GC2 666, JS 828, JS3 430, LMGM2 646, OC 648, OIF 810, PMB 479, RS 798, RS2 866, W3 628, W4 792, WC 926, WS 745
Go Out, Go Out	G	BB-MI 375, GP3 536, SPS 212
Go Out in the World	G	OIF 816, WS 744
Go Out to the World/Vayan al Mundo	G	BB-MI 386, FYC3 689, G3 762, RS2 643
