Dec 2, 2018 First Sunday of Advent Year C

Psalm of the Day

A Ti Señor/To You, O Lord (Schiavone)	OC1026
A Ti, Señor/To You, O Lord, I Lift My Soul (Cortez)	Aclama, Tierra Entera
A Ti, Señor, Levanto Mi Alma (Sosa)	OFUV 155, FYC3 165, UEC/UIC 88
A Ti, Señor/To You, O Lord (Guimont; Schiavone)	OC 4
I Lift My Soul to You (Weckler)	Psalms for the Church: Common Psalms
To You , O Lord/A Ti, Señor (Haugen; Krisman)	G3 39, GC2 26, OC 35, RS2 42, W4 39,
To You, O Lord I Lift My Soul (Inwood)	Collegeville Psalter
To You, O Lord I Lift My Soul (Mayernik)	The Five Graces Psalter
To You, O Lord, I Lift My Soul (Alstott)	BB-MI 427
To You, O Lord, I Lift My Soul (Cosas)	Psalms for the Church: Advent and Christmas
To You, O Lord, I Lift My Soul (Guimont )	G3 1210, 993, RS2 1338
To You, O Lord, I Lift My Soul (Hacker)	OIF 342, WC 509
To You, O Lord, I Lift My Soul (Joncas)	The Michael Joncas Psalter: Advent & Christmas
To You, O Lord, I Lift My Soul (Joncas)	BB-MI 747, GP3 131, H 104, JS3 27
To You, O Lord, I Lift My Soul (Parker)	Psalms from the Soul Vol 1.
To You, O Lord, I Lift My Soul (Pishner)	G3 40, GC2 28
To You, O Lord, I Lift My Soul (Roberts)	LMGM2
To You, O Lord, I Lift My Soul (Schiavone)	A Lectionary Psalter
To You, O Lord, I Lift My Soul (Smith)	JS3 29, SAP 61
To You, O Lord, I Lift My Soul (Soper)	BB-MI 749, GP3 132, H 105, JS3 28, OFUV 153, UEC/UIC 86
To You, O Lord, I Lift My Soul (Stephan)	SAP 62
To You, O Lord, I Lift My Soul (Thompson)	LPGC, W4 1226, RS2 1311
To You, O Lord, I Lift My Soul (Waddell)	Gethsemani; Psalms for the Advent Season
To You, O Lord/A Ti, Señor (Keil)	OIF 235

Songs for the Liturgy

Title	Ref	Choices
A Season of Light	1,2	OIF 356, WC 502, WS 406
Advent Gathering (Cooney)	1	GC 324, RS 492
Advent Gathering Rite (Ballard)	1	OIF 360, WC 510, WS 412
Advent Gathering Song (Chepponis)	1	G3 405, SS 634
Are You Ready?	G	LMGM2 243
As Servants Working an Estate	G	W4 411
Awake to the Day	G	G3 399, OIF 884, WC 972, WS 790
Awake, Awake, Fling Off the Night	2	CBW 304
Awaken, Sleepers	G	W4 393
Behold, O Zion, God Will Come	1	OIF 362, WC 511, WS 424
Beyond the Moon and Stars	1Ps	BB-MI 46, GP3 214, H 204, UEC/UIC 292
Christ is Surely Coming	1, G	W4 860
Christ, Be Our Light!/¡Cristo, la Luz!	2	BB-MI 596, G3 590, GC2 512, GP 656, GP3 683, H 535, JS2 661, JS3 824, OC 495, OFUV 625, OIF 867, RS2 692, SPS 207, SS 808, W4 584, WC 961, WS 781
Christ, Circle Round Us	1, G	BB-MI 55, GP3 215, JS3 284
City of God	1,G	BB-MI 385, G3 766, GC2 663, GP3 538, H 523, JS3 813, OFUV 742, OC 637, OIF 690, SPS 106, RS2 799, UEC/UIC 591, WC812, WS 670
Come to Set Us Free	1	GC 338, GP 298, JS2 180
Come, Emmanuel (Tate)	G	OIF 358, WC 508, WS 411
Come, Light of the World	1,2	GC2 328, OIF 363, WC 494, WS 417
Come, Lord Jesus (Angrisano)	 	BB-MI 490, GP3 579, JS3 656, SPS 283
Come, Lord Jesus (de Silva)	 	RS2 510
Come, Lord Jesus (Ridge)	 	BB-MI 60, H 588, JS3 656
Come, Lord! Maranatha	1, G	BB-MI 64
Come, Lord, and Tarry Not	1, G	LMGM 11, LMGM2 242, W3 366, W4 401
Find Us Ready	2,G	GC2 342, GP3 761, SPS 209
From the Father’s Throne on High	G	HG 108, W4 865
God of All People	1	CBW 314, GC 331, GC2 349, G3 412, SS 657
Hail to the Lord's Anointed (ELLACOMBE)	1	OIF 404, LMGM2 232, PMB 225, SS 656, WC 549, WS 457
Hail to the Lord's Anointed (SHEFFIELD)	1	LMGM2 232
Hold Me in Life	Ps	GC 599, GP 596, JS2 702
I Lift My Soul to You (True)	E, Ps	G3 659, GC2 562
I Lift My Soul to You (Weckler)	E, Ps	OIF 234, WC 426, WS 338
In the Day of the Lord	1	BB-MI 575, GP 722, GP3 752, H 456, JS3 753, OFUV 673, UEC/UIC 784
In the Lord I’ll Be Ever Thankful/El Señor Es Mi Fortaleza (Berthier)	1, Ps	G3 639, GC 566, OC 539, RS 703, RS2 744, W4 639, WC 827
Jesus, Hope of the World	2, G	G3 909, OIF 346, RS2 508, WC 741, WS 414
Lead Us to Your Light	1	GC2 326
Let Justice Roll Like a River	G	G3 810, GC 716, GC2 709
Letanía de Adviento/Advent Litany (Cortez)	1	JS3 291, UEC/UIC 287
Lift Up Your Heads (CH THREE)	 	GC2 341, RS2 511
