Dec 16, 2018 Advent3 Year C

Psalm of the Day

Cry Out with Joy, You Will Draw Water	SPS 136
Cry Out with Joy and Gladness (Batastini)	LPGG 17, RS 205, W3 774, W4 1009
Cry Out with Joy and Gladness (Guimont)	GC2 1016, G3 999, LPMG 15
Cry Out with Joy and Gladness (Holland)	LMGM2 799
Cry Out with Joy and Gladness (Haugen, Kodner)	G3 97, GC 148, GC2 81
Cry Out with Joy and Gladness (Hunstiger)	SS 625
Cry Out with Joy and Gladness (Reagan)	PMB 562
Cry Out with Joy and Gladness (Schiavone)	JS2 886, LP 16
Great in Our Midst	PSL C-8, SS 281
Sing and Shout for Joy (Young)	CBW 25



Songs for the Liturgy

Title	Ref	Choices
A Voice Cries Out/Del Yermo un Grito	G	BB 44, G3 416, GC2 343, GP 294, GP3 213, H 188, JS 313, JS2 313, JS3 276, OC 356, OFUV 353, RS 485, UEC/UIC 270
Advent Antiphon	G	CBW 301
Advent Gathering (Cooney)	1	GC 324, RS 492
Alleluia! Hurry, the Lord Is Near	G	BB-MI 52, GP3 231, H 206, JS2 324, JS3 296, OFUV 365, UEC/UIC 272
Are You Ready?	G	LMGM2 243
Are You the Coming One	1,G	W4 399
Arise, Your Light Is Come!	1	CBW 302, W4 583
Awake to the Day	1,2	G3 399, OIF 884, WC 972, WS 790
Awake, Awake, and Greet the New Morn	1,2	CBW 303, G3 423, GC2 351, OC 366, RS 494, RS2 517, SS 677, WC 491, W4 406, WS 415
*Be Strong (Bonnemère)	C	LMGM 237, LMGM2 573, PSL C-9
*Be Strong (Collegeville Composers)	 	SS 223
Behold Your God	1	LMGM 21, LMGM2 280
Christ Is Coming: Prepare the Way	G	LMGM 10, LMGM2 241
Christ, Be Our Light!/¡Cristo, la Luz!	G	BB-MI 596, G3 590, GC2 512, GP 656, GP3 683, H 535, JS2 661, JS3 824, OC 495, OFUV 625, OIF 867, RS2 692, SPS 207, SS 808, W4 584, WC 961, WS 781
Clear the Voice	G	JS2 317
Come, Light of the World	1	GC2 328, OIF 363, WC 494, WS 417
*Come, Rejoice in God Our King	IH	IH 3
Comfort, Comfort, O My People/Comfort, Comfort You My People	1,Ps,G	BB 58, G3 413, GC 326, GC2 331, JS 327, JS2 327, JS3 295, OIF 365, RS 488, SS 638, WC 507, W3 370, W4 402
Emmanuel (Ambrosetti)	 	OIF 357, PMB 193, WC 490, WS 422
Emmanuel (Angrisano)	 	BB 56, GP3 219, H 187, JS3 299, SPS 140
Emmanuel (McGee)	 	LMGM2 234
Every Valley	1	BB 66, CBW 308, GP 297, GP3 221, H 190, JS 326, JS2 326, OFUV 370, UEC/UIC 275
