Dec 23, 2018 Advent 4 Year C

Psalm of the Day

Lord Make Us Turn to You (Hillenbrand)	Psalms for the Church: Advent and Christmas
Lord, Make Us Turn to You (Alstott)	BB-MI 32, H 57, GP3 784, RA 4, UEC/UIC 42
Lord, Make Us Turn to You (Guimont)	G3 1002, 992, GC2 947, RS2 1358
Lord, Make Us Turn to You (Haugen)	GC2 47, RS2 69, Lyric Psalter
Lord, Make Us Turn to You (Hughes)	RS2 1101, W4 1002, 1012
Lord, Make Us Turn to You (Inwood)	Collegeville Psalter
Lord, Make Us Turn to You (Joncas)	LPGA C4, The Michael Joncas Psalter: Advent & Christmas
Lord, Make Us Turn to You (Keil)	BB-MI 778, GP3 162, H 131, JS3 60, UEC/UIC 121
Lord, Make Us Turn to You (Mayernik)	The Five Graces Psalter
Lord, Make Us Turn to You (Muglia)	SAP 8
Lord, Make Us Turn to You (Schiavone)	A Lectionary Psalter
Lord, Make Us Turn to You (Tate)	Cry Out with Joy C
Lord, Make Us Turn to You (Waddell)	OIF 263, WC 450, Gethsemani; Psalms for the Advent Season
Oh Dios, Restáuranos/ Psalm 80: Lord, Make Us Turn to You (Alonso)	OC 813
Oh Dios, Restáuranos/ Psalm 80: Lord, Make Us Turn to You (Sosa)	FYC3 195


Songs for the Liturgy

Title	Ref	Choices
Advent Gathering Rite (Ballard)	1	OIF 360, WC 510, WS 412
Advent Gathering Song (Chepponis)	G	G3 405, SS 634
All Who Claim the Faith of Jesus	G	CH 321, G2 567, GC 787, RS 897, RS2 1005
Alma Redemptoris Mater	G	JS2 488, JS3 471, SS 962
Ave Maria (Cortes)	G	BB-MI 706
Ave Maria (Kantor)	G	G3 891, GC 785, GC2 772, RS 896, RS2 1009
Ave Maria (Norbert)	G	BB-MI 700, GP 429, GP3 369, H 322, JS 504, JS3 483
Ave Maria (Plain Chant)	G	BB-MI 704, G3 887, GC 789, GC2 774, H 325, JS 493, JS3 486, LMGM2 733, OC 709, OFUV 526, OIF 908, RS 898, RS2 1001, SS 950, W3 713, W4 902, WC 998, WS 809
Awake, Awake, and Greet the New Morn	1 ,2	CBW 303, G3 423, GC2 351, OC 366, RS 494, RS2 517, SS 677, WC 491, W4 406, WS 415
Behold a Virgin Bearing Him	G	OIF 373, PMB 203, WC 517, WS 429
Blessed One	G	OIF 911, WC 1002, WS 803
Canticle of Mary (King)	 	OIF 303, WC 208, WS 402
Canticle of the Turning	G	GC 556, GC2 527, G2 376, G3 622, RS 678, RS2 728, W4 624
Christ, Circle Round Us (O Antiphons)	O Antiphons	BB-MI 55, GP3 215, JS3 284
