November 2, 2019 All Souls

Psalm of the Day

Refrain Text	Choices
El Señor Es Mi Pastor (Rosas)	FYC 185, GP 181
El Señor Es Mi Pastor/Psalm 23: The Lord Is My Shepherd (Reza)	JS3 25
My Shepherd Is the Lord (Gelineau)	BB-MI 744, CBW 606, G3 34, GC 30, GC2 24, GP3 128, H 101, OC 32, OFUV 147, OIF 233, RS 45, SS 632, UEC/UIC 82, W3 32, W4 37, W4 194, WC 422, WS 333
My Shepherd Is the Lord (Pishner)	Cry Out with Joy
My Shepherd Is the Lord (Psallite)	SS 370
My Shepherd Is the Lord/Salmo 22: Nada Me Falta (Peña)	OC 31, RS2 40
Salmo 33 Gusten y Vean/Taste and See (Rubalcava)	Psalms for the Church: Lent and Holy Week
Salmo 33 Gusten y Vean/Taste and See (Valverde)	¡Aclama, Tierra Entera! Bilingual Psalter
Shepherd Me, O God/Salmo 22: Guíame, Señor (Haugen)	G3 35, OC 34, RS2 39, W4 36, WC 424, WS 334
The Lord is my shepherd (Colopy)	OIF 232, OIF 307, WC 423
The Lord Is My Shepherd (della Picca)	LPGA B106, OIF 331, PMB 688, PRM B886, WC 218, WS 27
The Lord Is My Shepherd (della Picca)	LPGA B106, OIF 331, WC 218, WS 27
The Lord is My Shepherd (Haugen)	Lyric Psalter C
The Lord Is My Shepherd (Hillert)	LPGA C
The Lord Is My Shepherd (Inwood)	Collegeville Psalter
The Lord Is My Shepherd (Mayernik)	The Five Graces Psalter
The Lord is My Shepherd (Murray)	G3 34, GC 30, GC2 24, OC 32, OIF 233, RS 45, RS2 41, W4 37, WC 422, WS 328
The Lord is My Shepherd (Parker)	Psalms for the Soul
The Lord Is My Shepherd (Proulx)	OC 32, RS 272, RS2 41, RS2 1240, W4 194, W4 1111, W4 1208, W4 1226
The Lord Is My Shepherd (Ruff)	Responsorial Psalms for the Weekdday Mass 131
The Lord Is My Shepherd (Schiavone)	A Lectionary Psalter, JS 994, LP 139
The Lord Is My Shepherd (Sensmeier)	GC 32, RS 44
The Lord Is My Shepherd (Smith)	Forever I Will Sing, GP 180
The Lord Is My Shepherd (Vermulst)	PMB 141, WS 330
