June 2, 2019 Ascension of the Lord - C

Psalm of the Day

Refrain	Choices
Dios Asciende (Montgomery)	FYC 208
Dios Asciende/Psalm 47: God Mounts His Throne (Cortés)	¡Aclama, Tierra Entera! 29
God Goes Up with Shouts	PSL 70, SS
God Goes Up with Shouts (Affley, Murray)	CBW 106
God Mounts His Throne	S&P 210
God Mounts His Throne (Guimont)	GC2 926, LPGA C52, LPMG 73, PMB 631, PRM C62
God Mounts His Throne (Haugen)	G3 50, GC 53, GC2 36, PCY1 51, RS 80, RS2 59
God Mounts His Throne (Kogut)	PCY10 21
God Mounts His Throne (Kreutz, Gelineau)	G3 1079, LPGG 856
God Mounts His Throne to Shouts of Joy (Alstott)	BB-MI 165, GP3 841, H 190, RA 94
God Mounts His Throne to Shouts of Joy (Batastini)	LPGG 87, RS2 1180, W4 1094
God Mounts His Throne to Shouts of Joy (Blakesley)	S&P 210
God Mounts His Throne to Shouts of Joy (Canedo)	SPS 190
God Mounts His Throne to Shouts of Joy (Chepponis)	SS 583, RS2 57, W4 52
God Mounts His Throne to Shouts of Joy (Guimont)	LPGA C
God Mounts His Throne to Shouts of Joy (Guimont)	G3 1079, GC2 926, LPGA C52, RS2 1364
God Mounts His Throne to Shouts of Joy (Haugen)	G3 50, GC 53, GC2 36, PCY1 51, RS 80, RS2 59
God Mounts His Throne to Shouts of Joy (Inwood)	TCP p30
God Mounts His Throne to Shouts of Joy (Inwood)	BB-MI 767, GP 208, GP3 151, H 122, JS 45, JS3 47, OFUV 181, UC 108
God Mounts His Throne to Shouts of Joy (Mayernik)	The Five Graces Psalter 76
God Mounts His Throne to Shouts of Joy (Parker)	Psalms for the Soul
God Mounts His Throne to Shouts of Joy (Proulx	RS 79, RS2 58, W3 851, W4 53
God Mounts His Throne to Shouts of Joy (Roberts)	LMGM 522, LMGM2 868
God Mounts His Throne to Shouts of Joy (Ruff)	Responsorail Psalms for Weekday Mass
God Mounts His Throne to Shouts of Joy (Schiavone)	JS 936, LP 80
God Mounts His Throne to Shouts of Joy (Smith)	Forever I Will Sing
God Mounts His Throne to Shouts of Joy (Stephan)	SPS 68
God Mounts His Throne to Shouts of Joy (Sullivan)	OIF 251, WC 439
God Mounts His Throne to Shouts of Joy (Tate)	Cry Out with Joy C
God Mounts His Throne to Shouts of Joy (Waddell)	Abbey of Gethsemani Psalms for Easter Season
God Mounts His Throne to Shouts of Joy (Weckler)	PMB 151, Psalms for the Church Year: Common Psalms, WS 353
God Mounts His Throne to Shouts of Joy/ Dios Asciende Entre (Alonso)	OC 890
God Mounts the Throne (Willcock)	PFS 32
Dios Asciende (Montgomery)	FYC 208
Dios Asciende/Psalm 47: God Mounts His Throne (Cortés)	¡Aclama, Tierra Entera! 29
God Goes Up with Shouts	PSL 70, SS
God Goes Up with Shouts (Affley, Murray)	CBW 106
God Mounts His Throne	S&P 210
God Mounts His Throne (Guimont)	GC2 926, LPGA C52, LPMG 73, PMB 631, PRM C62
God Mounts His Throne (Haugen)	G3 50, GC 53, GC2 36, PCY1 51, RS 80, RS2 59
God Mounts His Throne (Kogut)	PCY10 21
God Mounts His Throne (Kreutz, Gelineau)	G3 1079, LPGG 856
God Mounts His Throne to Shouts of Joy (Alstott)	BB-MI 165, GP3 841, H 190, RA 94
God Mounts His Throne to Shouts of Joy (Batastini)	LPGG 87, RS2 1180, W4 1094
God Mounts His Throne to Shouts of Joy (Blakesley)	S&P 210
God Mounts His Throne to Shouts of Joy (Canedo)	SPS 190
God Mounts His Throne to Shouts of Joy (Chepponis)	SS 583, RS2 57, W4 52
God Mounts His Throne to Shouts of Joy (Guimont)	LPGA C
God Mounts His Throne to Shouts of Joy (Guimont)	G3 1079, GC2 926, LPGA C52, RS2 1364
God Mounts His Throne to Shouts of Joy (Haugen)	G3 50, GC 53, GC2 36, PCY1 51, RS 80, RS2 59
God Mounts His Throne to Shouts of Joy (Inwood)	TCP p30
God Mounts His Throne to Shouts of Joy (Inwood)	BB-MI 767, GP 208, GP3 151, H 122, JS 45, JS3 47, OFUV 181, UC 108
God Mounts His Throne to Shouts of Joy (Mayernik)	The Five Graces Psalter 76
God Mounts His Throne to Shouts of Joy (Parker)	Psalms for the Soul
God Mounts His Throne to Shouts of Joy (Proulx	RS 79, RS2 58, W3 851, W4 53
God Mounts His Throne to Shouts of Joy (Roberts)	LMGM 522, LMGM2 868
God Mounts His Throne to Shouts of Joy (Ruff)	Responsorail Psalms for Weekday Mass
God Mounts His Throne to Shouts of Joy (Schiavone)	JS 936, LP 80
God Mounts His Throne to Shouts of Joy (Smith)	Forever I Will Sing
God Mounts His Throne to Shouts of Joy (Stephan)	SPS 68
God Mounts His Throne to Shouts of Joy (Sullivan)	OIF 251, WC 439
God Mounts His Throne to Shouts of Joy (Tate)	Cry Out with Joy C
God Mounts His Throne to Shouts of Joy (Waddell)	Abbey of Gethsemani Psalms for Easter Season
God Mounts His Throne to Shouts of Joy (Weckler)	PMB 151, Psalms for the Church Year: Common Psalms, WS 353
God Mounts His Throne to Shouts of Joy/ Dios Asciende Entre (Alonso)	OC 890
God Mounts the Throne (Willcock)	PFS 32

Songs for the Liturgy

Title	Ref	Choices
*A Hymn of Glory Let Us Sing!/¡Al Mundo “Gloria” Proclamad!	1	G3 545, GC 453, GC2 467, OC 450, RS 606, RS2 639, SS 770, W3 469, W4 530
A Rightful Place	 	S&S 202
All Shall Be Well	 	GP2 396, GP3 309
All That Is Hidden	 	BB-MI 502, G3 746, GC 654, GC2 654, GP2 585, GP3 553, JS 762, JS3 728
Alleluia No. 1/Aleluya, Aleluya, Demos Gracias	G	BB-MI 567, CBW 383, G3 524, GC2 462, GP2 389, GP3 313, H 278, JS2 439, OC 435, OFUV 668, OIF 620, UC 669, PMB 353, RS 581, RS2 620, W3 441, WC 759, WS 612
*Alleluia! Go and Teach All People	G	CBW 515
*Alleluia! Sing to Jesus!/¡Aleluya! Gloria a Cristo	1,2	BB-MI 731, CBW 426, G3 949, GC 853, GC2 826, GP3 361, H 314, JS 477, JS3 458, LMGM 67, LMGM2 752, OC 744, OFUV 518, OIF 630, PMB 352, RS 914, RS2 1030, SS 989, W3 925, W4 953, WC 745, WS 609
Alleluia! Sing to Jesus!/¡Aleluya! Gloria a Cristo	2,G	BB-MI 731, CBW 426, G3 949, GC 853, GC2 826, GP2 419, GP3 361, H 314, JS2 477, JS3 458, LMGM 67, LMGM2 752, OC 744, OFUV 518, OIF 630, PMB 352, RS 914, RS2 1030, SS 989, UC 435, W3 925, W4 953, WC 745, WS 609
As a Fire Is Meant for Burning/Como un Fuego Brilla y Quema	1,G	G3 744, GC 663, GC2 643, OC 608, RS 779, RS2 850, W4 734
Awake, O Sleeper (Haugen)	2	GC 803, RS 650
Awake, O Sleeper (Ndolo)	2	S&S 266
Awake, O Sleeper, Rise From Death (AZMON), v. 3	2	OIF 689, RS 729, W3 586, W4 915, WC 826, WS 674
Baptized in Living Waters, vss. 4-5	2,G	OIF 662, PMB 386, WC 786, WS 644
Be Not Afraid (Taizé)	1	G3 516, RS2 628, W4 522
Be Not Afraid/No Temas Más (Dufford)	1	BB-MI 431, CBW 481, G3 683, GC 608, GC2 596, GP2 602, GP3 600, H549, JS2 706, JS3 673, LMGM 123, LMGM2 583, OC 574, OFUV 647, OIF 774, PMB 446, RS 734, RS2 797, S&S 271, SS 849, UC 744, W4 680, WC 875, WS 720
Blessed Be God (Kraehenbuehl)	2	OIF 312
Bread of Angels (Stephan)	 	BB-MI 366, GP3 484
Breathe on Me, O Breath of God	 	VAO M3
Christ High-Ascended	1	OIF 486, WS 517
Christ’s Church Shall Glory	2	CH 487, RS 717, RS2 851, SS 880, W3 616
Come Down, O Love Divine	 	CBW 407, G3 556, GC 465, GC2 471, JS 461, JS3 438, LMGM2 332, OIF 491, RS 617, RS2 646, W3 472, W4 534, WC 630
Come to Me and Drink (Hurd)	 	BB-MI 357, JS3 797
Come, Christians, Join to Sing	1	BB-MI 548, GP2 684, GP3 711, H 513, JS 608, JS3 571, OFUV 577, OIF 804, RS2 733, W4 628, WC 903, WS 733
Crown Him with Many Crowns/Al Salvador Jesús	2	BB-MI 732, CBW 437, G3 574, GC 485, GC2 489, GP2 420, GP3 362, H 313, JS2 480, JS3 461, LMGM 68, LMGM2 344, OC 475, OFUV 511, OIF 626, PMB 359, RS 626, RS2 669, SS 796, UC 430, W3 496, W4 571, WC 748, WS 611
Dwelling Place	2	BB-MI 491, G3 678, GC 594, GC2 582, GP 591, GP3 596, H 491, JS3 664
Everyone Moved by the Spirit	 	GP2 412, GP3 353
For the Life of the World	 	G3 901, GC 801, GC2 792
Forth in the Peace of Christ	G	CBW 514, W3 627
*Go	G	GC 454, LMGM 66, LMGM2 320, OIF 819, PMB 478, RS 604, WC 918, WS 748
*Go Make of All Disciples/¡Discípulos Han de Ganar!	G	BB-MI 185, G3 769, GC 687, GC2 666, JS 828, JS3 430, LMGM2 646, OC 648, OIF 810, PMB 479, RS 798, RS2 866, W3 628, W4 792, WC 926, WS 750
Go Now	 	VAO M3
*Go Out in the World	G	OIF 816, WS 749, VAO 261
*Go Out to the World/Vayan al Mundo	G	FYC3 689, G3 762, RS2 643
Go Out, Go Out	G	BB-MI 374, GP3 536, S&S 212, UC 582
*Go to the World!/¡Vayan con Dios!	G	CBW 508, G3 546, GC2 469, LMGM2 321, OC 452, RS 608, RS2 641, SS 771, W4 532, WC 916, WS 746
Go Ye Out	 	S&S 215, SS1 110
Go Ye Therefore	 	LMGM2 322
Go ye therefore and teach all nations	 	OIF 819, WC 918, WS 748
Go, Make a Difference	 	S&S 213
God, We Praise You (NETTLETON)	G	BB-MI 205, CP3 401, GP3 719, H 495, JS2 594, JS3 567, OIF 838, PMB 495, RS 676, RS2 703, SS 817, W3 535, W4 599, WC 933, WS 763
*Hail the Day That Sees Him Rise/Hail the Day That Sees Christ Rise/Celebremos, del Señor	1,G	BB-MI 184, CBW 399, G3 543, GC 457, GC2 468, GP 400, GP3 337, JS 451, JS3 429, OC 451, OFUV 494, OIF 484, PMB 276, RS 605, RS2 640, S&S 188, SS 769, W3 471, W4 529, WC 622, WS 516
