January 13, 2019 Baptism of the Lord Year C

Psalm of the Day

Alabado Sea el Señor/ Psalm 29 Praise the Lord (Florián)	Celebremos Himario
Bless the Lord (Weckler)	Psalms for the Church: Advent and Christmas
El Señor Bendicea Su Pueblo Con La Paz (Manzano)	FYC3 167
El Señor Bendicea Su Pueblo Con La Paz/ Psalm 29 The Lord will Bless His People (Krisman)	OC 823
O Bless the Lord, My Soul (Alonso)	The Lyric Psalter C
O Bless the Lord, My Soul (Alstott)	GP3 806
O Bless the Lord, My Soul (Batastini)	LPGC, W4 83
O Bless the Lord, My Soul (Batastini)	LPGC
O Bless the Lord, My Soul (Collegeville)	SS
O Bless the Lord, My Soul (Ford)	BFW 131
O Bless the Lord, My Soul (Guimont)	LPMG 21C, G3 1014, GC2 975, RS2 1415
O Bless the Lord, My Soul (Hopson)	LPGA C16
O Bless the Lord, My Soul (Inwood)	The Collegeville Psalter
O Bless the Lord, My Soul (Modlin)	SAP
O Bless the Lord, My Soul (Ruff)	Responsorial Psalms for Weekdays: Advent, Christmas, Lent & Easter
O Bless the Lord, My Soul (Schiavone)	A Lectionary Psalter
O Bless the Lord, My Soul (ST THOMAS) (Alstott)	BB-MI 532, H 361, JS3 576
O Bless the Lord, My Soul (TRUE)	Cry Out with Joy C
O Bless the Lord, My Soul (Waddell)	Gethsemani; Psalms for the Christmas Season
The Lord will bless his people with peace (Alstott)	GP3 804
The Lord will bless his people with peace (Booth)	GP 191
The Lord will bless his people with peace (Canter)	BB-MI 753, GP3 135, H 109, JS3 32
The Lord will bless his people with peace (Cheri; Robertson)	OIF 239, WC 429, WS 339,
The Lord will bless his people with peace (Guimont)	LPMG, G3 1012, GC2 908, RS2 1346
The Lord will bless his people with peace (Haas)	Cry Out with Joy C
The Lord will bless his people with peace (Haugen)	Lyric Psalter C
The Lord will bless his people with peace (Inwood)	Collegeville Psalter
The Lord will bless his people with peace (Kreutz)	LPGA C
The Lord will bless his people with peace (Proulx)	LPGC, W4 1022, RS2 1111
The Lord will bless his people with peace (Ruff)	Responsorial Psalms for Weekdays: Advent, Christmas, Lent & Easter
The Lord will bless his people with peace (Schiavone)	A Lectionary Psalter


Songs for the Liturgy

Title	Ref	Choices
*All Justice You Have Loved and Taught	E	IH 13
All the Ends of the Earth (Canedo)	G	GP3 178, JS2 595, JS3 82, SPS 83
All the Ends of the Earth (Fisher)	 	SPS 75
All the Ends of the Earth (Hunstiger)	C,Day	SS 525
All the Ends of the Earth (Hurd)	 	BB-MI 541, JS3 79, GP3 177, H 515
All the Ends of the Earth/Los Confines del Orbe (Dufford)	1	BB-MI 549, G2 378, G3 604, GC 520, GC2 526, GP 683, GP3 712, H 501, JS 595, JS3 573, OC 509, OFUV 571, UEC/UIC 720
All You Who Are Thirsty	G	GC 501, GP 526, RS 644
Arise, Your Light Is Come!	1	CBW 302, W4 583
Baptized in Water/Ya Bautizados	G	BB-MI 648, CBW 614, G3 903, GC 798, GC2 797, JS 542, JS3 516, LMGM2 746, OC 733, OIF 516, PMB 286, RS 903, RS2 1020, SS 980, W3 720, W4 919, WC 637, WS 535
Before the Sun Burned Bright	G	CBW 504, GP 577, GP3 565
Blessed Quietness	G	LMGM 72, LMGM2 594
Christ, You are the Fullness	2,G	CBW 431
Come, Taste and See	G	GP 526, JS2 818
*Down Galilee’s Slow Roadways	G	HG 16
Everyone Moved by the Spirit	G	GP 412, GP3 353
God Sends Us His Spirit	G	GC 467, LMGM 125, LMGM2 333, W3 724
Hail to the Lord's Anointed (ELLACOMBE)	1,G	OIF 404, LMGM2 232, PMB 225, SS 656, WC 549, WS 457
Healing River of the Spirit	1, 1B, Ps	BB-MI 690, G3 665, GP3 422, JS3 545, RS2 765
Healing River/Fuente de Vida	1,G	G3 643, GC 584, GC2 564, GP3 422, OC 560, RS 715
Here Am I, Lord (Angrisano)	 	SPS 66
Here Am I, Lord/Aqui Estoy, Señor (Schutte)	1	BB-MI 378, G3 804, GC2 713, GP 542, GP3 539, H 527, JS 832, JS3 818, LMGM2 636, OFUV 737, RS 822, RS2 869, SPS 250, SS 891, UEC/UIC 587, W4 783, WC 828,
Here I Am (Booth)	 	BB-MI 443, GP3 604, H 560, JS3 684, OFUV 635, SPS 307, UEC/UIC 734
Here I Am, Lord (Ward)	 	OIF 699, WC 809, WS 673
*Here Is My Servant	1	PSL C-34, SS 291
