June 23, 2019 Most Holy Body and Blood of Christ Year C

Psalm of the Day

Priest For Ever, Jesus Christ	BFW 202
Tú Eres Sacerdote para Siempre (Montgomery)	FYC 252, Una Voz 232
You Are a Priest For Ever	PSL C-204
You Are a Priest For Ever (Alstott)	JS 88
You Are a Priest For Ever (Armstrong, Somerville)	CBW 113
You Are a Priest For Ever (Batastini, Gelineau)	RS 148
You Are a Priest For Ever (Guimont)	GC 103, GC2 979, PMB 642, WS, PRM C69, LPMG 169
You Are a Priest For Ever (Schiavone)	JS 947, LP 91, W4 84
You Are a Priest For Ever (Schiavone, Gelineau)	W3 864, W4 1108, LPGG 869
You are a priest forever, in the line of Melchezedek (Alonso)	RS2 89
You are a priest forever, in the line of Melchezedek (Alstott)	BB-MI 182, GP3 852, H 207, RA 108
You are a priest forever, in the line of Melchezedek (Duncan)	LMGM2 880
You are a priest forever, in the line of Melchezedek (Guimont)	G3 1091, GC2 979, LPGA C, OC 69, OIF 1034, RS2 1419
You are a priest forever, in the line of Melchezedek (Inwood)	The Collegeville Psalter
You are a priest forever, in the line of Melchezedek (Mayernik)	The Five Graces Psalter
You are a priest forever, in the line of Melchezedek (Pishner)	Cry Out with Joy C
You are a priest forever, in the line of Melchezedek (Schiavone)	A Lectionary Psalter, RS2 1193, W4 84, W4 1108
You are a priest forever, in the line of Melchezedek (Smith)	Forever I Will Sing
You are a priest forever, in the line of Melchezedek (Soper)	SAP 236
You are a priest forever, in the line of Melchezedek (Waddell)	Abbey of Gethsemani: Psalms for Solemnities in Ordinary Time Vol 1.
You are a priest forever/Salmo 109 Tú eres Sacerdote (Krisman)	OC 69, OC 903
Sequence

Praise, O Zion, Voices Raising (ST. THOMAS)	OIF 561, RS2 667, WC 675, WS 584

Songs for the Liturgy

Title	Ref	Choices
All Who Hunger, Gather Gladly/Los Hambrientos, Que Se Alegren (HOLY MANNA)		G3 852, OC 684, RS 845, RS2 931, SS 1007, W4 844
All Who Hunger/Los Hambrientos (Moore)		G3 925, GC 820, GC2 817, RS 926, RS2 1032, W4 951
Alleluia! Sing to Jesus!/¡Aleluya! Gloria a Cristo	2	BB-MI 731, CBW 426, G3 949, GC 853, GC2 826, GP2 419, GP3 361, H 314, JS2 477, JS3 458, LMGM 67, LMGM2 752, OC 744, OFUV 518, OIF 630, PMB 352, RS 914, RS2 1030, SS 989, UC 435, W3 925, W4 953, WC 745, WS 609
Am Yours–Consume Me Completely		VAO M2
Amén. El Cuerpo de Cristo	G	BB-MI 337, G3 912, GP3 479, JS2 824, JS3 783, OC 743, OFUV 809, RS2 1034, UC 529, W4 934
*As He Gathered at His Table	G	HG 120
As We Remember	2	GC 818, GP 504, GP3 480
At the Lamb’s High Feast We Sing/Un Banquete Tan Triunfal	1,2,G	BB-MI 166, CBW 375, G3 536, GC 433, GC2 463, GP2 394, GP3 319, H 276, JS2 424, JS3 407, LMGM2 316, OC 449, OFUV 480, OIF 453, PMB 271, RS 578, RS2 613, SS 765, UC 402, W3 459, W3 460, W4 512, WC 596, WS 495
Bless the Feast	1,G	GC 752, GP 532
Blest Are You	1,2,G	GC 588, RS 702
Bread for the Word (Farrell)		BB-MI 344, GC 827, GP 528, GP3 483, H 386, JS 810, JS3 780, S&S 240
Bread of Heaven (Manibusan)		GP3 485, S&S 241
Bread of Life (Cooney)		GP3 490, H 399, JS3 799, OFUV 813
Bread of Life (Farrell)		BB-MI 321, BB-MI 257, BB-MI 371, CBW 597, GC 824, GP2 498, GP3 482, JS2 819, JS3 788, OFUV 814, UC 526
Bread of Life (Fisher)		BB-MI 369, GP3 478, H 408, JS3 805, S&S 243
Bread of Life from Heaven/Pan de Vida Eterna	G	G3 943, GC2 803, OC 764, RS2 1035, SS 986, W4 948
Bread of Life, Cup of Blessing		G3 947, W4 924
By Gracious Powers, v. 3	Ps	W3 577
Celebrate the Feast		VAO 220
Christians, Let Us Love One Another (PICARDY), v. 3	2	BB-MI 475, CBW 595, GP2 646, GP 646, GP3 657, H 566, JS2 751, JS3 717, OFUV 695, UC 632
Come and Eat This Bread	G	GC2 831, SS 1091
Come to the Banquet (Chepponis)	G	G3 931, GC2 810, SS 1090, W4 928
Come to the Feast (Haugen)		G3 585, GC 503, GC2 499
Come to the Feast (Moore)		LMGM2 684
Come to the Feast/Ven al Banquete (Hurd)		BB-MI 307, FYC3 570, G3 838, GP3 458, H 373, JS 795, JS3 763, OC 691, OFUV 779, SS 1090, UC 489
Come, Taste and See	G	GP 526, JS2 818
Do This in Memory of Me		GC2 200
Do This in Memory of Me (Muglia)		S&S 246
*Do This in Remembrance of Me (Burleigh)	G	LMGM2 763
*Do This in Remembrance of Me (REMEMBRANCE)	G	OIF 534, WC 667
Draw Near (Janco)	2	G3 935, GC2 829, GP3 486, OIF 535 RS2 1037, W4 937, WC 649, WS 538
Draw Near and Take the Body of the Lord	2	JS 472, JS3 454, PMB 293, W3 732, W4 947, WC 632
Draw Us in the Spirit’s Tether		JS 797, OIF 694, RS 917, RS2 1047, W3 731, W4 937
Eat this bread, the bread of heaven		WS 557
Eat This Bread/Coman de Este Pan	G	BB-MI 336, CBW 602, G3 941, GC 838, GC2 806, GP3 505, H 398, LMGM2 753, OC 748, OIF 536, RS 928, RS2 1033, W3 734, W4 943, WC 648, WS 556
Eucharistic Litany		GP 502, OIF 537, PMB 310, WC 650, VAO 21, WS 570
Father, We Thank Thee Who Hast Planted/Father, We Thank You, Who Have Planted/Gracias, Buen Padre, Que Plantaste		CBW 602, CH 374, G3 932, GC 838, GC2 806, GP3 505, H 398, LMGM2 753, OC 541, OIF 539, PMB 316, RS2 745, SS 835, W4 631, WC 655, WS 539
Fill My Cup, Lord	1,Ps	BB-MI 398
Gather Us In/Únenos Hoy	G	BB-MI 303, CBW 587, CH 624, G3 848, GC 744, GC2 743, GP 78, H 374, LMGM2 676, OC 687, RS 850, RS2 929, SS 922, W3 665, W4 836, WC 907, WS 735
Gift of Finest Wheat (Kreutz), v. 3	E,G	BB-MI 323, CBW 603, G3 940, GC 815, GC2 816, GP2 525, GP3 487, H 385, JS2 803, JS3 791, LMGM 136, LMGM2 757, OC 761, OFUV 807, OIF 540, PMB 300, RS 912, RS2 1028, SS 1009, OFUV 807, W3 736, W4 939, WC 664, WS 560
Give Thanks and Remember	2	OIF 538, PMB 315, WC 680, WS 569
God’s Holy Mystery	G	OIF 541, PMB 297, VAO 28, WC 657, WS 553
Halleluya! We Sing Your Praises/Halleluya! Pelo Tsa Rona	C	G3 626, GC 562, GC2 529, JS3 599, LMGM2 452, OC 508, OIF 818, PMB 482, RS 692, RS2 738
He Lives In Us		VAO M1
Heavenly Bread		VAO M1
Here at This Table	G	BB-MI 312, GP3 464, H 371, JS 807, JS3 777, S&S 248
How Beautiful		VAO 278
I am the Bread of Life (Angrisano/Booth)	G	BB-MI 370
*I Am the Bread of Life (Englert)	G	OIF 546, PMB 321, WC 694
I Am the Bread of Life (Kaczmarek)	G	OIF 542, WS 579
I Am the Bread of Life/Yo Soy el Pan de Vida, v. 3 (Toolan)	G	BB-MI 363, G3 945, GC 828, GC2 822, GP3 493, H 390, LMGM 133, LMGM2 755, OC 750, OIF 546, PMB 321, RS 931, RS2 1029, SS 988, UC 524, W3 738, W4 950, WC 648, WS 543
I Believe This Is Jesus		OIF 543, WC 668, WS 564, VAO 46
I Come with Joy to Meet My Lord/Con Gozo Vengo	2	CBW 424, G3 919, GC 806, GC2 799, LMGM2 754, OC 742, OIF 724, PMB 320, RS 854, RS2 934, SS 979, W3 726, W4 926, WC 911, WS 577
I’ve Just Come from the Fountain		GC2 802, LMGM 110, OIF 513
In Christ There Is a Table Set for All	G	GC 749, RS 916
In Remembrance of You (Tate)	G	G3 944, GC2 819, OIF 547, PMB 317, WC 670, WS 572
In This Bread		VAO 296
Jesus Is Here Right Now		G3 934, LMGM 142, LMGM2 751, RS 930
Jesus, Lamb of God	G	JS 804
Jesus, Wine of Peace	2,G	GC 817, GC2 804
Laud, O Zion		JS 473, JS3 453, PRM B70a
Let All the People Praise Thee		LMGM 83, LMGM2 475
Let the Hungry Come to Me		OIF 551, WC 693
Let Us Be Bread/Que Seamos Pan	G	G3 946, GC 816, GC2 808, OC 752, RS 929
Let Us Break Bread Together/De Rodillas Compartamos	2	BB-MI 348, GC 832, GC2 832, GP 505, GP3 488, H 390, JS 806, JS3 800, LMGM 135, OC 762, OFUV 801, OIF 572, PMB 313, RS 911, W3 727, WC 652, WS 544
Let Us Break Bread Together/De Rodillas Compartamos, v. 2	G	BB-MI 348, GC 832, GC2 832, GP 505, GP3 488, H 390, JS 806, JS3 800, LMGM 135, OC 762, OFUV 801, OIF 572, PMB 313, RS 911, W3 727, WC 652, WS 544
Life-Giving Bread, Saving Cup	2	G3 926, GC 822, GC2 821, RS 920, RS2 1038, SS 998, W4 956
Like the Bread		S&S 247
Litany for the Holy Eucharist	1,Ps,2,G	OIF 936, WC 993
Love Is His Word (Hampton)		OIF 556, PMB 299
Love Is His Word (JULINORMA)		RS 750, RS2 813, W3 599, W4 696
Make of Our Hands a Throne		OIF 552, PMB 302, WC 692, WS 578
May We Be One		G3 394, GC 316, GC2 322, OC 1049
Miracle of Grace (Stephan)		BB-MI 358, GP3 497, S&S 254
Now in This Banquet		CBW 608, G3 937, GC 833, GC2 825, LMGM2 600, RS 933, RS2 1041
Now We Remain/En Ti Permanecemos	2	BB-MI 507, G3 785, GC 694, GC2 696, H 417, OC 620, RS 813, RS2 889, SS 903, SS1 158, UC 568, W4 764, WC 676, WS 561
O Blessed Savior	G	OIF 553, PMB 308, RS2 1045, WC 647
O Food of Exiles Lowly/O Esca Viatorum		GC 886, W3 729, W4 557
O Living Bread from Heaven (AURELIA)		OIF 937, PMB 546, WC 1017
O Living Bread from Heaven (NON DIGNUS)		OIF 938, WC 1028
O Lord, with Wondrous Mystery	G	OIF 544, PMB 309, WC 664, WS 575
O Taste and See	G	CBW 414, 415, GC 835, G3 917, RS 923
O, How I Long to See	2	GP 306
Oh Buen Jesús, Yo Creo Firmemente/Lord Jesus Christ, My Faith Has This		OC 467
Our Blessing Cup (Kutscher)	Ps	OIF 557, WC 660
Our Blessing Cup (Various)	Ps	BB-MI 362, GP 513, H 153, JS 89, JS 91, JS 9, JS3 94, OFUV 233, PMB 167
Our Daily Bread	G	CBW 600
Pan de Vida	G	BB-MI 335, G3 920, GC 848, GC2 811, GP 500, GP3 501, H 393, JS 813, JS3 784, LMGM2 764, OC 758, OFUV 796, OIF 559, RS 909, RS2 1035, W4 925, WC 673, WS 555
