November 24, 2019 Christ the King

Psalm of the Day

Refrain Text	Choices
¡Qué alegria cuando me dijeron (Florián)	Salmos Responsoriales y Aclamaciones 216
¡Qué alegria cuando me dijeron (Manzano)	UEC/UIC 156
¡Qué alegria cuando me dijeron/Psalm 122 I rejoiced when I heard them say (Cortez)	UEC/UIC 157
¡Qué alegria, ¡Qué alegria, cuando me dijeron/ Psalm 122: Let us go rejoicing to the hou	OC 1006
Con que alegrïa vamos a la casa/ Psalm 122: Let us go rejoicing to the house of the Lord	FYC3 227, OFUV 243, UEC/UIC 493
Let us go rejoicing to the house of the Lord ( Angrisano)	SPS 92
Let us go rejoicing to the house of the Lord (Alstott)	BB-MI 235, GP3 954, H 260, RA 158
Let us go rejoicing to the house of the Lord (Batastini)	W4 1210, RS2 1295
Let us go rejoicing to the house of the Lord (Englert)	LPGA C94
Let us go rejoicing to the house of the Lord (Halligan)	JS3 103,
Let us go rejoicing to the house of the Lord (Haugen)	Lyric Psalter C
Let us go rejoicing to the house of the Lord (Hunstiger)	SS 536
Let us go rejoicing to the house of the Lord (Hurd)	JS3 102, UEC/UIC 155
Let us go rejoicing to the house of the Lord (Inwood)	Collegeville Psater
Let us go rejoicing to the house of the Lord (Joncas)	The Michael Joncas Psalter
Let us go rejoicing to the house of the Lord (Louis)	LMGM2 791
Let us go rejoicing to the house of the Lord (Mayernik)	The Five Graces Psalter
Let us go rejoicing to the house of the Lord (Ruff)	Responsorial Psalms for Weekday Masses
Let us go rejoicing to the house of the Lord (Schiavone)	A Lectionary Psalter
Let us go rejoicing to the house of the Lord (Smith)	Forever I Will Sing Psalter
Let us go rejoicing to the house of the Lord (Waddell)	Music from Gethsemani: Psalms for the Advent Season
Let us go rejoicing to the house of the Lord (Willcock)	SS 585
Let us go rejoicing to the house of the Lord (True)	Cry Out with Joy C
Vamos alegres a la casa del señor/Psalm 122: Let us go rejoicing to the house of the Lor	¡Aclama, Tierra Entera! Bilingual Psalter
Vamos alegres a la casa del señor/Psalm 122: Let us go rejoicing to the house of the Lor	Salmos Responsoriales y Aclamaciones 216

Songs for the Liturgy

Title	Ref	Choices
All Hail the Power of Jesus’ Name! (DIADEM)	1	G3 570, GC 484, GC2 490, LMGM 89, LMGM2 342, RS 632, W3 495
All Hail the Power of Jesus’ Name!/A Jesucristo Póstrense (CORONATION)	1	BB-MI 728, G3 566, GP 421, GP3 364, H 315, JS 482, JS3 462, LMGM 88, LMGM2 343, OC 473, OIF 619, PMB 368, RS2 672, SS 795, UC 421, W3 494, W4 566, WC 743, WS 619
All the Ends of the Earth (Canedo)	Ps	GP3 178, JS2 595, JS3 82, S&S 83
All the Ends of the Earth (Hunstiger)	 	SS 525
All the Ends of the Earth (Psallite)	 	SS 206
All the Ends of the Earth (Trapp)	 	SS 578
All the Ends of the Earth/Los Confines del Orbe (Dufford)	Ps	BB-MI 549, G2 378, G3 604, GC 520, GC2 526, GP2 683, GP3 712, H 501, JS2 595, JS3 573, OC 509, OFUV 571
All the Ends of the Earth/Los Confines del Orbe (Haas, Haugen)	Ps	BB-MI 792, G3 70, GC 95, GC2 55, OC 509, OIF 276, RS 135, RS2 80, SS 577, W4 75, WS 397
All the Ends of the Earth/Psalm 98 (Marchionda)	Ps	OIF 278, WC 462
All the Ends of the Earth: Psalm 98 (Beall)	Ps	OIF 277, WC 461, WS 374
Alleluia No. 1/Aleluya, Aleluya, Demos Gracias	2,G	BB-MI 567, CBW 383, G3 524, GC 443, GC2 462, GP2 389, GP3 313, H 278, JS2 439, OC 435, OFUV 668, OIF 620, UC 669, PMB 353, RS 581, RS2 620, W3 441, WC 759, WS 612
At the Name of Jesus (Bolduc)	 	WS 623
At the Name of Jesus (Clemens)	 	G3 569, RS2 673, W4 561
At the Name of Jesus (KING'S WESTON)	 	BB-MI 725, CBW 428, G3 569, GP 424, GP3 366, JS 400, JS 483, JS3 465, OFUV 512, RS2 673, S&S 268, W3 499, W4 561
At the Name of Jesus (Noel)	 	W4 563, WS 623
At the Name of Jesus (Toolan)	 	JS 400, JS3 369
At the Name of Jesus (Walker)	 	BB-MI 726, GP3 336, H 312, JS3 466, UC 431
Christ Is Alive! (TRURO)	G	CBW 384, JS 441, JS3 418, OIF 455, PMB 258, RS 601, SS 761, W3 466, W4 510, WC 593, WS 499
Christ Is the King!/¡Cristo Es el Rey!	2	CBW 387, G3 571, GC 481, GC2 491, JS 848, JS3 833, OC 477, RS 630, RS2 670, SS 799, W3 500, W4 568
*Christ, You Are the Fullness	2	CBW 431
Christ’s Church Shall Glory in His Power	G	CH 487, RS 717, RS2 851, SS 880, W3 616
City of God, Jerusalem	Ps	RS 486, W3 362, W4 391
Crown Him with Many Crowns/Al Salvador Jesús	E,1,Ps,G	BB-MI 732, CBW 437, G3 574, GC 485, GC2 489, GP2 420, GP3 362, H 313, JS2 480, JS3 461, LMGM 68, LMGM2 344, OC 475, OFUV 511, OIF 626, PMB 359, RS 626, RS2 669, SS 796, UC 430, W3 496, W4 571, WC 748, WS 611
Draw Near (Janco)	2	G3 935, GC2 829, GP3 486, OIF 535 RS2 1037, W4 937, WC 649, WS 538
Draw Near and Take the Body of Your Lord	2	JS 472, JS3 454, PMB 293, W3 732, W4 947, WC 632
Each Winter as the Year Grows Older	1	G3 419, GC 339, RS 481
Festival Canticle	2	CBW 396, G3 520, GC 429, GC2 458, JS 428, JS3 424, OC 446, OFUV 667, OIF 834, PMB 489, RS 583, RS2 618, SS 749, W3 458, W4 515
For the Life of the World	2,G	G3 901, GC 801, GC2 792
Forth in the Peace of Christ	2	CBW 514, W3 627
Glorious in Majesty	 	GC 671, RS 791, W3 619
*Glorious Things of You Are Spoken, v. 4	2	OIF 608, WC 732
God, Whose Glory Reigns Eternal	G	CBW 475, JS 655
Hail, Redeemer, King Divine	G	JS 481, OIF 625, PMB 358, WC 757, WS 627
He Is King of Kings	2,G	LMGM 86, LMGM2 346, W3 498
He Walks among the Golden Lamps	2	W3 684
I Will Not Die	G	GC 657, GP 716, GP3 758, JS 658, RS 771
Immortal, Invisible, God Only Wise	2	BB-MI 557, CBW 472, GC 506, JS 621, JS3 594, OIF 615, PMB 347, RS2 684, SS 885, W3 512, W4 630, WC 737
*Jesus Christ, the Same	2	PSL A-22, PSL C-22, SS 352
Jesus Is Our King	2,G	LMGM 91
Jesus Shall Reign/Doquier Alumbre el Astro Sol	1,Ps	GC 482, JS2 479, JS3 460, LMGM2 345, OC 478, OIF 633, PMB 362, RS 631, RS2 843, SS 793, W3 492, W4 569, WC 744, WS 625
*Jesus, Remember Me/Jesús, Recuérdame	G	BB-MI 407, CBW 380, G3 510, GC 404, GC2 422, GP3 510, LMGM 48, LMGM2 97, OC 706, OIF 783, RS 770, RS2 842, W3 423, W4 869, WC 880, WS 602
