Dec 24, 2018 Christmas Vigil Year C

Psalm of the Day


Cantaré Eternamente/ For Ever I Will Sing (Reza)	Cantaré Eternamente/For Ever I Will Sing; OFUV 202; FYC3 199
Cantaré Eternamente/ Psalm 89: For Ever I Will Sing (Jansen, Valimar, Frank)	Psalms from the Soul vol 1.
Cantaré, Cantaré, Eternamente/ For Ever I Will Sing (Krisman)	OC 812, 1012
Forever I Will Sing the Goodness of the Lord (Alonso)	Lyric Psalter C
Forever I Will Sing the Goodness of the Lord (Bolduc)	OIF 269, WC 455
Forever I Will Sing the Goodness of the Lord (Booth)	SAP 32, 36
Forever I Will Sing the Goodness of the Lord (Carroll)	LPGC, RS2 1100, RS2 1102, RS2 1230, W4 1011, W4 1013
Forever I Will Sing the Goodness of the Lord (della Picca)	LPGA C5
Forever I Will Sing the Goodness of the Lord (Guimont)	LPMG 1011, W4 66
Forever I Will Sing the Goodness of the Lord (Haugen)	GC2 49, G3 64, RS2 72
Forever I Will Sing the Goodness of the Lord (Inwood)	Collegeville Psalter
Forever I Will Sing the Goodness of the Lord (Johengen)	Psalms for the Church: Advent and Christmas
Forever I Will Sing the Goodness of the Lord (Joncas)	The Michael Joncas Psalter: Advent & Christmas
Forever I Will Sing the Goodness of the Lord (Kreutz)	OIF 268, WC 454, WS 361
Forever I Will Sing the Goodness of the Lord (Mayernik)	The Five Graces Psalter
Forever I Will Sing the Goodness of the Lord (Modlin)	JS3 66
Forever I Will Sing the Goodness of the Lord (Ridge)	OFUV 201
Forever I Will Sing the Goodness of the Lord (Ruff)	Responsorial Psalms for Weekday Mass
Forever I Will Sing the Goodness of the Lord (Schiavone)	A Lectionary Psalter
Forever I Will Sing the Goodness of the Lord (Waddell)	Gethsemani; Psalms for the Advent Season; Gethsemani; Psalms for the Christmas Season

Songs for the Liturgy


Title	Reference	Choices
A Child Is Born	All Masses	GP 330
A Child Is Born in Bethlehem/Puer Natus in Bethlehem	Midnight, Dawn	JS 340, JS2 340, OC 472, OIF 374, RS 500, RS2 519, RS2 519, SS 680, WC 532, W3 384, W4 432
*A Light Will Shine	E, Dawn	PSL C-13, SS 201, SS 524
*A Radiant Light Has Come	E, Dawn	IH 7
A Stable Lamp Is Lighted (Haugen)	Midnight	GC 356, G2 269
A Stable Lamp Is Lighted (Hurd)	Midnight	W3 385
*All the Ends of the Earth (Canedo)	C, Day	GP3 178, JS2 595, JS3 82, SPS 83
All the Ends of the Earth (Hunstiger)	C,Day	SS 525
All the Ends of the Earth (Hurd)	 	BB-MI 541, JS3 79, GP3 177, H 515
All the Ends of the Earth/Los Confines del Orbe (Dufford)	1	BB-MI 549, G2 378, G3 604, GC 520, GC2 526, GP 683, GP3 712, H 501, JS 595, JS3 573, OC 509, OFUV 571, UEC/UIC 720
Angels from the Realms of Glory	Midnight, Dawn	BB-MI 108, G3 438, GC 358, GC2 369, GP 335, GP3 253, H 216, JS 367, JS2 367, JS3 332, LMGM 18, LMGM2 264, OFUV 383, OIF 379, PMB 202, RS 508, SS 676, UEC/UIC 298, WC 516, W3 377, W4 425, WS 452
Angels We Have Heard on High/Un Angelical Cantar	Midnight, Dawn	BB 97, CBW 320, G3 430, GC 347, GC2 361, GP 313, GP3 236, H 215, JS 341, JS2 341, JS3 308, LMGM 17, LMGM2 246, OC 371, OFUV 382, OIF 378, RS 504, RS2 524, SPS 145, SS 688, W3 376, W4 417, WC 530, WS 435
Awake! Awake, and Greet the New Morn	Midnight	CBW 303, G3 423, GC2 351, OC 366, RS 494, RS2 517, SS 677, WC 491, W4 406, WS 415
Away in a Manger (CRADLE SONG)	 	LMGM2 261, JS3 310, OIF 376, SS 690, W3 378, W4 437, WC 546
Away in a Manger/Allá en el Pesebre (MUELLER)	 	BB-MI 94, G3 448, GC 353, GC2 365, GP3 238, H 217, JS3 317, LMGM2 252, OC 381, OFUV 392, OIF 380, RS2 522, SS 690, UEC/UIC 297, W3 353, WC 526, WS 447
Carol at the Manger	Midnight	G3 443, GC2 354, RS 516
*Child of Mercy	Midnight	G3 431, GC2 368, RS 506, SS 681
Child of the Poor	Midnight	BB-MI 106, GP 336, GP3 257, H 232, JS2 366, JS3 331, OFUV 405, UEC/UIC 319
Christ Was Born on Christmas Day	All Masses	RS 513, SS 667
Cry Out with Joy and Gladness	Vigil, Midnight	PMB 197, WC 514, WS 423
*For Us a Child of Hope Is Born	E, Day	IH 8, OIF 381, WC 545, WS 450
From Heaven Above	Midnight	W3 388, W4 433
Gloria	All Masses	RS 511
Gloria, Gloria	All Masses	CBW 340, LMGM 14, LMGM2 259, RS 507, W3 401, W4 423
Go, Tell It on the Mountain	Midnight, Dawn	BB 95, G3 428, GC 359, GC2 363, GP 325, GP3 242, JS 352, JS2 352, JS3 311, LMGM 22, LMGM2 253, OFUV 374, OIF 395, PMB 218, RS 514, SS 679, WC 547, W3 397, W4 428, WC 547, WS 442
