April 28, 2019 Second Sunday of Easter C

Psalm of the Day

Refrain	Choices
Alleluia	FYC3 222, PSL 61, SS
Dad Gracias al Señor (Taulé)	FYC 259
Den Gracias al Señor (Cortés)	Cantos 76
Éste Es el Día/Give Thanks to the Lord (Lobato)	¡Aclama, Tierra Entera! 27
Éste Es el Día/Psalm 118 This is the Day (Lobato)	¡Aclama, Tierra Entera! Bilingual Psalter
Éste Es el Día/Psalm 118 This is the Day (Rubalcava)	¡Aclama, Tierra Entera! Bilingual Psalter
Éste Es el Día/Psalm 118 This is the Day (Valverde)	¡Aclama, Tierra Entera! Bilingual Psalter
Give Thanks to the Lord	RA 84, S&P 182, TCP p118
Give Thanks to the Lord (Alstott)	JS 96
Give Thanks to the Lord (Boschetti/Fowler)	CBW 91
Give Thanks to the Lord (Guimont)	GC2 988, LPMG 60
Give Thanks to the Lord (Haugen)	RS2 94
Give Thanks to the Lord (Hopson)	LPGA C47, PMB 618, PRM C57
Give Thanks to the Lord (Mayernik)	The Five Graces Psalter 62
Give Thanks to the Lord (Schiavone)	JS 923, LP 66
Give Thanks to the Lord (Smith)	BB-MI 804, GP 264, GP3 190, H 156
Give Thanks to the Lord (Waddell/Gelineau)	LPGG 71, RS 159, W3 838, W4 94
Give thanks to the Lord for He is Good (Alstott)	BB-MI 154. GP3 828, H 179, RA 84
Give thanks to the Lord for He is Good (Angrisano)	SPS 89
Give thanks to the Lord for He is Good (Cortez)	S&P 166
Give thanks to the Lord for He is Good (Guimont)	G3 1066, GC2 988, RS2 1428
Give thanks to the Lord for He is Good (Haugen)	Lyric Psalter C
Give thanks to the Lord for He is Good (Hopson)	LPGA C
Give thanks to the Lord for He is Good (Inwood)	The Collegive Psalter
Give thanks to the Lord for He is Good (Joncas)	JS 108, GP 278, OFUV 254
Give thanks to the Lord for He is Good (Kendzia	S&P 190
Give thanks to the Lord for He is Good (Mayernik)	The Five Graces Psalter
Give thanks to the Lord for He is Good (Petty)	LMGM2 855
Give thanks to the Lord for He is Good (Psallite)	SS 263
Give thanks to the Lord for He is Good (Psallite)	SS 264
Give thanks to the Lord for He is Good (Schiavone)	A Lectionary Psalter, JS3 100
Give thanks to the Lord for He is Good (Smith)	BB-MI 804, OFUV 238, GP3 190, H 156, Forever I Will Sing
Give thanks to the Lord for He is Good (Tate)	Cry Out With Joy C
Give thanks to the Lord for He is Good (Waddell)	Abbey of Gethsemani Psalms for Easter Season
The Stone Which the Builders Rejected (Farrell)	JS3 101
This is the Day The Lord Has Made (Haugen)	G3 81
This is the Day The Lord Has Made (Hommerding)	OIF 286, Lectionary Psalms and Gospel Acclamations Through Composed
This is the Day The Lord Has Made (Joncas)	Michael Joncas Psalter Volume 1
This is the Day The Lord Has Made (Joncas)	JS3 98
This is the Day The Lord Has Made (Joncas)	G3 82
This is the Day The Lord Has Made (Sanders)	Psalms for the Church Year: Common Psalms
This is the Day The Lord Has Made (Soper)	JS3 99
This is the Day The Lord Has Made (Weckler)	Yours Are the Words

Songs for the Liturgy

See also suggestions for Easter Sunday, many of which are appropriate on any Sunday of the Easter Season.

Title	Ref	Choices
A Living Hope	1	CBW 613, PMB 284
Aleluya, Cristo Jesús Resucitado/Alleluia, Risen Christ	 	OC 773
Aleluya, el Señor Resucitó/Alleluia! Christ Is Risen from the Dead	 	OC 430
Alive in Christ Jesus	2	GC 799
All is Well with My Soul	1	BB-MI 470, GP3 643, H 453
All Shall Be Well	 	GP2 396, GP3 309
All You on Earth	 	OIF 450, PMB 266, WC 605, WS 497
Alleluia No. 1/Aleluya, Aleluya, Demos Gracias	 	BB-MI 567, CBW 383, G3 524, GC2 462, GP2 389, GP3 313, H 278, JS2 439, OC 435, OFUV 668, OIF 620, UC 669, PMB 353, RS 581, RS2 620, W3 441, WC 759, WS 612
Alleluia!	 	VAO 205
Alleluia! Alleluia! Let the Holy Anthem Rise	 	BB-MI 168, GP2 399, GP3 317, H 279, JS2 434, JS3 411, LMGM2 318, OFUV 482, OIF 451, S&S 178, UC 396, WC 615, WS 503
Alleluia! Love Is Alive	 	BB-MI 161, GP3 314, H 584, S&S 177
Alleluia, Alleluia, Give Thanks	 	G3 524, GC 443, GC2 462, OC 435, RS 581, RS2 620, W3 441
Amén. El Cuerpo de Cristo	 	BB-MI 337, JS 824, G3 912, GP3 479, JS2 824, JS3 783, OC 743, OFUV 809, RS2 1034, UC 529, W4 934
*As Newborn Infants	E	IH 23
At the Lamb’s High Feast We Sing/Un Banquete Tan Triunfal	2	BB-MI 166, CBW 375, G3 536, GC 433, GC2 463, GP2 394, GP3 319, H 276, JS2 424, JS3 407, LMGM2 316, OC 449, OFUV 480, OIF 453, PMB 271, RS 578, RS2 613, SS 765, UC 402, W3 459, W3 460, W4 512, WC 596, WS 495
Awake, O Sleeper (Ndolo)	G	S&S 266
Awake, O Sleeper, Rise from Death (AZMON)	G	OIF 689, RS 729, W3 586, W4 915, WC 826, WS 674
Baptized in Living Waters	2,G	OIF 662, PMB 386, WC 786, WS 644
Baptized in Water/Ya Bautizados	2,G	BB-MI 648, CBW 614, G3 903, GC 798, GC2 797, GP3 391, JS2 542, JS3 516, LMGM2 746, OC 733, OIF 516, PMB 286, RS 903, RS2 1020, SS 1057, W3 720, W4 919, WC 637, WS 535
Behold the Lamb (Willett)	G	BB-MI 338, G2 592, G3 939, GC 823, GC2 824, GP2 524, GP3 492, H 411, JS2 809, JS3 785, OFUV 799, SP3 492, UC 519
Blest Be the Lord/A Mi Señor Bendeciré	 	BB-MI 430, G3 686, GC2 585, GP2 599, GP3 605, H 558, JS2 708, JS3 677, OC 580, OFUV 640
Bread of Life from Heaven, Pan de Vida Eterna	G	G3 943, GC2 803, OC 764, RS2 1035, SS 986, W4 948
Christ Has Risen	G	G3 530, GC 451, GC2 465, LMGM 65, W4 505
Christ Is Risen! Shout Hosanna!	 	G3 521, GC 431, GC2 449, OIF 459, PMB 263, SS 751, W4 498, WC 612, WS 501
Christ, Our King before Creation	G	CBW 499
Christ, the Lord, Is Risen Again	 	BB-MI 169, CBW 498, H 284, JS 442, JS3 420, OIF 461, PSL B-71, WC 618
Church of God, Elect and Glorious (HYFRYDOL)	1	BB-MI 415, CBW 581, GC 664, H 438, JS2 533, JS3 508, OIF 663, PMB 381, RS 783, W4 733
Come and Eat This Living Bread	 	G3 942, GC2 820, OC 241
Come, Spread the News	 	IH 27, OIF 457, WC 611, WS 509
Come, Ye Faithful, Raise the Strain/Come, You Faithful, Raise the Strain (GAUDEAUS PARITER)	 	G3 533, GC2 448, JS2 426, JS3 402, OIF 466, RS 575, RS2 610, SS 766, W3 456, W4 509, WC 590
Cristo Jesús Resucitó/Christ Jesus Lives with Power to Save	 	OC 447
Crown Him with Many Crowns/Al Salvador Jesús	G	BB-MI 732, CBW 437, G3 574, GC 485, GC2 489, GP2 420, GP3 362, H 313, JS2 480, JS3 461, LMGM 68, LMGM2 344, OC 475, OFUV 511, OIF 626, PMB 359, RS 626, RS2 669, SS 796, UC 430, W3 496, W4 571, WC 748, WS 611
Do Not Be Afraid	G	GP 630, JS 731, RS2 829
Dona Nobis Pacem (Round)	 	BB-MI 203, BB-MI 528, CH 598, G3 822, GC 730, GC2 724, GP2 653, GP3 671, JS2 742, JS3 701, OC 662, OFUV 718, UC 551, RS 832, RS2 915
*Draw Us in the Spirit's Tether	1	JS 797, OIF 694, RS 917, RS2 1047, W3 731, W4 937
Easter Alleluia	 	G3 537, GC 424, GC2 447, RS 592, RS2 629, SS 753
Easter Song	 	OIF 458, VAO M1
Eye Has Not Seen/Ni Ojo Ni Oído	G	BB-MI 461, CBW 482, G3 728, GC 638, GC2 616, GP3 645, H 448, OC 595, OIF 875, RS 758, RS2 819, SS 860, SS2 940, UC 691, W4 713, WC 879, WS 716
Father, We Thank Thee Who Hast Planted/Father, We Thank You, Who Have Planted/Gracias, Buen Padre, Que Plantaste	1	CBW 602, CH 374, G3 932, GC 838, GC2 806, GP3 505, H 398, LMGM2 753, OC 541, OIF 539, PMB 316, RS2 745, SS 835, W4 631, WC 655, WS 539
