May 5,2019 Third Sunday of Easter C

Psalm of the Day

Refrain	Choices
I Will Praise You, Lord	PSL 107, RA 86, S&P 194, SS, TCP p33
I Will Praise You, Lord (Alstott)	BB-MI 137, CBW 80, GP3 826:4, H 162, RA 74, UC 74
I Will Praise You, Lord (Carroll/Gelineau)	LPGG 827, RS2 1170, W3 841, W4 1084
I Will Praise You, Lord (Daigle)	PCY4 16
I Will Praise You, Lord (Dufford)	GP2 475
I Will Praise You, Lord (Duncan)	LMGM2 842, RS2 46
I Will Praise You, Lord (Guimont)	G3 1069, GC2 909, LPGG 76, LPMG 63, RS 59
I Will Praise You, Lord (Haas)	PCY3 7
I Will Praise You, Lord (Harmon)	Cry Out with Joy
I Will Praise You, Lord (Haugen)	The Lyric Psalter
I Will Praise You, Lord (Hillert)	PMB 621, PRM C 58
I Will Praise You, Lord (Hunstiger)	SS 504
I Will Praise You, Lord (Inwood)	Collegeville Psalter
I Will Praise You, Lord (Inwood)	BB-MI 753, G3 42, GC 41, GC2 30, GP 192, GP3 42, H 110, JS 32, RS 60, JS3 33, UC 91
I Will Praise You, Lord (Louis)	LMGM2 858
I Will Praise You, Lord (Mayernik)	The Five Graces Psalter 66
I Will Praise You, Lord (Modlin)	S&P 194
I Will Praise You, Lord (Psallite)	SS 309
I Will Praise You, Lord (Ridge)	GP 193, SP3 22
I Will Praise You, Lord (Ruff)	Responsorial Psalms for Weekday Mass
I Will Praise You, Lord (Scavone)	LPGA C48
I Will Praise You, Lord (Schiavone)	JS 926, LP 70
I Will Praise You, Lord (Smith)	Forever I Will Sing
I Will Praise You, Lord (Waddell)	Abbey of Gethsemani Psalms for Easter Season
Te Ensalazaré, Señor/Psalm 30: I Will Praise You (Reza)	Cantaré Eternamente/For Ever I Will Sing Bilingual Psalter; FYC 193
Te Ensalzaré, Senor/Psalm 30: I Will Praise You (Valverde)	¡Aclama, Tierra Entera!

Songs for the Liturgy

Title	Ref	Choices
A Living Hope	2	CBW 613, PMB 284
Al Partir el Pan (Fuertes)	 	BB-MI 353
*Alabaré/Alabaré, We Sing the Praises of Our God	2	GC 542, GP 680, OC 502, RS 662, RS2 720, W4 618
Aleluya! Cristo Resucitó/Alleluia! Christ Rose in Victory	 	OC 436
Aleluya, Cristo Jesús Resucitado/Alleluia, Risen Christ	 	OC 773
Aleluya, el Señor Resucitó/Alleluia! Christ Is Risen from the Dead	 	OC 430
All Are Welcome (Manibusan)	 	BB-MI 304
All Are Welcome/Todos Bienvenidos Son (Haugen)	 	BB-MI 414, G3 850, GC 753, GC2 741, GP3 570, H 436, LMGM2 683, OC 681, RS 846, RS2 925, SS 920, UC 609, W4 833, WC 909, WS 737
All Around	 	VAO M1
All Hail the Power of Jesus’ Name! (DIADEM)	2	G3 570, GC 484, GC2 490, LMGM 89, LMGM2 342, RS 632, W3 495
All Hail the Power of Jesus’ Name!/A Jesucristo Póstrense (CORONATION)	2	BB-MI 728, G3 566, GP 421, GP3 364, H 315, JS 482, JS3 462, LMGM 88, LMGM2 343, OC 473, OIF 619, PMB 368, RS2 672, SS 795, UC 421, W3 494, W4 566, WC 743, WS 619
*All People of the Earth, Rejoice	E	IH 24
*All You Nations	E	OIF 258, PMB 266, WC 445, WS 358
All You on Earth	 	OIF 450, PMB 266, WC 605, WS 497
Alleluia Festivale	 	S&S 179
Alleluia! Alleluia (HYMN TO JOY)	 	BB-MI 167, GP3 321, H 269, JS2 437, JS3 415, OFUV 484, PMB 264, UC 388, WC 609, WS 503
Alleluia! Alleluia! Let the Holy Anthem Rise	 	BB-MI 168, GP2 399, GP3 317, H 279, JS2 434, JS3 411, LMGM2 318, OFUV 482, OIF 451, S&S 178, UC 396, WC 615, WS 503
Alleluia! Sing to Jesus!/¡Aleluya! Gloria a Cristo	2,G	BB-MI 731, CBW 426, G3 949, GC 853, GC2 826, GP2 419, GP3 361, H 314, JS2 477, JS3 458, LMGM 67, LMGM2 752, OC 744, OFUV 518, OIF 630, PMB 352, RS 914, RS2 1030, SS 989, UC 435, W3 925, W4 953, WC 745, WS 609
Alleluia, Alleluia! Let the Holy Anthem Rise	 	GC 425, GC2 440, LMGM2 318
*Around the Throne a Glorious Band	2	CBW 450, W3 719, W4 907
At the Lamb’s High Feast We Sing/Un Banquete Tan Triunfal	2	BB-MI 166, CBW 375, G3 536, GC 433, GC2 463, GP2 394, GP3 319, H 276, JS2 424, JS3 407, LMGM2 316, OC 449, OFUV 480, OIF 453, PMB 271, RS 578, RS2 613, SS 765, UC 402, W3 459, W3 460, W4 512, WC 596, WS 495
Be Joyful, Mary, Heavenly Queen	 	G3 526, OIF 454, RS2 616, W4 501, WC 600, WS 502
Be Not Afraid (Taize)	1	G3 516, RS2 628, W4 522
Be Not Afraid/No Temas Más (Dufford)	1	BB-MI 431, CBW 481, G3 683, GC 608, GC2 596, GP2 602, GP3 600, H549, JS2 706, JS3 673, LMGM 123, LMGM2 583, OC 574, OFUV 647, OIF 774, PMB 446, RS 734, RS2 797, S&S 271, SS 849, UC 744, W4 680, WC 875, WS 720
Behold the Glory of God	 	GP2 385, GP3 316
Behold the Lamb (Willett)	2,G	BB-MI 338, G2 592, G3 939, GC 823, GC2 824, GP2 524, GP3 492, H 411, JS2 809, JS3 785, OFUV 799, SP3 492, UC 519
Behold the Lamb of God	 	BB-MI 151, GC2 824, GP2 360, GP3 295, H 255, JS2 809, JS3 386, OFUV 461, PSL B-100, S&S 275, SS 228, UC 365
Blessed Be Your Name	 	OIF 719, VAO 216
Bread of Life	 	VAO 11
Bread of Life from Heaven, Pan de Vida Eterna	G	G3 943, GC2 803, OC 764, RS2 1035, SS 986, W4 948
Christ Be Beside Me/Cristo a Mi Lado	 	BB-MI 397, GP3 625, H 479, JS2 687, JS3 650, OC 553, OFUV 656, OIF 621, RS2 770, UC 789, WC 746, WS 622
Christ Has Risen	 	G3 530, GC 451, GC2 465, LMGM 65, W4 505
Christ Is Alive! (TRURO)	 	BB-MI 159, CBW 384, JS2 441, JS3 418, OIF 455, PMB 258, RS 601, SS 761, W3 466, W4 510, WC 593, WS 499
Christ Is Risen! Shout Hosanna!	 	G3 521, GC 431, GC2 449, OIF 459, PMB 263, SS 751, W4 498, WC 612, WS 501
Christ the Lord Is Risen Today (GWALCHMAL)	G	W3 462
Christ the Lord Is Risen Today (SURGIT IN HAEC DIES)	G	LMGM2 311, OIF 467, RS 594, W3 452, W4 520, WC 601, WS 498
Christ the Lord Is Risen!	G	RS 600, RS2 621, W4 523
Christ, the Lord, Is Risen Again, v. 6	G	BB-MI 169, CBW 498, JS 442, JS3 420, OIF 461, PSL B-71, WC 618
Christ, the Lord, Is Risen Today	G	CBW 385, GP 381, GP 387, OFUV 487, PMB 268, RS 602, SS 756, W3 52, W3 462
Christ, the Lord, Is Risen Today (LLANFAIR)	G	BB-MI 175, G3 523, GC2 439, GP2 381, GP3 320, H 271, JS2 427, JS3 403, OFUV 487, OIF 462, RS 602, RS2 608, UC 393, W3 463, W4 496, WC 597, WS 505
Christ, the Lord, Is Risen Today (VICTIMAE PASCHALI)	G	BB-MI 181, GP3 334, H 267, JS3 397, LMGM 57, LMGM2 311, OIF 467, UC 396, W3 461, W4 528, WC 601, WS 492
Christian, Do You Hear the Lord	G	W3 594
Come and Eat This Living Bread	G	G3 942, GC2 820, OC 241
