May 19,2019 Fifth Sunday of Easter C

Psalm of the Day

Refrain	Choices
Alaba, Alma Mía, al Señor (Reza)	FYC 277
Alabaré Tu Nombre/Psalm 145 I Will Praise Your Name (Cortés)	FYC3 241OFUV 260
Bendeciré Tu Nombre/Psalm 145 I Will Praise Your Name (Thillet)	¡Aclama, Tierra Entera! Bilingual Psalter
Bendeciré Tu Nombre/Psalm 145 I Will Praise Your Name (Valverde)	¡Aclama, Tierra Entera! Bilingual Psalter
Benediciré Tu Nombre/I Will Praise Your Name (Schiavone)	JS 111
Benediciré Tu Nombre/I Will Praise Your Name (Thillet)	¡Aclama, Tierra Entera! 45
Benediciré Tu Nombre/I Will Praise Your Name (Valverde)	¡Aclama, Tierra Entera! 46
I Will Bless Your Name For Ever (Jordan)	LMGM 538
I will lift up your Name; Praise to my King (Angrisano/Tomaszek)	SPS 318
I Will Praise Your Name (Haas)	BB-MI 813, H 165, UC 170
I Will Praise Your Name (Willcock)	JS 112, PFS 58
I Will Praise Your Name For Ever	PSL C84, RA 90, S&P 202, SS, TCP p140
I Will Praise Your Name For Ever (Alonso)	RS2 114
I Will Praise Your Name For Ever (Carroll/Gelineau)	LPGG 81, RS 194, W3 847,W4 1090
I Will Praise Your Name for Ever (Chepponis)	W4 107
I Will Praise Your Name For Ever (Guimont)	GC2 1007, LPMG 69
I Will Praise Your Name For Ever (Hillert)	CCS 2666
I Will Praise Your Name For Ever (Hughes)	LPGA C50, PMB 627, PRM C60
I Will Praise Your Name For Ever (Jordan)	LMGM2 43, RS2 113
I Will Praise Your Name For Ever (Mayernik)	The Five Graces Psalter 72
I Will Praise Your Name for Ever (Reagan)	W4 108
I Will Praise Your Name For Ever (Roberts)	LMGM 539, LMGM2 43, RS 192, WC 481, WS 395
I Will Praise Your Name For Ever (Schiavone)	JS 932, LP 76
I Will Praise Your Name For Ever (Smith)	GP 281, GP3 200, JS 110
I Will Praise Your Name For Ever (Somerville)	CBW 102
I Will Praise Your Name For Ever (Soper)	BB-MI 812, H 164
I Will Praise Your Name For Ever (Sullivan)	OIF 295, WC 479
I will praise your Name Forever (Alonso)	RS2 114, Lyric Psalter C
I will praise your Name Forever (Alstott)	BB-MI 161, GP3 837, H 229, RA 90,
I will praise your Name Forever (Booth)	JS3 114
I will praise your Name Forever (Carroll)	RS2 1176, W4 1090
I will praise your Name Forever (Guimont)	G3 1131, RS2 1447,
I will praise your Name Forever (Harbor)	SPS 99, Psalms for the Soul
I will praise your Name Forever (Harmon)	Cry Out with Joy C
I will praise your Name Forever (Hughes)	Lectionary Psalms and Gospel Acclamations Through Composed, LPGA C
I will praise your Name Forever (Hunstiger)	SS 310, SS 311
I will praise your Name Forever (Inwood)	The Collegive Psalter
I will praise your Name Forever (Louis)	LMGM2 864, LMGM2 919
I will praise your Name Forever (Mayernik)	The Five Graces Psalter
I will praise your Name Forever (Reagan)	W4 108
I will praise your Name Forever (Roberts)	RS2 113, LMGM2 43
I will praise your Name Forever (Schiavone)	A Lectionary Psalter
I will praise your Name Forever (Smith)	Forever I Will Sing, GP3 200, JS3 113, OFUV 261
I will praise your Name Forever (Smith)	0
I will praise your Name Forever (Soper)	BB-MI 812, GP3 199, H 164, JS3 115, UC 168
I will praise your Name Forever (Sullivan)	OIF 295, Psalms for the Church Year: Common Psalms
I will praise your Name Forever (Waddell)	Abbey of Gethsemani Psalms for Easter Season
I will praise your Name Forever (Walther)	S&P 332
I will praise your Name Forever (Willcock)	JS3 112, SS 589
I will praise your Name Forever/Bendeciré Tu Nombre (Krisman)	OC 942
I will praise your Name Forever/ Bendeciré Tu Nombre (Haas)	G3 92, OC 80, RS2 112, SS 500
I Will Praise Your Name/Benedeciré Tu Nombre (Haas)	BB-MI 813, G3 92, GC 137, GC2 76, H 165, OC 80, PCY1 80, RS 193, RS2 112, WC 479, WS 394

Songs for the Liturgy

Title	Ref	Choices
*A New Commandment (Janco)	G	OIF 740, PMB 423, WC 851, WS 697
All the Ends of the Earth (Canedo)	1	GP3 178, JS2 595, JS3 82, S&S 83
All the Ends of the Earth (Fisher)	1	S&S 75
All the Ends of the Earth (Hunstiger)	1	SS 525
All the Ends of the Earth (Hurd)	1	BB-MI 541, JS3 79, GP3 177, H 515
All the Ends of the Earth (Psallite)	1	SS 206
All the Ends of the Earth (Trapp)	1	SS 578
All the Ends of the Earth/Los Confines del Orbe (Dufford)	1	BB-MI 549, G2 378, G3 604, GC 520, GC2 526, GP2 683, GP3 712, H 501, JS2 595, JS3 573, OC 509, OFUV 571
All the Ends of the Earth/Los Confines del Orbe (Haas, Haugen)	1	BB-MI 792, G3 70, GC 95, GC2 55, OC 509, OIF 276, RS 135, RS2 80, SS 577, W4 75, WS 397
All the Ends of the Earth/Psalm 98   (Hunstiger)	1	SS 525
All the Ends of the Earth/Psalm 98 (Marchionda)	1	OIF 278, WC 462
All the Ends of the Earth/Psalm 98 (Psallite)	1	SS 206
All the Ends of the Earth: Psalm 98 (Beall)	1	OIF 277, WC 461, WS 374
*All Things New (Cooney)	2	G3 541, GC 427, GC2 450
Alleluia! Alleluia! Let the Holy Anthem Rise	 	BB-MI 168, GP2 399, GP3 317, H 279, JS2 434, JS3 411, LMGM2 318, OFUV 482, OIF 451, S&S 178, UC 396, WC 615, WS 503
Alleluia! Alleluia! Let the Holy Anthem Rise	 	BB-MI 168, GP2 399, GP3 317, H 279, JS2 434, JS3 411, LMGM2 318, OFUV 482, OIF 451, S&S 178, UC 396, WC 615, WS 503
Alleluia! Jesus Is Risen!	 	RS2 622, W4 503
Alleluia! Love Is Alive	 	BB-MI 161, GP3 314, H 584, S&S 177
Alleluia! Sing to Jesus!/¡Aleluya! Gloria a Cristo	 	BB-MI 731, CBW 426, G3 949, GC 853, GC2 826, GP2 419, GP3 361, H 314, JS2 477, JS3 458, LMGM 67, LMGM2 752, OC 744, OFUV 518, OIF 630, PMB 352, RS 914, RS2 1030, SS 989, UC 435, W3 925, W4 953, WC 745, WS 609
As a Fire Is Meant for Burning/Como un Fuego Brilla y Quema	1,G	G3 744, GC 663, GC2 643, OC 608, RS 779, RS2 850, W4 734
As Christ Is for Us (Whitaker)	 	BB-MI 509
As I Have Done for You (Schutte)	 	BB-MI 143, GP3 286, H 83, JS2 403, JS3 372
As We Remember	G	GC 818, GP 504, GP3 480
Be Glorified	 	VAO 210
Be Joyful, Mary, Heavenly Queen	 	G3 526, OIF 454, RS2 616, W4 501, WC 600, WS 502
Behold the Lamb (Willett)	 	BB-MI 338, G2 592, G3 939, GC 823, GC2 824, GP2 524, GP3 492, H 411, JS2 809, JS3 785, OFUV 799, SP3 492, UC 519
Bendigamos al Señor	 	OC 587
Break Not the Circle of Enabling Love	G	CBW 524
Canticle of the Sun/Cántico del Sol	 	BB-MI 425, CBW 542, G3 576, GC 496, GC2 495, H 465, OC 482, RS 638, RS2 677, UC 764, W4 576, WC 931, WS 759
Christ Is Alive! (TRURO)	 	BB-MI 159, CBW 384, JS2 441, JS3 418, OIF 455, PMB 258, RS 601, SS 761, W3 466, W4 510, WC 593, WS 499
Christ Is Risen	 	OIF 477, WC 598, S&S 181
Christ Is Risen! Shout Hosanna!	 	G3 521, GC 431, GC2 449, OIF 459, PMB 263, SS 751, W4 498, WC 612, WS 501
Christians, Let Us Love One Another (PICARDY)	G	BB-MI 475, CBW 595, GP2 646, GP3 657, H 566, JS2 751, JS3 717, OFUV 695, UC 632
Come Away to the Skies	 	GC 440
Come, My Way, My Truth, My Life (THE CALL)	 	GC 577, JS2 693, JS3 662, OIF 742, RS 717, RS2 761, W3 569, W4 662, WC 853
Come, Spread the News	 	IH 27, OIF 457, WC 611, WS 509
Darkness Is Gone	 	GC 448, RS 596
