May 26, 2019 Sixth Sunday of Easter C

Psalm of the Day

Refrain	Choices
A Dios Den Gracias (Espinosa)	FYC 215
God, Let All the People Praise You	PSL 72, S&P 206, SS
La Tierra Ya Germinó/The Earth Has Yielded (Cortés)--Respuesta II	FYC 216
Let All the Nations (Warner)	PST 22
Let the Peoples Praise You (Jordan, Stanbrook Abbey)	CBW 105
O God, Let All the Nations	RA 92, TCP p60
O God, Let All the Nations (Guimont)	G3 1078, GC 66, GC2 937, LPMG 72
O God, Let All the Nations (Kremer, Gelineau)	LPGG 86, RS 95, W3 850
O God, Let All the Nations (Krisman)	RS2 1179, W4 61, W4 1093
O God, Let All the Nations (Mayernik)	The Five Graces Psalter 75
O God, Let All the Nations (Proulx)	LPGA C51, OIF 259, PMB 630, PRM C61, WC 446, WS 359
O God, let all the nations praise you! (Alstott)	BB-MI 163, GP3 840, H 188, RA 92
O God, let all the nations praise you! (Colson)	Psalms for the Church: Colson
O God, let all the nations praise you! (Cortez)	S&P 206
O God, let all the nations praise you! (Inwood)	The Collegive Psalter
O God, let all the nations praise you! (Petty)	LMGM2 867
O God, let all the nations praise you! (Ruff)	Responsorial Psalms for Weekday Mass
O God, let all the nations praise you! (Schiavone)	JS 935, LP 79
O God, let all the nations praise you! (Smith)	BB-MI 775, GP 218, GP3 160, H 129, JS 55, JS3 58, OFUV 191, UC 118
O God, let all the nations praise you! (Waddell)	Abbey of Gethsemani Psalms for Easter Season
O God, Let All the Nations, Oh Dios, que te alaben (Alonso, Guimont)	W4 61

Songs for the Liturgy

Title	Ref	Choices
10,000 Reasons (Bless the Lord) (Myrin)	 	BB-MI 560, S&S 270
All is Well with My Soul	1	BB-MI 470, GP3 643, H 453
Alleluia! Sing to Jesus!/¡Aleluya! Gloria a Cristo	2	BB-MI 731, CBW 426, G3 949, GC 853, GC2 826, GP2 419, GP3 361, H 314, JS2 477, JS3 458, LMGM 67, LMGM2 752, OC 744, OFUV 518, OIF 630, PMB 352, RS 914, RS2 1030, SS 989, UC 435, W3 925, W4 953, WC 745, WS 609
Arise and Shine	2	CBW 341
Arise, Shine Forth	2	CBW 342
Be Joyful, Mary, Heavenly Queen	 	G3 526, OIF 454, RS2 616, W4 501, WC 600, WS 502
Be Still for the Presence of the Lord	 	VAO 9
Behold the Glory of God	 	GP2 385, GP3 316
Breathe on Me, O Breath of God	 	VAO M3
Christ Is Alive! (TRURO)	 	BB-MI 159, CBW 384, JS2 441, JS3 418, OIF 455, PMB 258, RS 601, SS 761, W3 466, W4 510, WC 593, WS 499
Christ Is Alive! (TRURO)	 	BB-MI 159, CBW 384, JS2 441, JS3 418, OIF 455, PMB 258, RS 601, SS 761, W3 466, W4 510, WC 593, WS 499
Christ, the Lord, Is Risen Again	 	BB-MI 169, CBW 498, H 284, JS 442, JS3 420, OIF 461, PSL B-71, WC 618
Christ’s Peace	G	JS 844
City of God/Ciudad de Dios	2	BB-MI 385, CBW 545, G3 766, GC 678, GC2 663, GP 548, GP3 538, H 523, JS 830, JS3 813, OC 637, OFUV 742, OIF 690, RS 799, RS2 799, S&S 106, UC 591, WC 812, WS 670
Come Down, O Love Divine	G	CBW 407, G3 556, GC 465, GC2 471, JS 461, JS3 438, LMGM2 332, OIF 491, RS 617, RS2 646, W3 472, W4 534, WC 630
Come to the Lord (Angrisano)	 	JS2 795, S&S 244, SS1 151
Come, Holy Ghost/En Nuestro Ser Mora, Creador (LAMBILLOTTE)	G	BB-MI 444, CBW 416, G3 559, GC 469, GC2 472, GP2 402, GP3 352, H 298, JS2 458, JS3 443, LMGM 69, LMGM2 324, OC 454, OFUV 662, OIF 646, PMB 372, RS 611, RS2 648, S&S 193, SS 780, UC 415, W3 482, W4 544, WC 768, WS 634
Come, Holy Spirit	 	VAO 228
Come, Our Almighty King	G	MI-BB 715, G3 562, GC2 486,LMGM 76, OIF 661, PMB 378, J2S 471, W3 487, W4 549, WC 777, WS 635
Come, Spirit Blest/Ven, Creador	 	OC 460, W4 537
*Come, Spread the News	E	IH 27, OIF 457, WC 611, WS 509
Creator Spirit, Lord of Grace	G	CBW 409, OIF 490, PMB 280, WC 628, WS 521
Do Not Be Afraid	G	GP 630, JS 731, RS2 829
*Do Not Let Your Hearts Be Troubled	G	G3 869, GC2 765, RS2 828
