March 31, 2019 Lent 4 C

Psalm of the Day

Gusten y Vean (Cortés)	FYC 201, GP 201
Gusten y Vean (Cosas)	Psalms for the Church; Common Psalms
Gusten y Vean (Montgomery)	FYC 200
Gusten y Vean, Taste and See (Reza)	BB-MI 352 vss. 1, 2, 3   FYC3 176, GP3 145, JS3 39, OFUV 168, UEC/UIC 99
Gusten y Vean/Taste and See (Alonso)	G3 915, RS2 1044, OC 772
Gusten y Vean/Taste and See (Haugen)	G3 45, GC 47, GC2 34, 827, OC 40, PCY1 62, RS 70, RS2 50
Gusten y Vean/Taste and See (Rubalcava)	Cantos 61, OIF 245, WS 347
O Taste and See (Haugen)	GC 835, RS 923, SS 563
O Taste and See (Isele)	CBW 414, LMGM 541
O Taste and See (Keil)	JS3 41
O Taste and See (Somerville)	PMB 146, vss 1, 2, 3
O Taste and See (Stephan)	SPS 65
Taste and See (Alstott)	BB-MI 91, GP3 914, H 116, JS 40, RA 56
Taste and See (Angrisano)	BB-MI 343, JS3 782, SPS 64
Taste and See (Balhoff, Daigle, Ducote)	PCY6 15
Taste and See (Booth)	SAP 128
Taste and See (Brustle, Black)	CBW 55
Taste and See (Chepponis)	SS 562
Taste and See (Dean)	BB-MI 762, GP 200, GP3 143, H 117, JS 37, JS3 42, RS 72, OFUV 169, SP1 32, UEC/UIC 101, W4 48
Taste and See (Guimont)	G3 46, GC2 917, LPMG 42, RS2 51, W4 49
Taste and See (Harmon)	Cry Out with Joy
Taste and See (Hillert)	PMB 591, Lectionary Psalms and Gospel Acclamations
Taste and See (Hommerding)	OIF 243, OIF 339, PMB 148, SO 26, WC 226, WC 434
Taste and See (Hunstiger)	SS 506
Taste and See (Hurd)	BB-MI 340, GP3 507, H 403, JS3 796, OFUV 979, UEC/UIC 511
Taste and See (Kendzia)	BB-MI 345, GP3 504
Taste and See (Kreutz)	SC 39
Taste and See (Louis)	LMGM2 512
Taste and See (Luckner)	W4 952
Taste and See (Moore)	BB- MI 334, CBW 610,G3 930,   GP 240, GC 814, LMGM2 750, , RS2 1031, SS 992, W4 945, WC 690, WS 559
Taste and See (Proulx, Gelineau)	LPGG 802, RS 73, RS2 1127, W3 36, W3 798, W4 1170
Taste and See (Savoy)	CCS 2548
Taste and See (Schiavone)	JS 914, LP 45
Taste and See (Tate)	OIF 246, WC 433, WS 348
Taste and See (Willcock)	PFS 46, JS 38, JS3 40
Taste and See/Gusten y Vean (Alonso)	G3 915, RS2 1044, OC 772
Taste and See/Gusten y Vean (Haugen)	G3 45, GC 47, GC2 34, 827, OC 40, PCY1 62, RS 70, RS2 50
Taste and See/Gusten y Vean (Rubalcava)	Cantos 61, OIF 245, WS 347

Songs for the Liturgy

Title	Ref	Choices
40 Days	1,G	SPS 155
All Who Hunger, Gather Gladly/Los Hambrientos, Que Se Alegren (HOLY MANNA)	1,G	G3 852, OC 684, RS 845, RS2 931, SS 1007, W4 844
All Who Hunger/Los Hambrientos (Moore)	1,G	G2 589, G3 925, GC 820, GC2 817, RS 926, RS2 1032, W4 951
Amazing Grace (My Chains are Gone)	1,G	SPS 265
Amazing Grace!/Sublime Gracia (NEW BRITAIN)	1,G	BB-MI 432, CBW 480, G3 645, GC 612, GC2 586, GP 615, GP3 614, H 551, JS 713, JS3 680, LMGM 173, LMGM2 495, OC 545, OFUV 639, OIF 330, OIF 576, PMB 323, RS 737, RS2 757, SPS 265, SS 847, W3 583, W4 650, WC 217, WS 26, WS 592
As a Fire Is Meant for Burning/Como un Fuego Brilla y Quema	1,G	G3 744, GC 663, GC2 643, OC 608, RS 779, RS2 850, W4 734
As We Gather at Your Table (NETTLETON)	1,G	BB-MI 311, CBW 583, GP3 473, H 372, JS 792, JS3 760, RS 848, RS2 924, SPS 926
As We Gather at Your Table/Al Reuinirnos en Tu Mesa (HOLY MANNA)	1,G	G3 839, GC2 738, LMGM2 685, OC 685, W4 831
As We Remember	1,G	GC 818, GP 504, GP3 480
Awake, O Sleeper (Haugen)	1,G	GC 803, RS 650
Awake, O Sleeper (Ndolo)	1,G	SPS 266
Awake, O Sleeper, Rise from Death (AZMON)	1,G	OIF 689, RS 729, W3 586, W4 915, WC 826, WS 674
Be Reconciled as One	1,G	GP 469
Bless the Lord (Taizé)	1,G	G3 620, GC2 576, GP 252, JS 631, LMGM 200, OC 523, RS2 732, SPS 205, SS 889, W4 603
Bless the Lord (Canedo)	 	SPS 205
Bless the Lord (Crouch)	 	LMGM 200, LMGM2 451
Bless the Lord (Kenyan Folk Song)	 	LMGM2 473
Bless the Lord (Michaels)	 	BB-MI 559, GP3 729, H 520, JS3 568, OFUV 575, UEC/UIC 718
Bless the Lord (Psallite)	 	SS 229
Bless the Lord/Tengo sed de ti/Bendez o Senhor (Taizé)	 	G3 620, GC2 576, GP 252, JS 631, LMGM 200, OC 523, RS2 732, SPS 205, SS 889, W4 603
*Come Home	1,G	GP 468
Come to the Feast (Haugen)	1,G	G3 585, GC 503, GC2 499, LMGM2 684, RS 642
Come to the Feast (Moore)	 	LMGM2 684
Come to the Feast/Ven al Banquete (Hurd)	 	BB-MI 307, FYC3 570, G3 838, GP3 458, H 373, JS 795, JS3 763, OC 691, OFUV 779, SS 1090, UEC/UIC 489
*Come, Come to the Banquet	1,G	G3 838, PSL C43, SS 242
Come, Ye Disconsolate	1,G	LMGM 255, LMGM2 590
Come, You Sinners, Poor and Needy	1,G	LMGM2 766, OIF 778, RS 954, RS2 1061, W3 736, W4 962
Deep Down in My Soul	1,G	GC 880
Deep Within	1,G	G3 486, GC 399, GC2 419, GP 399, RS 546, RS2 574
Far from Home We Run Rebellious	1,G	HG 86
Forgive Our Sins as We Forgive/Nos Enseñaste a Perdonar	1,G	CBW 620, G3 965, GC2 848, JS 556, OC 779, OIF 575, PMB 324, RS 952, RS2 1062, SS 1017, W3 754, W4 967, WC 710, WS 594
From the Depths of Sin and Sadness	1,G	CBW 487, OIF 435, WC 571
From the Depths We Cry to Thee	1,G	BB-MI 129, JS 386, JS3 357, OFUV 422, OIF 289
God of Mercy	 	BB-MI 508, MI 509
Gracious God	 	BB-MI 118, GP3 265, SPS 157
