April 7, 2019 LENT 5 C

Psalm of the Day

El Señor Ha Estado Grande con Nosotros (Cortez)	FYC3 231, UEC/UIC 158,
El Señor Ha Estado Grande con Nosotros (López)	FYC 265
El Señor Ha Estado Grande con Nosotros (Sosa)	FYC 264, FYC3 239, OFUV 246
El Señor Ha Estado Grande con Nosotros/The Lord Has Done Great Things (Alonso)	OC 807, OC 842, OC 992, RS2 101
God Has Done Great Things for Us (Hart)	SAP 16
God Has Done Great Things for Us (Haugen)	GC 124, GC2 69, PCY2 38
Laughter Fills Our Mouths	PSL C5, SS
Laughter Fills Our Mouths (Collegeville)	PSL C5, SS 333
Our God Has Done Great Things (Foley)	PCY7 54
The Lord Has Done Great Things (Alstott)	JS3, GP3 788
The Lord Has Done Great Things (Batcho)	Psalms for the Church: Lent and Holy Week
The Lord Has Done Great Things (Borkowski)	Psalms for the Church: Advent and Christmas
The Lord Has Done Great Things (Cortez)	BB-MI 807, GP 271, GP3 194, H 159, JS3 104, OFUV 247, UEC/UIC 159
The Lord Has Done Great Things (Gelineau/Proulx)	GC 123, LPGC 1197, LPGG 771, RS 171, W3 69, W3 953
The Lord Has Done Great Things (Guimont)	G3 1030, G3 996, GC2 995, LPMG 36, RS 169, RS2 1435,
The Lord Has Done Great Things (Inwood)	TCP p.125, The Collegeville Psalter
The Lord Has Done Great Things (Joncas)	The Michael Joncas Psalter: Advent & Christmas
The Lord Has Done Great Things (Manalo)	BB-MI 810, GP3 194, H 159, JS 103, JS3 104, OFUV 247
The Lord Has Done Great Things (Marchionda)	LPGA B89, OIF 1123, PMB 594, PMB 730, PRM B100, PRM C24
The Lord Has Done Great Things (Mayernik)	The Five Graces Psalter
The Lord Has Done Great Things (Muglia)	S&P 320
The Lord Has Done Great Things (Proulx, Gelineau)	GC 123, LPGC 1197, LPGG 771, RS 171, W3 69, W3 801, W4 99
The Lord Has Done Great Things (Schiavone)	JS 917, JS 1036, LP 48, LPJS 181
The Lord Has Done Great Things (Smith)	GP 272, SP5 63
The Lord Has Done Great Things (Stewart)	PCY5 6, RS 170
The Lord Has Done Great Things (True)	Cry Out with Joy C
The Lord Has Done Great Things (Twynham)	CCS 2024
The Lord Has Done Great Things (Waddell)	Gethsemani; Psalms for the Lenten Season
The Lord Has Done Great Things/El Señor Ha Estado Grande con Nosotros (Alonso)	OC 807, OC 842, OC 992, RS2 101
What Marvels the Lord Worked for Us (Young/Black)	CBW 58

Songs for the Liturgy

Title	Ref	Choices
Above All	1,G	OIF 930, SPS 168
Amazing Grace (My Chains are Gone)	1,G	SPS 265
Amazing Grace!/Sublime Gracia (NEW BRITAIN)	1,G	BB-MI 432, CBW 480, G3 645, GC 612, GC2 586, GP 615, GP3 614, H 551, JS 713, JS3 680, LMGM 173, LMGM2 495, OC 545, OFUV 639, OIF 330, OIF 576, PMB 323, RS 737, RS2 757, SPS 265, SS 847, W3 583, W4 650, WC 217, WS 26, WS 592
As We Gather at Your Table (NETTLETON)	1,G	BB-MI 311, CBW 583, GP3 473, H 372, JS 792, JS3 760, RS 848, RS2 924, SPS 926
As We Gather at Your Table/Al Reuinirnos en Tu Mesa (HOLY MANNA)	1,G	G3 839, GC2 738, LMGM2 685, OC 685, W4 831
As We Remember	1,G	GC 818, GP 504, GP3 480
Center of My Life/Señor, Eres Mi Vida	1,G	BB-MI 489, G3 679, GC 598, GC2 580, GP 593, GP3 591, H 490, JS 697, JS3 665, OC 566, OFUV 678, RS2 788, UEC/UIC 645, UEC/UIC 645, W4 678
Come, You Sinners, Poor and Needy	1,G	LMGM2 766, OIF 778, RS 954, RS2 1061, W3 736, W4 962
Crucem Tuam/O Lord, Your Cross	1,G	GC 417, GC2 393, RS 571, RS2 602, W4 464
Crux Fidelis	1,G	OIF 675, PMB 247, RS2 980, WC 793, WS 121, WS 648
Deep Within	1,G	G3 486, GC 399, GC2 419, GP 399, RS 546, RS2 574
Forgive Our Sins as We Forgive/Nos Enseñaste a Perdonar	1,G	CBW 620, G3 965, GC2 848, JS 556, OC 779, OIF 575, PMB 324, RS 952, RS2 1062, SS 1017, W3 754, W4 967, WC 710, WS 594
*Give Judgment, Lord My Savior	1,G	IH 19
Give Me a Clean Heart	1,G	LMGM 279, LMGM2 625
Glory in the Cross (Janco)	1,G	G3 501, RS2 591, W4 486
Glory in the Cross (Schutte)	1,G	BB-MI 156, G3 501, H 304, JS 523, JS3 375, OFUV 439, RS2 891, SPS 170, W4 486
God of Mercy	 	BB-MI 508, MI 509
Great God of Mercy	1,G	CBW 361, JS 375, W3 746
Help Us Forgive, Forgiving Lord	1,G	HG 17, RS2 1065, W4 969
Hold Us in Your Mercy	1,G	G3 494, GC 398, GC2 398, GP 350, LMGM2 291, RS2 583
I Will Choose Christ	1,G	BB-MI 510, CP3 497, G3 802, GC2 683, GP 459, GP3 574, H 472, JS 775, JS3 736, SPS 220
I Will Sweep Away Your Transgressions	1,G	CBW 622
