January 1, 2019 Solemnity of Mary Year C

Psalm of the Day
May God Bless Us in His Mercy (Alonso)	The Lyric Psalter C
May God Bless Us in His Mercy (Alsonso)	Lyric Psalter C, RS2 66
May God Bless Us in His Mercy (Alstott)	BB-MI 56, GP3 802, H 81, RA 26
May God Bless Us in His Mercy (Batastini)	LPGC, RS 95, RS2 1109, W4 1020
May God Bless Us in His Mercy (Duncan)	LMGM2 810
May God Bless Us in His Mercy (Guimont)	GC66, G3 1010, G2 62, GC2 936, RS2 1374
May God Bless Us in His Mercy (Haas)	Cry Out with Joy
May God Bless Us in His Mercy (Inwood)	The Collegeville Psalter
May God Bless Us in His Mercy (Mayernik)	The Five Graces Psalter
May God Bless Us in His Mercy (Ruff)	Responsorial Psalms for Weekday Mass: Advent, Christmas, Lent and Easter
May God Bless Us in His Mercy (Schiavone)	A Lectionary Psalter
May God Bless Us in His Mercy (Stephan)	SAP 58
May God Bless Us in His Mercy (Sullivan)	Psalms for the Church: Advent and Christmas
May God Bless Us in His Mercy (Sullivan)	LPGA C
May God Bless Us in His Mercy (Waddell)	Gethsemani; Psalms for the Christmas Season
May God Bless Us/O God let All the Nations (Colson)	Psalm for the Church; Colson

Songs for the Liturgy

Title	Ref	Choices
*A Blessing	1	OIF 841, PMB 471, WC 790, WS 742
*A Light Will Shine	E	PSL C-13, SS 201, SS 524
All Who Claim the Faith of Jesus	G	CH 321, G2 567, GC 787, RS 897, RS2 1005
Ave Maria (Cortes)	G	BB-MI 706
Ave Maria (Kantor)	G	G3 891, GC 785, GC2 772, RS 896, RS2 1009
Ave Maria (Norbert)	G	BB-MI 700, GP 429, GP3 369, H 322, JS 504, JS3 483
Ave Maria (Plain Chant)	G	BB-MI 704, G3 887, GC 789, GC2 774, H 325, JS 493, JS3 486, LMGM2 733, OC 709, OFUV 526, OIF 908, RS 898, RS2 1001, SS 950, W3 713, W4 902, WC 998, WS 809
Blessed One	 	OIF 911, WC 1002, WS 803
Bwana Awabariki, May God Grant You a Blessing	1	LMGM 155, GC 587, RS 720
Canticle of Mary (King)	 	OIF 303, WC 208, WS 402
Carol at the Manger	G	G3 443, GC2 354, RS 516
Child of Mercy	G	G3 431, GC2 368, RS 506, SS 681
Hail Mary (Kantor)	G	G3 891, GC 785, GC2 772, RS 896, RS2 1009
*Hail Mary (Marchionda)	 	OIF 927, PMB 528, WC 1004, WS 815
