June 23,2019 Vigil of the Nativity of St John the Baptist Year C
June 24,2019 Nativity of St John the Baptist Year C

Psalm of the Day: Vigil

Since My Mother's Womb (Currie/Gelineau)	LPGG 1038, W3 1033, W4 1215
Since My Mother's Womb (Guimont)	GC2 942, LPMG 586, RS 100
Since My Mother's Womb (Kasbohm)	PMB 748, PRM C108
Since My Mother's Womb (Schiavone)	JS 1054, LP 199
Psalm of the Day: Mass of the Day

I Praise You (Armstrong/Somerville)	CBW 220
I Praise You (Bogdan)	PMB 749, PRM C109
I Praise You (Currie/Gelineau)	W3 1034
I Praise You (Guimont)	GC2 1006, LPMG 587, RS 187, W4 1216
I Praise You (Proulx/Gelineau)	LPGG 1039
I Praise You (Schiavone)	JS 1055, LP 200
I Praise Your Name (Lisicky)	GC 135
I Will Praise You	PSL C216
I Will Praise You/Te Doy	Gracias (Alonso) SS
Te Doy Gracias (Martínez)	FYC 271
Te Doy Gracias (Montgomery)	FYC 272

Songs for the Liturgy

Title	Ref	Choices
A Voice Cries Out/Del Yermo un Grito	1,G	BB-MI 44, G3 416, GC2 343, GP 294, GP3 213, H 188, JS 313, JS2 313, JS3 276, OC 356, OFUV 353, RS 485, UC 270
Anthem	2	BB-MI 501, G3 778, GC 690, GC2 681, GP 578, GP3 556, H 418, JS 761, JS3 727, OFUV 705
Arise, Your Light Is Come	1	CBW 302, W4 583
*Before the Sun Burned Bright	1	CBW 504, GP 577, GP3 565
Benedictus	G	SS 941, SS 942
Benedictus (Angrisano/Stephan)	G	GP3 206
Benedictus (Farrell)	G	GP3 205, OFUV 841
Benedictus (Hutmacher/Gelineau)	G	GC2 5, GC 775, LMGM2 5, RS2 128,
Benedictus (Rubalcava)	G	FYC3 143
Benedictus (Rubio)	G	FYC3 256
Blessed Are You, Lord	 	SPS 276
Blessed Assurance/En Jesucristo, Puerto de Paz	2	LMGM 199, LMGM2 431, OC 582, OIF 757, PMB 441, S&S 276, SS 230, WC 872, WS 711
Blessed Be the Lord	G	GP 442, LMGM2 5, W4 6
Blest Be the God of Israel	G	CBW 13E, 660, JS 4, 121, GP 156, JS 137, 413, OFUV 841, OFUV 842, W3 6
Blest be the God of Israel (FOREST GREEN)	G	GP3 105, JS3 123, OIF 300, PMB 179, WC 485, WS 401
Blest be the God of Israel (Janco)	G	OIF 211, PMB 4, WC 203, WS 36
Blest be the God of Israel (Joncas)	G	JS3 122
By All Your Saints Still Striving	2	BB-MI 194, CBW 455, JS 784, JS3 748, OIF 898, PMB 524, RS 887, RS2 986, W3 706, W4 890, WC 990
By Name I Have Called You	1,G	GP 582
*Called by My Name	 	IH 78
Canticle of the Turning	G	GC 556, GC2 527, G2 376, G3 622, RS 678, RS2 728, W4 624
Canticle of Zechariah (Janco)	G	OIF 211, WC 203, WS 36
Canticle of Zechariah (Joncas)	G	GP2 156, JS3 122
Canticle of Zechariah (O Chosen Children)	 	OIF 299, WC 484, WS 399
Canticle of Zechariah/Cántico de Zacarías	 	WS 403
Christ Is Coming: Prepare the Way	1,G	LMGM 10, LMGM2 241
City of God/Ciudad de Dios	G	BB-MI 385, CBW 545, G3 766, GC 678, GC2 663, GP 548, GP3 538, H 523, JS 830, JS3 813, OC 637, OFUV 742, OIF 690, RS 799, RS2 799, S&S 106, UC 591, WC 812, WS 670
Every Valley	1,G	BB-MI 66, CBW 308, GP 297, GP3 221, H 190, JS 326, JS2 326, OFUV 370, UC 275
Find Us Ready	G	GC2 342, GP3 761, S&S 209
God Be in My Head	1	BB-MI 404, GP3 628, JS3 651, W3 567
God Has Chosen Me	1,Ps	BB-MI 379, G3 761, GC 682, GC2 469, GP 546, GP3 542, H 526, JS 831, JS3 815, OFUV 736, RS2 867, UC 580, W4 781
