August 18, 2019 Twentieth Sunday in Ordinary Time

Psalm of the Day

God, Come to My Aid ()	PSL C154
God, My God, Come to My Aid (Cooney)	GP 204, MI-BB 768
Lord, come to my aid (Alstott)	BB-MI 204, GP3 912, H 230, RA 128
Lord, come to my aid (Batastini)	LPGG 929, RS 75, RS2 1253, W3 924, W4 1168
Lord, come to my aid (Chapman)	SAP 278
Lord, come to my aid (Duncan)	LMGM2 939
Lord, come to my aid (Guimont)	G3 1151, GC2 921, LPMG 120, RS2 1359
Lord, come to my aid (Hunstiger)	SS 508
Lord, come to my aid (Inwood)	Collegeville Psalter
Lord, come to my aid (Mayernik)	The Five Graces Psalter
Lord, come to my aid (Savoy)	LPGA C, PMB 701, PRM C90
Lord, come to my aid (Schiavone)	A Lectionary Psalter 152, JS 1007
Lord, come to my aid (Smith)	Forever I Will Sing Psalter
Lord, Come to My Aid (Smith, Young)	CBW 171
Lord, come to my aid (Tate)	Cry Out with Joy C
Lord, come to my aid/Salmo: 39 Señor, Date Prisa en Socorrerme (Schiavone)	OC 963
Lord, come to my aid (Guimont)	G3 1151, GC2 921, LPMG 120, RS2 1359

Songs for the Liturgy

Title	Ref	Choices
A Follower of Christ	 	LMGM 117, LMGM2 628
A Great Cloud of Witnesses	 	RS2 991
A Mighty Fortress/God Is Our Fortress/Castillo Fuerte Es Nuestro Dios	1,G	BB-MI 440, G3 687, GC2 594, GP 617, GP3 616, JS 709, JS3 674, LMGM2 556, OC 571, OFUV 641, OIF 732, PMB 420, RS 741, SS 851, W3 575, 576, W4 688, WC 843, WS 683
Ah Tol' Jesus It Would Be All Right	1,G	LMGM 275
Anthem	G	BB-MI 501, G3 778, GC 690, GC2 681, GP 578, GP3 556, H 418, JS 761, JS3 727, OFUV 705
As a Fire Is Meant for Burning/Como un Fuego Brilla y Quema	G	G3 744, GC 663, GC2 643, GP3 744, OC 608, RS 779, RS2 850, W4 734
As a Fire Is Meant for Burning/Como un Fuego Brilla y Quema	 	G3 744, GC 663, GC2 643, GP3 744, OC 608, RS 779, RS2 850, W4 734
Be Not Afraid	 	BB-MI 431, CBW 481, G3 683, GC 608, GC2 596, GP 602, GP3 600, JS 706, JS3 673, LMGM 123, LMGM2 583, OC 574, OFUV 647, OIF 774, PMB 446, RS 734, RS2 797, S&S 271, SS 849, W4 680, WC 875, WS 720
Be with Me, Lord	1	CBW 357, LMGM 509, LMGM210, OIF 270, PMB 158, S&S 273, RS 123, RS2 75, WC 455, W3 68, W4 68, WC 456, WC 457, WS 367
*Behold, O God, and See	E	IH 57
Better Is One Day	 	S&S 279, VAO 212
Canticle of the Turning	 	G3 622, GC 556, GC2 527, RS 678, RS2 728, W4 624
Canticle of the Turning	G	G3 622, GC 556, GC2 527, RS 678, RS2 728, W4 624
