September 1, 2019 Twenty Second Sunday in Ordinary Time

Psalm of the Day

Refrain Text	Choices
God in your goodness, you have made a home for the poor (Alstott)	BB-MI 208, GP3 918, H 233, RA 132
God in your goodness, you have made a home for the poor (Batastini)	W4 1174
God in your goodness, you have made a home for the poor (Cooney)	RS2 1259
God in your goodness, you have made a home for the poor (Guimont)	G3 1157, RS2 1376
God in your goodness, you have made a home for the poor (Inwood)	Collegeville Psalter
God in your goodness, you have made a home for the poor (Janco)	LPGA C
God in your goodness, you have made a home for the poor (Mayernik)	The Five Graces Psalter
God in your goodness, you have made a home for the poor (Moore)	LMGM2 945
God in your goodness, you have made a home for the poor (Muglia)	SAP288
God in your goodness, you have made a home for the poor (Schiavone)	A Lectionary Psalter
God in your goodness, you have made a home for the poor (Smith)	Forever I Will Sing Psalter
God in your goodness/Salmo 67 Preparaste, Oh Dios (Alonso)	Lyric Psalter, OC 969

Songs for the Liturgy

Title	Ref	Choices
’Tis the Gift to Be Simple/Es un Don Ser Sencillo		G3 748, GC2 657, JS 772, OC 613, OIF 706, PMB 402, RS 792, RS2 856, WC 822, WS 663
A Place at the Table		G3 812, GC2 705, OIF 865, WC 962, WS 776
Ah Tol’ Jesus It Would Be All Right	1,G	LMGM 275, LMGM2 744
All Are Welcome (Manibusan)		BB-MI 304
All Are Welcome/Todos Bienvenidos Son (Haugen)		BB-MI 414, G3 850, GC 753, GC2 741, GP3 570, H 436, LMGM2 683, OC 681, RS 846, RS2 925, SS 920, UC 609, W4 833, WC 909, WS 737
All That Is Hidden	G	BB-MI 502, G3 746, GC 654, GC2 654, GP2 585, GP3 553, JS 762, JS3 728
All Who Hunger, Gather Gladly/Los Hambrientos, Que Se Alegren (HOLY MANNA)		G3 852, OC 684, RS 845, RS2 931, SS 1007, W4 844
All Who Hunger/Los Hambrientos (Moore)		G3 925, GC 820, GC2 817, RS 926, RS2 1032, W4 951
At the Table of the World	G	OIF 531, PMB 301, WC 682, WS 565
Beatitudes	1,G,C	BB-MI 631, GP 717, GP3 757, JS 657
Bless the Feast	1,G	GC 752, GP 532, JS 519
Blest Are the Pure in Heart	1,G	CBW 471
Blest Are They/Benditos los Pobres	1,G,C	BB-MI 629, CBW 522, G3 735, GC 659, GC2 636, GP 35, GP3 759, H 532, LMGM2 602, OC 601, RS 774, RS2 839, SS 870, W4 721, WC 973, WS 788
Bread for the Word (Farrell)	G	BB-MI 344, GC 827, GP 528, GP3 483, H 386, JS 810, JS3 780, S&S 240
Bread to Share	G	RS 927
Bring Forth the Kingdom/Venga el Reino	2	G3 734, GC 658, GC2 640, OC 603, RS 772
Canticle of the Turning		G3 622, GC 556, GC2 527, RS 678, RS2 728, W4 624
Center of My Life/Señor, Eres Mi Vida	1,G	BB-MI 489, G3 679, GC 598, GC2 580, GP 593, GP3 591, H 490, JS 697, JS3 665, OC 566, OFUV 678, RS2 788, UC 645, UC 645, W4 678
Changed Mah Name		LMGM 275, LMGM2 744
*Christ, the One Who Tells the Tale	G	HG 24
Christ’s Peace	Ps,G	JS 844
City of God, Jerusalem	1,2,G	RS 486, W3 362, W4 391
Come All You People/Uyai Mose	G	G3 849, GC2 744, LMGM2 678, RS2 926, W4 828
Come to the Banquet (Chepponis)	G	G3 931, GC2 810, SS 1090, W4 928
Come to the Feast/Ven al Banquete (Hurd)	G	BB-MI 307, FYC3 570, G3 838, GC2 734, GP3 458, H 373, JS 795, JS3 763, OC 691, OFUV 779, SS 1090, UC 489
Come to Us		G3 842, GC 743, GC2 740, GP 537, GP3 461, S&S 135
Come, Host of Heaven’s High Dwelling Place		G3 846, GC 751, GC2 747
Coming Together for Wine and Bread		G3 836
Diverse in Culture, Nation, Race/De Raza, Cuna, de Nación		G3 833, GC 739, GC2 729, OC 677, RS 837, RS2 922, W4 842
For the Healing of the Nations	1,G	BB-MI 427, CBW 503, CP3 463, G3 803, GC 719, GC2 712, GP3 517, H 465, JS 866, JS3 833, OIF 877, PMB 505, RS 823, RS2 898, W3 643, W4 798, WC 958, WS 782
