September 29, 2019 Twenty Sixth Sunday in Ordinary Time

Psalm of the Day

Refrain Text	Choices
I will Praise my God all my days (Chepponis)	W4 109
I will praise the Lord, all my days (Joncas)	G3 93, RS 197, RS2 115, SS 591
Lord, Come and Save us (Honoré)	OIF 296
Praise the Lord, my soul (Alstott)	BB-MI 217, GP3 930, H 230, RA 140
Praise the Lord, my soul (Foley)	GP3 738
Praise the Lord, my soul (Guimont)	G3 1169, GC2 1012, RS2 1452
Praise the Lord, my soul (Hart)	SAP 308
Praise the Lord, my soul (Haugen)	Lyric Psalter
Praise the Lord, my soul (Hunstiger)	SS 542
Praise the Lord, my soul (Hurd)	BB-MI 814, GP3 201, H 166, UEC/UIC 171
Praise the Lord, my soul (Inwood)	Collegeville Psalter
Praise the Lord, my soul (Lisicky)	LPGA C
Praise the Lord, my soul (Mayernik)	The Five Graces Psalter
Praise the Lord, my soul (Parker)	RS 688
Praise the Lord, my soul (Proulx	RS2 1271, W4 1186
Praise the Lord, my soul (Ridge)	GP 284, OFUV 264
Praise the Lord, my soul (Schiavone)	JS3 116
Praise the Lord, my soul (Smith)	Forever I Will Sing Psalter
Praise the Lord, my soul (Tate)	Cry Out with Joy C
Praise the Lord, my soul (Waddell)	RS2 1191
Praise the Lord, my soul/Salmo 145: Alaba, Alma Mia, Señor (Alonso)	OC 981

Songs for the Liturgy

Title	Ref	Choices
A Living Faith	2	GC2 579, GP3 677, RS 726
A New Song	Ps	GC 530
A Touching Place	1,G	GC 640, RS 760
All That Is Hidden	1,G	BB-MI 502, G3 746, GC 654, GC2 654, GP2 585, GP3 553, JS 762, JS3 728
All Who Hunger, Gather Gladly/Los Hambrientos, Que Se Alegren (HOLY MANNA)	G	GC 820, GC2 817, RS 845,926, GP3 925
All Who Hunger/Los Hambrientos (Moore)	G	G3 925, GC 820, GC2 817, RS 926, RS2 1032, W4 951
All Who Love and Serve Your City	1,G	CH 467, W3 621
All You Who Are Thirsty	1,G	GC 501, GP 526, JS 818, RS 644
Anthem	1,G	BB-MI 501, G3 778, GC 690, GC2 681, GP 578, GP3 556, H 418, JS 761, JS3 727, OFUV 705
At the Table of the World	1,G	OIF 531, PMB 301, WC 682, WS 565
Beatitudes	1,G	BB-MI 631, GP 717, GP3 757, JS 657
Blessed Are the Poor	1,G	GP 715
Blest Are They/Benditos los Pobres	1,G	BB-MI 629, CBW 522, G3 735, GC 659, GC2 636, GP 35, GP3 759, H 532, LMGM2 602, OC 601, RS 774, RS2 839, SS 870, W4 721, WC 973, WS 788
Bread for the Word (Farrell)	1,G	BB-MI 344, GC 827, GP 528, GP3 483, H 386, JS 810, JS3 780, S&S 240
Bread to Share	1,G	RS 927
Bring Peace to Earth Again	1,G	OIF 866, PMB 503, WC 911
Canticle of the Turning	1,G	G3 622, GC 556, GC2 527, RS 678, RS2 728, W4 624
Christ Is Alive! (TRURO)	1,G	CBW 384, JS 441, JS3 418, OIF 455, PMB 258, RS 601, SS 761, W3 466, W4 510, WC 593, WS 499
Christ, Be Our Light!/¡Cristo, la Luz! (Farrell)	G	BB-MI 158, G3 590, GC2 512, GP 656, GP3 683, H 535, JS2 661, JS3 824, OC 495, OFUV 625, OIF 867, RS2 692, S&S 207, SS 808, UC 756, W4 584, WC 961, WS 781
Christ’s Peace	1,G	JS 844
Come to the Feast (Haugen)	1,G	G3 585, GC 503, GC2 499, GP3 585, JS 795, LMGM2 684, RS 642
Come to the House	1,G	GP 531
Come to the Water/Ven Acá a las Aguas (Foley)	1,G	BB-MI 604, G3 584, GC 502, GC2 502, GP2 706, GP3 770, H 433, JS2 650, JS3 626, OC 487, OFUV 613, RS2 690, UC 675
Come to the Waters	1,G	CBW 359
Come, Let Us Love the Unborn Generations	1,G	W3 639
Faith of Our Fathers/A Living Faith/Fe Santa Que Nos Dio Jesús	2	BB-MI 487, CBW 446, CP3 444, G3 677, GC 600, GC2 579, GP 592, GP3 593, H 488, JS2 698, JS3 667, LMGM2 552, OC 564, OIF 733, PMB 421, RS 726, RS2 787, SS 843, WC 840, W3 571, W4 676, WS 690
For the Fruits of All Creation/For the Fruits of This Creation (AR HYD Y NOS)	G	BB-MI 420, CBW 532, H 454, JS 418, JS3 615, OIF 893, PMB 519, RS 704, RS2 750, SS 917, W3 562, W4 857, WC 980, WS 796
For the Healing of the Nations	1,G	BB-MI 427, CBW 503, CP3 463, G3 803, GC 719, GC2 712, GP3 517, H 465, JS 866, JS3 833, OIF 877, PMB 505, RS 823, RS2 898, W3 643, W4 798, WC 958, WS 782
God of the Hungry	1,G	BB-MI 623, GP 560, GP3 518, JS 459
God, Whose Giving Knows No Ending	1,G	OIF 697, PMB 396, RS 794, RS2 870, W3 631, W4 805, WC 823, WS 672
God, Whose Purpose Is to Kindle	1,G	G3 813, GC 714, GC2 704, H 80, RS 828, RS2 905, W3 640, W4 797
How Long, O Lord, How Long (Stuempfle)	1,G	RS 829, RS2 778
I Will Lift Up My Eyes	1,G	GC 500, GP 709, JS 646
I Will Not Die	1,G	GC 657, GP 716, GP3 758, JS 658, RS 771
