October 6, 2019 Twenty Seventh Sunday in Ordinary Time

Psalm
Refrain Text	Choices
If today you hear his voice, harden not your hearts (Alstott)	BB-MI 196, GP3 906, H 245, RA 120
If today you hear his voice, harden not your hearts (Chepponis)	SS 574
If today you hear his voice, harden not your hearts (Farrell)	JS3 72
If today you hear his voice, harden not your hearts (Guimont)	G3 1172, GC2 960, RS2 1400
If today you hear his voice, harden not your hearts (Haas)	BB-MI 785, G3 66, GC 89, GC2 51, OC58, PCY1 70, RS 129, RS2 76
If today you hear his voice, harden not your hearts (Harbor)	Psalms for the Soul
If today you hear his voice, harden not your hearts (Haugen)	Lyric Psalter Year C
If today you hear his voice, harden not your hearts (Honoré)	Psalms for the Church : Common Psalms
If today you hear his voice, harden not your hearts (Hunstiger)	SS 521
If today you hear his voice, harden not your hearts (Johnson)	LPGA C
If today you hear his voice, harden not your hearts (Manibusan)	SPS 81
If today you hear his voice, harden not your hearts (Palmer)	Psalms for the Church: Lent and Holy Week
If today you hear his voice, harden not your hearts (Proulx)	RS2 1274, W4 1189
If today you hear his voice, harden not your hearts (Ruff)	Responsorial Psalms for Weekday Masses
If today you hear his voice, harden not your hearts (Schiavone)	A Lectionary Psalter, JS 958, LP 102
If today you hear his voice, harden not your hearts (Smith)	JS3 73, Forever I Will Sing, GP 233
If today you hear his voice, harden not your hearts (Soper)	BB-MI 786, GP3 172, H 140, JS3 71, UEC/UIC 130
If today you hear his voice, harden not your hearts (Stewart)	LMGM2 36, LMGM2 890, PCY5 23, RS 128
If today you hear his voice, harden not your hearts (Tate)	RS2 77, Cry Out With Joy Year C
If today you hear his voice, harden not your hearts (Walther)	SAP 262
If today you hear his voice/Salmo 94 Ojalá Eschuchen la voz (Cortés)	¡Aclama, Tierra Entera! Bilingual Psalter
If today you hear his voice/Salmo 94 Ojalá Eschuchen la voz (Florian)	OIF 271
If today you hear the voice of God, open up your heart (Bolduc)	OIF 272, WS 370

Songs for the Liturgy

Title	Ref	Choices
A Living Faith	2	GC2 579, GP3 677, RS 726
A Mighty Fortress/God Is Our Fortress/Castillo Fuerte Es Nuestro Dios	1	BB-MI 440, G3 687, GC 607, GC2 594, GP 617, GP3 616, JS 709, JS3 674, LMGM2 556, OC 571, OFUV 641, OIF 732, PMB 420, RS 741, SS 851, W3 575, 576, W4 688, WC 843, WS 683
Be Still, and Know That I Am God	1	GC 618, RS 736, WC 869
Blest Be the Lord/A Mi Señor Bendeciré (Schutte)	1	BB-MI 430, G3 686, GC 617, GC2 585, GP2 599, GP3 605, H 558, JS2 708, JS3 677, OC 580, OFUV 640
Center of My Life/Señor, Eres Mi Vida	1,G	BB-MI 489, G3 679, GC 598, GC2 580, GP 593, GP3 591, H 490, JS 697, JS3 665, OC 566, OFUV 678, RS2 788, UC 645, UC 645, W4 678
*Come and Sing to God Our Savior	Ps	CBW 646
*Come, Worship the Lord	Ps	BB-MI 306, GP 536, GP3 472, JS 790, VAO 18
Cup of Blessing	C	JS 309
Do Not Be Afraid	1	GP 630, JS 731, RS2 829
Do Not Fear to Hope	1	GC 596, GP 597, GP3 589, LMGM2 420
Faith of Our Fathers/A Living Faith/Fe Santa Que Nos Dio Jesús	2,G	BB-MI 487, CBW 446, CP3 444, G3 677, GC 600, GC2 579, GP 592, GP3 593, H 488, JS2 698, JS3 667, LMGM2 552, OC 564, OIF 733, PMB 421, RS 726, RS2 787, SS 843, WC 840, W3 571, W4 676, WS 690
For the Life of the World	G	G3 901, GC 801, GC2 792
For You Are My God	1	BB-MI 429, CBW 483, GC 616, GP 612, GP3 601, JS 710, JS3 675
God Is Here! As We His People (ABBOT'S LEIGH)	G	G3 843, GC 741, GC2 737, GP3 843, JS2 796, JS3 746, OIF 809, PMB 463, RS 844, RS2 927, SS 930, W3 667, W4 835, WC 906
God Is Our Fortress and Our Rock	1	W3 575, W3 576
God Never Fails	1,G	LMGM 224, LMGM2 578
