January 27, 2019 Third Sunday of Ordinary Time Year C

Psalm of the Day

Your words, Lord are Spirit and Life (Alonso)	Lyric Psalter Year C, RS2 35
Your words, Lord are Spirit and Life (Alsott)	RA 34-35
Your words, Lord are Spirit and Life (Crandal)	SAP 76-81
Your words, Lord are Spirit and Life (Duncan)	LMGM2 888
Your words, Lord are Spirit and Life (Guimont)	LPMC, G3 1100,
Your words, Lord are Spirit and Life (Haugen)	LPGA Year C , OIF 229, WC 420, WS 331
Your words, Lord are Spirit and Life (Hurd)	BB-MI 740, JS3 20, GP3 120, SPS 56
Your words, Lord are Spirit and Life (Inwood)	Collegeville Psalter
Your words, Lord are Spirit and Life (Mayernik)	The Five Graces Psalter
Your words, Lord are Spirit and Life (Proulx)	LPGC, RS2 1202, W4 1117
Your words, Lord are Spirit and Life (Ruff)	Responsorial Psalms for Weekday Mass
Your words, Lord are Spirit and Life (Schiavone)	A Lectionary Psalter
Your words, Lord are Spirit and Life (Smith)	Forever I Will Sing;
Your words, Lord are Spirit and Life (True)	Cry Out with Joy Year C
Tus Palabras, Senor/Psalm 19: Your words, Lord are Spirit and life (Alonso)	OC 911
Tus Palabras, Senor/Psalm 19: Your words, Lord are Spirit and life (Colôn)	Salmos Responsoriales


Songs for the Liturgy

Title	Ref	Choices
A New Song	E	GC 530
*A Year of God's Favor	1	W4 594
*Arise, Your Light Is Come!	G	CBW 302, W4 583
As Grains of Wheat	2	BB-MI 331, GP3 509, H 391
As One Body in Your Spirit	2	SS 217
As the Grains of Wheat (Haugen)	2	GC 825, RS 921
As We Gather at Your Table/Al Reuinirnos en Tu Mesa (HOLY MANNA)	Ps,2,G	G3 839, GC2 738, LMGM2 685, OC 685, W4 831
As We Gather at Your Table (NETTLETON)	Ps,2,G	BB-MI 310, CBW 583, GP3 473, H 372, JS 792, JS3 760, RS 848, RS2 924, SS 926
Bread of Life (Farrell)	2	BB-MI 324, BB-MI 257, BB-MI 371, CBW 597, GC 824, GP 502, GP 522, GP3 482, JS 819, JS3 788, OFUV 814
Come Down, O Love Divine	G	CBW 407, G3 556, GC 465, GC2 471, JS 461, JS3 438, LMGM2 332, OIF 491, RS 617, RS2 646, W3 472, W4 534, WC 630
Come Now, Almighty King/¡Oh Padre, Eterno Dios!	1,G	BB-MI 720, G3 562, GC2 496, GP3 359, H 301, JS3 450, LMGM2 334, OC 463, OFUV 506, W4 549
Come to Set Us Free	G	GC 338, GP 298, JS2 180
Come, Holy Ghost/En Nuestro Ser Mora, Creador	G	BB-MI 445, CBW 416, G3 559, GC 469, GC2 472, GP 402, GP3 568, JS 458, JS3 443, LMGM 69, LMGM2 324, OC 454, OFUV 662, OIF 646, PMB 372, RS 611, RS2 648, SPS 193, SS 780, W3 482, W4 544, WC 768, WS 634
Come, Lord, to Our Souls	1,G	CBW 440
Deep Within	Ps	G3 486, GC 399, GC2 419, GP 399, RS 546, RS2 574
*Disciple's Song	G	CBW 505
Diverse in Culture, Nation, Race/De Raza, Cuna, de Nación	2,G	G3 833, GC 739, GC2 729, OC 677, RS 837, RS2 922, W4 842
