October 27, 2019 Thirtieth Sunday in Ordinary Time

Psalm of the Day

Refrain Text	Choices
The Cry of the Poor	GP 203, JS 847
The Cry of the Poor/Salmo 33: Escucha el Señor del Pobre el Clamor (Foley)	BB-MI 620, G3 47, GC 48, GC2 33, GP 203, GP3 526, H 541, JS 635, JS3 635, OC 39, RS 69, RS2 52, SPS 340, UEC/UIC 616, W4 46
The Lord hears the cry of the poor (Alstott)	BB-MI 225, GP3 942, H 250, RA 148
The Lord hears the cry of the poor (Fernández)	SAP 324
The Lord hears the cry of the poor (Guimont)	G3 1181, GC2 918, RS2 1356
The Lord hears the cry of the poor (Haas)	RS2 1283, W4 1198
The Lord hears the cry of the poor (Harmon)	Cry Out with Joy C
The Lord hears the cry of the poor (Haugen)	The Lyric Psalter C
The Lord hears the cry of the poor (Hunstiger)	SS 507
The Lord hears the cry of the poor (Inwood)	Collegeville Psalter
The Lord hears the cry of the poor (Kasbohm)	LPGA C
The Lord hears the cry of the poor (Mayernik)	The Five Graces Psalter
The Lord hears the cry of the poor (Ruff)	Responsorial Psalms for Weekday Masses
The Lord hears the cry of the poor (Schiavone)	A Lectionary Psalter
The Lord hears the cry of the poor (Smith)	Forever I Will Sing Psalter
The Lord hears the cry of the poor (Tate)	OIF 246, WC 433, WS 348
The Lord hears the cry of the poor (Wise)	LMGM2 969
The Lord hears the cry/Salmo 33: Si el Afligido (Schiavone)	OC 933

Songs for the Liturgy

Title	Ref	Choices
Amazing Grace!/Sublime Gracia (NEW BRITAIN)	G	BB-MI 432, CBW 480, G3 645, GC 612, GC2 586, GP 615, GP3 614, H 551, JS 713, JS3 680, LMGM 173, LMGM2 495, OC 545, OFUV 639, OIF 330, OIF 576, PMB 323, RS 737, RS2 757, S&S 265, SS 847, W3 583, W4 650, WC 217, WS 26, WS 592
Blest Are the Pure in Heart	G	CBW 471
Blest Are They/Benditos los Pobres	1,G	BB-MI 629, CBW 522, G3 735, GC 659, GC2 636, GP 35, GP3 759, H 532, LMGM2 602, OC 601, RS 774, RS2 839, SS 870, W4 721, WC 973, WS 788
Faith of Our Fathers/A Living Faith/Fe Santa Que Nos Dio Jesús	2	BB-MI 487, CBW 446, CP3 444, G3 677, GC 600, GC2 579, GP 592, GP3 593, H 488, JS2 698, JS3 667, LMGM2 552, OC 564, OIF 733, PMB 421, RS 726, RS2 787, SS 843, WC 840, W3 571, W4 676, WS 690
From the Depths of Sin and Sadness	1,G	CBW 487, OIF 435, WC 571
Gather Us In/Únenos Hoy	G	BB-MI 303, CBW 587, CH 624, G3 848, GC 744, GC2 743, GP 78, GP3 936, H 374, LMGM2 676, OC 687, RS 850, RS2 929, SS 922, W3 665, W4 836, WC 907, WS 735
Give Me a Clean Heart	G	LMGM 279, LMGM2 625
Give Me Jesus	2	BB-MI 677, GP 484, GP3 435, F 353, LMGM 280, LMGM2 350, JS 551, JS3 554, OFUV 332, OIF 622, RS2 686, WC 751
Great God of Mercy	1,G	CBW 361, JS 375, W3 746
Have Mercy, Lord, on Us	G	CBW 358, OIF 577, PMB 328, W3 753, W4 665, WC 705
