February 3, 2019 Fourth Sunday of Ordinary Time Year C

Psalm of the Day

Psalm Refrain (Composer)	Choices
I Will Sing (Batastini)	W4 62
I will sing of your salvation (Alonso)	Lyric Psalter C, RS2 67
I will sing of your salvation (Alsott)	RA 36-37, GP3 864,
I will sing of your salvation (Crandal)	SAP 82-85
I will sing of your salvation (Englert)	RS2 1205
I will sing of your salvation (Guimont)	LPMG, G3 1103, GC2 941, RS2 1379
I will sing of your salvation (Holland)	LMGM2 891
I will sing of your salvation (Inwood)	Collegeville Psalter
I will sing of your salvation (Marchionda)	LPGA
I will sing of your salvation (Mayernik)	The Five Graces Psalter
I will sing of your salvation (Ruff)	Responsorial Psalms for Weekday Mass
I will sing of your salvation (Schiavone)	A Lectionary Psalter
I will sing of your salvation (Smith)	Forever I Will Sing;
I will sing of your salvation (True)	Cry out with Joy C
I will sing of your salvation/Mi boca contará tu salvación (Florián)	Salmos Responsoriales

Songs for the Liturgy

Title	Ref	Choices
A New Commandment (Janco)	2	OIF 740, PMB 423, WC 851, WS 697
Arise, Your Light Is Come!	G	CBW 302, W4 583
As a Fire Is Meant for Burning/Como un Fuego Brilla y Quema	1,G	G3 744, GC 663, GC2 643, OC 608, RS 779, RS2 850, W4 734
Be Not Afraid (Taizé)	1,C	G3 516, RS2 628, W4 522
Be Not Afraid/No Temas Más (Dufford)	1,C	BB-MI 432, CBW 481, G3 683, GC 608, GC2 596, GP 602, GP3 600, JS 706, JS3 673, LMGM 123, LMGM2 583, OC 574, OFUV 647, OIF 774, PMB 446, RS 734, RS2 797, SPS 271, SS 849, W4 680, WC 875, WS 720
*Beatitudes	G	BB-MI 631, GP 717, GP3 757, JS 657
*Before the Sun Burned Bright	1	CBW 504, GP 577, GP3 565
Beloved, Let Us Love (Bonar)	2	W3 601
*Blest Are the Pure of Heart	C	CBW 471
*Blest Are They/Benditos los Pobres	C	BB-MI 629, CBW 522, G3 735, GC 659, GC2 636, GP 35, GP3 759, H 532, LMGM2 602, OC 601, RS 774, RS2 839, SS 870, W4 721, WC 973, WS 788
*By Name I Have Called You	1	GP 582
Celtic Alleluia: Sending Forth	1,G	BB-MI 375, GP3 530, H 530, JS 834, JS3 821, OFUV 740, UEC/UIC 602
Christ in Me Arise	1	BB-MI 513, GP3 573, H 427, RS2 862, SPS 278, UEC/UIC 579
Christians, Let Us Love One Another	2	BB-MI 475, CBW 595, GP 646, GP3 657, H 566, JS 751, JS3 717, OFUV 695, UEC/UIC 632
Come unto Me	1	BB-MI 512, GP 518, GP3 580, JS 770
Disciple's Song	G	CBW 505
*Faith, Hope and Love (Haas)	2	GC 624
*Faith, Hope and Love (O'Brien)	2	G3 702, GC2 609
