February 24, 2019 Seventh Sunday of Ordinary Time Year C

Psalm of the Day

The Lord is Kind and Merciful (Bolduc)	WS 376
The Lord is Kind and Merciful (Alsott)	RA 42-43, GP3 992
The Lord is Kind and Merciful (Colson)	SPS 86
The Lord is Kind and Merciful (Cotter)	G3 72, GC2 58, RS2 84
The Lord is Kind and Merciful (Dufford)	GP2 250, GP3 181, H 149, JS2 84, OFUV 223, UEC/UIC 142
The Lord is Kind and Merciful (Duncan)	W4 79
The Lord is Kind and Merciful (Fernández)	SAP 96-101
The Lord is Kind and Merciful (Galipeau)	OIF 281, WC 465
The Lord is Kind and Merciful (Guimont)	LPMC , GP3 1114, RS2 1411
The Lord is Kind and Merciful (Haas)	LPGC, RS 141, RS2 85, RS2 1214, W4 1127
The Lord is Kind and Merciful (Harbor)	Psalms for the Soul
The Lord is Kind and Merciful (Hughes)	JS3 86, RS2 1263
The Lord is Kind and Merciful (Inwood)	Collegeville Psalter
The Lord is Kind and Merciful (Joncas)	The Michael Joncas Psalter
The Lord is Kind and Merciful (Kalemba)	LPGA C
The Lord is Kind and Merciful (Louis)	LMGM2 900
The Lord is Kind and Merciful (Manalo)	BB-MI 795, GP3 182, H 148, JS3 87
The Lord is Kind and Merciful (Mayernik)	The Five Graces Psalter
The Lord is Kind and Merciful (Modlin)	JS3 85, SAP 87
The Lord is Kind and Merciful (Ruff)	Responsorial Psalms for Weekday Mass
The Lord is Kind and Merciful (Schiavone)	A Lectionary Psalter
The Lord is Kind and Merciful (Smith)	Forever I Will Sing
The Lord is Kind and Merciful (Tate)	Cry Out with Joy C
The Lord is Kind and Merciful (Waddell)	Gesthsemani; Psalms for the Lenten Season
The Lord is Kind and Merciful (Weckler)	Yours are the Words
The Lord is Kind and Merciful (Willcock)	JS2 83, OFUV 225
The Lord is Kind and Merciful/El Señor es Campasivo (Alonso)	G3 74, OC 66
The Lord is Kind and Merciful/El Señor es Campasivo (Cortez)	Cantare Enternamente
The Lord is Kind and Merciful/El Señor es Campasivo (Florián)	Salmos Responsoriales
The Lord is Kind and Merciful/El Señor es Campasivo (Kolar)	Aclama, Tiera, OIF 280, WC 464, WS 377
The Lord is Kind and Merciful/El Señor es Campasivo (Krisman)	OC 973
The Lord Is Kind and Merciful/El Senor Es Compasivo (Haugen)	G3 75, GC2 59, OC 67, RS 143, SS 579, W4 80
El Señor Es Tierno y Compasivo (Rodrîguez)	FYC 355, OFUV 414
El Señor Es Compasivo (Cortés)	FYC3 247, OFUV 224

Songs for the Liturgy

Title	Ref	Choices
A Touching Place	G	RS 760, GC 640
As We Gather at Your Table/Al Reuinirnos en Tu Mesa (HOLY MANNA)	Ps,2,G	G3 839, GC2 738, LMGM2 685, OC 685, W4 831
As We Gather at Your Table (NETTLETON)	Ps,2,G	BB-MI 310, CBW 583, GP3 473, H 372, JS 792, JS3 760, RS 848, RS2 924, SS 926
Bendigamos al Señor/Let Us Bless Our Saving Lord	G	OC 587
Bless His Holy Name	Ps	LMGM 200
*Bless the Lord	Ps	G3 620, GP 252, GC2 576, JS 631, LMGM 200, RS2 732, SPS 205, W4 603, SS 889
Break Not the Circle of Enabling Love	G	CBW 524
Bring Peace to Earth Again	1,G	OIF 866, PMB 503, WC 911
Christ in Me Arise	G	BB-MI 513, GP3 573, H 427, RS2 862, SPS 278, UEC/UIC 579
Christians, Let Us Love One Another	 	BB-MI 475, CBW 595, GP 646, GP3 657, H 566, JS 751, JS3 717, OFUV 695, UEC/UIC 632
*Deep Down in My Soul	Ps	GC 880
For the Healing of the Nations	1,G	BB-MI 427, CBW 503, CP3 463, G3 803, GC 719, GC2 712, GP3 517, H 465, JS 866, JS3 833, OIF 877, PMB 505, RS 823, RS2 898, W3 643, W4 798, WC 958, WS 782
Forgive Our Sins as We Forgive/Nos Enseñaste a Perdonar	 	CBW 620, G3 965, GC2 848, JS 556, OC 779, OIF 575, PMB 324, RS 952, RS2 1062, SS 1017, W3 754, W4 967, WC 710, WS 594
God of the Hungry	G	BB-MI 623, GP 560, GP3 518, JS 459
God, Whose Purpose Is to Kindle	G	G3 813, GC 714, GC2 704, OIF 813, RS2 905, W3 640, W4 796
Good Friday Hymn	G	GC 406
Help Us Accept Each Other	G	RS 838, W3 656, W4 818
Help Us Forgive, Forgiving Lord	G	HG 17, RS2 1065, W4 969
*I am the Bread of Life (Angrisano/Booth)	C	BB 371
*I Am the Bread of Life (Englert)	C	OIF 546, PMB 321, WC 694
*I Am the Bread of Life (Kaczmarek)	C	OIF 542, WS 579
*I Am the Bread of Life/Yo Soy el Pan de Vida (Toolan)	C	BB-MI 364, G3 945, GC 828, GC2 822, GP3 493, H 390, LMGM 133, LMGM2 755, OC 750, OIF 546, RS 931, RS2 1029, SS 988, W3 738, W4 950, WC 648, WS 543
In Christ There Is No East or West/Ni Oriente Ni Occidente	G	BB-MI 584, CBW 529, CH 650, G3 832, GC 738, GC2 726, GP 565, GP3 548, H 466, JS 850, JS3 831, LMGM 301, LMGM2 664, OC 668, OIF 683, OFUV 683, PMB 391, RS 836, RS2 919, SS 918, W3 659, W4 824, WC 806, WS 654
Jesus, Heal Us	Ps	G3 952, GC 875, GC2 846, RS2 1059
Joyful, Joyful, We Adore You/Jubilosos, Te Adoramos	1, G	BB-MI 542, CBW 511, FYC3 624, G3 614, GC 528, GC2 520, GP 693, GP3 726, H 504, JS 617, JS3 575, LMGM 197, LMGM2 435, OC 514, OFUV 561, OIF 844, PMB 497, RS 669, RS2 707, SS 821, W3 525, W4 611, WC 943, WS 758
Lift High the Cross/Alcen la Cruz	G	BB-MI 712, CBW 435, G3 881, GC 791, GC2 785, GP 444, GP3 384, JS 522, JS3 500, LMGM2 726, OC 721, OIF 703, PMB 393, RS 884, RS2 981, SS 974, W3 704, W4 885, WC 791, WS 664
Lord of All Nations, Grant Me Grace	G	CH 612, G3 703, GC 634, GC2 602, OIF 687, RS 751, RS2 810, W3 602, W4 697, WC 804
Lord, Make Us Servants of Your Peace	G	OIF 794, RS2 860, W4 755, WC 899
Lord, Touch Me	1,G	LMGM 158
Love Is His Word (Hampton)	 	OIF 556, PMB 299
Love Is His Word (Hutmacher)	 	RS 750, RS2 813, W3 599, W4 696
Love One Another (Alonso)	G	WC 846, WS 692
Love One Another (Dufford)	G	BB-MI 474, GP2 645, GP3 665, JS2 752, JS3 718, OFUV 685
Love One Another (King)	G	OIF 741, WC 857, WS 695
Make Me a Channel of Your Peace/Hazme un Instrumento de Tu Paz (Prayer of St. Francis)	1	BB-MI 522, G3 828, GC 726, GC2 721, GP 650, GP3 679, JS 759, JS3 702, OC 663, OFUV 720, OIF 797, RS 830, RS2 912, WC 898, WS 724, WS 729
*O Bless the Lord, My Soul	Ps	BB-MI 533, H 359, JS3 576, UFUV 593
O Day of Peace	1	JS 740, RS2 911, W3 654, W4 811
O God of Love, O King of Peace	1	CBW 681, CH 599, JS3 842, OC 408, OIF 793, PMB 457, RS 833, RS2 910, W3 652, W4 813, WC 896
O God, Empower Us	1,G	W3 642
*Our God Is Rich in Love	Ps	GC 652, GC2 620
Parce Domine/Spare Us, Gracious Lord/Ten Piedad, Señor	 	BB 121, G3 473, GC2 412, JS 376, JS3 344, OC 414, OFUV 427, OIF 422, PMB 228, RS 549, RS2 567, SS 725, W3 416, W4 469, WC 565, WS 461
Peace for Our Times	1,G	PMB 455, OIF 798, WC 900, WS 727
Praise the Lord, My Soul	Ps	GC 554, GP 691, RS 688
