June 9, 2019 Pentecost -C

Psalm of the Day

Refrain	Choices
Envía Tu Espíritu (Taulé)	FYC 249, FYC3 215
Envía Tu Espíritu, Señor (García)	FYC 251
Envía Tu Espíritu, Señor (Rubalcava)	FYC 250, FYC3 217, GP 255, GP3 347
Envía Tu Espíritu, Señor/O Lord, Send Out Your Spirit (Thillet)	¡Aclama, Tierra Entera! 30
Lord, Send Out Your Spirit	S&P 224, S&P 228, TCP p100
Lord, Send Out Your Spirit (Blunt)	OIF 282, PMB 164, WC 466, WS 378
Lord, Send Out Your Spirit (Canedo)	BB-MI 797, GP3 184, H 151, JS3 89, SPS 88
Lord, Send Out Your Spirit (della Picca)	LPGA C54, LPGA C55, PMB 636, PRM B66
Lord, Send Out Your Spirit (Haas)	LMGM 524
Lord, Send Out Your Spirit (Harbor)	LMGM 523, LMGM2 839A
Lord, Send Out Your Spirit (Hunnicutt)	PMB 635, PRM A56
Lord, Send Out Your Spirit (Hunstiger)	SS 531
Lord, Send Out Your Spirit (Kreutz)	JS 85, PSC 24
Lord, Send Out Your Spirit (Olawski)	JS 708
Lord, Send Out Your Spirit (Peloquin)	RS 144
Lord, Send Out Your Spirit (Willcock)	PFS 34
Lord, Send Out Your Spirit (Zsigray)	GP 253, GP3 185
Send Forth Your Spirit (Warner)	OIF 283, PMB 165, SS 580, WC 467, WS 379
Send Out Your Spirit	PSL 203, SS 404
Send Out Your Spirit (Schoenbachler)	GP 409, GP3 345, JS 465
Envía Tu Espíritu, Señor/Lord, Send Out Your Spirit (Peña)	Cantaré Eternamente/For Ever I Will Sing Bilingual Psalter, JS 87, JS3 440
Envía Tu Espíritu, Señor/Lord, Send Out Your Spirit (Reza)	¡Aclama, Tierra Entera! 16
Envía Tu Espíritu, Señor/Psalm 104: Lord, Send Out Your Spirit (Montgomery)	UC 145
Lord, Send Out Your Spirit (Alonso)	The Lyric Psalter
Lord, Send Out Your Spirit (Alstott)	BB-MI 173, GP3 826, H 157, RA 98, RA 94
Lord, Send Out Your Spirit (Angotti)	WS 378
Lord, Send Out Your Spirit (Angrisano)	S&P 162
Lord, Send Out Your Spirit (Batastini)	W4 83
Lord, Send Out Your Spirit (Bell/Harbor)	Psalms for the Soul
Lord, Send Out Your Spirit (Chepponis)	RS2 87, SS 583, W4 81
Lord, Send Out Your Spirit (Cosas)	Psalms for the Church: Lent and Holy Week
Lord, Send Out Your Spirit (Guimont)	G3 1083, G3 1084, GC2 976, LPMG 77, LPMG 78, RS2 1416
Lord, Send Out Your Spirit (Haugen)	RS2 88
Lord, Send Out Your Spirit (Inwood)	Collegeville Psalter
Lord, Send Out Your Spirit (Lisicky)	G3 76, GC 101, GC2 60, RS 146, RS2 86, W4 82
Lord, Send Out Your Spirit (Mayernik)	The Five Graces Psalter 84
Lord, Send Out Your Spirit (Proulx)	G3 77, LPGG 91, LPGG 92, RS 145, RS2 169, RS2 1184, RS2 1185, W4 1083, W4 1084
Lord, Send Out Your Spirit (Schalk)	LPGA C
Lord, Send Out Your Spirit (Schiavone)	JS 941, JS3 90, LP 85
Lord, Send Out Your Spirit (Smith)	Forever I Will Sing
Lord, Send Out Your Spirit (Sullivan)	Psalms for the Church: Common Psalms
Lord, Send Out Your Spirit (True)	Cry Out with Joy
Lord, Send Out Your Spirit (Waddell)	Abbey of Gethsemani: Psalms for the Lenten Season
Lord, Send Out Your Spirit (Walker)	BB-MI 796, CBW 107, GP 254, GP3 183, H 150, JS 86, JS3 88, SP1 69
Lord, Send Out Your Spirit (Weckler)	Yours Are the Words
Lord, Send Out Your Spirit/Señor, Envia Tu Espíritu (Lisicky)	OC 68
Send Forth Your Spirit, O Lord (Warner)	OIF 283, WC 467, WS 379
Sequence

Come, Holy Spirit, on Us Shine (Mode II)	BB-MI 518, OIF 492, PMB 279, RS2 656, WC 624
Come, O Holy Spirit (HYMN TO JOY)	BB-MI 189, H 293, JS3 435
Eastertide Carol: Pentecost Sequence (Ridge)	GP 404
Holy Spirit, Lord Divine/Veni Sancte Spiritus (Mode I)	CBW 692, BB-MI 37, G3 1084, GC 464, GC2 470, H 92, JS 459, JS3 432, LMGM2 874, LPGG 862, OC 896, OFUV 502, OIF 493, RS 981, RS2 1186, SS 775, W3 857, W4 1100, WC 625
Pentecost Sequence (Hurd)	BB-MI 188
Pentecost Sequence (Kendzia)	GP3 349, SPS 192
Secuencia de Pentecostés (Ferrer)	FYC 424
Sequence (Chant Tone 8G)	LPGA C56
The Psallite Mass Pentecost Sequence	SS 775
Ven, Espíritu Santo-Secuencia de Pentecostés (Montgomery)	FYC3 384
Veni Sancte Spiritus (Alonso)	WS 529
Veni Sancte Spiritus (DeBruyn)	JS3 435
Veni Sancte Spiritus (Manalo)	H 297
Veni Sancte Spiritus (Walker)	CBW 644, GP 419, GP3 350, H 292, JS 453, JS3 441
Veni Sancte Spiritus/Holy Spirit, Lord Divine
(Mode I)

CBW 692, BB-MI 37, G3 1084, GC 464, GC2 470, H 92, JS 459, JS3 432, LMGM2 874, LPGG 862, OC 896, OFUV 502, OIF 493, RS 981, RS2 1186, SS 775, W3 857, W4 1100, WC 625
Other Songs for the Liturgy

Title	Ref	Choices
A Place at Your Table	 	BB-MI 350
*A Prayer Canticle	Vigil 1	RS2 769
All Are Welcome (Manibusan)	 	BB-MI 304
All Are Welcome/Todos Bienvenidos Son (Haugen)	 	BB-MI 414, G3 850, GC 753, GC2 741, GP3 570, H 436, LMGM2 683, OC 681, RS 846, RS2 925, SS 920, UC 609, W4 833, WC 909, WS 737
Alleluia! Love Is Alive	 	BB-MI 161, GP3 314, H 584, S&S 177
Anointing, Fall On Me	 	VAO 204
Arise, O Church, Arise	 	VAO M2
Arise, O Spirit	 	OIF 645
At the Table of the World	1	OIF 531, PMB 301, WC 682, WS 565
Baptized in Water/Ya Bautizados	 	BB-MI 648, CBW 614, G3 903, GC 798, GC2 797, GP3 391, JS2 542, JS3 516, LMGM2 746, OC 733, OIF 516, PMB 286, RS 903, RS2 1020, SS 1057, W3 720, W4 919, WC 637, WS 535
Be Not Afraid/No Temas Más (Dufford)	 	BB-MI 431, CBW 481, G3 683, GC 608, GC2 596, GP2 602, GP3 600, H549, JS2 706, JS3 673, LMGM 123, LMGM2 583, OC 574, OFUV 647, OIF 774, PMB 446, RS 734, RS2 797, S&S 271, SS 849, UC 744, W4 680, WC 875, WS 720
Be Present, Spirit of the Lord	 	RS2 658
Blessed Quietness	 	LMGM 72, LMGM2 594
By the Waking of Our Hearts (Manalo)	 	BB-MI 447, GP3 348, H 297, JS2 454, JS3 439, RS2 655, SS1 102
By the Waking of Our Hearts (Manalo)	 	BB-MI 447, GP3 348, H 297, JS2 454, JS3 439, RS2 655, SS1 102
Called and Gathered by the Spirit	2	SS 782
Called by Christ	 	G3 767
Chosen and Sent by the Father	G	HG 114
Christians, Lift Up Your Hearts, v. 5	1	CBW 585, RS 674, RS2 722, W3 538
Church of God, Elect and Glorious (HYFRYDOL)	 	BB-MI 415, CBW 581, GC 664, H 438, JS2 533, JS3 508, OIF 663, PMB 381, RS 783, W4 733
Come Down, O Love Divine	G	CBW 407, G3 556, GC 465, GC2 471, JS 461, JS3 438, LMGM2 332, OIF 491, RS 617, RS2 646, W3 472, W4 534, WC 630
Come to Me and Drink (Hurd)	 	BB-MI 357, JS3 797
Come to the Water/Ven Acá a las Aguas (Foley)	1,G	BB-MI 604, G3 584, GC 502, GC2 502, GP2 706, GP3 770, H 433, JS2 650, JS3 626, OC 487, OFUV 613, RS2 690, UC 675
Come, Holy Ghost/En Nuestro Ser Mora, Creador (LAMBILLOTTE)	2	BB-MI 444, CBW 416, G3 559, GC 469, GC2 472, GP2 402, GP3 352, H 298, JS2 458, JS3 443, LMGM 69, LMGM2 324, OC 454, OFUV 662, OIF 646, PMB 372, RS 611, RS2 648, S&S 193, SS 780, UC 415, W3 482, W4 544, WC 768, WS 634
Come, Holy Spirit (Angotti)	 	OIF 644, VAO 228
Come, Holy Spirit (Booth)	1	S&S 191
Come, Holy Spirit, On Us Shine	 	OIF 492, RS2 656, WC 624, WS 518
Come, Holy Spirit, Wind and Fire	1	OIF 649, PMB 375, WC 765, WS 630
Come, Holy Spirit/Ven, Oh Espíritu	1	OIF 648, WC 773, WS 629
Come, O Holy Spirit (HYMN TO JOY)	 	BB-MI 189, H 293, JS2 459, JS3 434, OFUV 498, UC 414
Come, O Holy Spirit, Come (Chant Mode I)	 	BB-MI 37, H 92, JS2 455, JS3 432, OFUV 502
Come, O Spirit	1	SS 784
*Come, O Spirit of the Lord	Ps	GP2 411, GP3 342
Come, Spirit Blest/Ven Creador	2	OC 460, W4 537
Come, To Me, All Pilgrims Thirsty	Vigil G	RS2 1039
Come, Ye Faithful, Raise the Strain/Come, You Faithful, Raise the Strain (GAUDEAUS PARITER)	 	G3 533, GC2 448, JS2 426, JS3 402, OIF 466, RS 575, RS2 610, SS 766, W3 456, W4 509, WC 590
Creator Spirit, by Whose Aid	1	BB-MI 191, JS2 449, JS3 427, OFUV 663, UC 408
Creator Spirit, Lord of Grace	1	CBW 409, OIF 490, PMB 280, WC 628, WS 521
Diverse in Culture, Nation, Race/De Raza, Cuna, de Nación	1	G3 833, GC 739, GC2 729, OC 677, RS 837, RS2 922, W4 842
Dona Nobis Pacem (Norbet)	 	BB-MI 528, GP3 676, H 424, JS2 744, JS3 705
*Envía Tu Espíritu	Ps	BB-MI 451, GC 459, GP 407, GP3 347, JS 463, JS3 440
Eternal Father, Strong to Save	 	BB-MI 626, GP3 746, H 576, JS2 865, JS3 848, LMGM 132, OFUV 758, OIF 752, WC 861
Every Day	 	VAO M1
Everyone Moved by the Spirit	 	GP2 412, GP3 353
Festival Canticle	 	CBW 396, G3 520, GC 429, GC2 458, H 277, JS2 428, JS3 424, OC 446, OFUV 667, OIF 834, PMB 489, RS 583, RS2 618, SS 749, W3 458, W4 515, WS 774
Filled with the Spirit’s Power	1,2	CBW 413
Fire of God, Titanic Spirit	1,Ps,2	W3 478
Fire of God, Undying Flame	2	RS 614, W3 474, W4 533
For the Fruits of All Creation/For the Fruits of This Creation (AR HYD Y NOS)	2	BB-MI 427, H 454, JS 418, JS3 615, OIF 893, RS 704, RS2 750, SS 917, W3 562, W4 857, WC 980, WS 796
*Gather Your People (Alonso)	2	G3 489, RS2 558
*Gather Your People (Hurd)	2	BB-MI 313, G3 837, GC2 742, GP 529, GP3 465, H 376, JS 798, JS3 768, OFUV 782, RS2 940, UC 486
Gift of God (Page)	1	G3 422, PMB 289, RS2 516, SS 670
Go Make a Difference	 	BB-MI 499, G3 775, GC2 664, GP3 554, H 414, JS3 730, S&S 213, SS1 113, VAO 258
Go Make of All Disciples/¡Discípulos Han de Ganar! (ELLACOMBE)	 	BB-MI 185, G3 769, GC 687, GC2 666, H 289, JS2 828, JS3 430, LMGM2 646, OC 648, OIF 810, PMB 479, RS 798, RS2 866, W3 628, W4 792, WC 926, WS 750
Go Make of All Disciples/¡Discípulos Han de Ganar! (ELLACOMBE)	 	BB-MI 185, G3 769, GC 687, GC2 666, H 289, JS2 828, JS3 430, LMGM2 646, OC 648, OIF 810, PMB 479, RS 798, RS2 866, W3 628, W4 792, WC 926, WS 750
Go Now	 	VAO M3
